,bf_Glut-CACNA1H-1,bf_Glut-CACNA1H-2,bf_Glut-CACNA1H-3,bf_Glut-CACNA1H-4,bf_Glut-CACNA1H-RA,bf_Glut-DACH2-1,bf_Glut-DACH2-2,bf_Glut-DACH2-3,bf_Glut-DACH2-4,bf_Glut-DACH2-5,bf_Glut-DACH2-6,bf_Glut-DACH2-7,bf_Glut-DACH2-8,bf_Glut-DACH2-HVCra,bf_Glut-DACH2-HVCra-Int,bf_Glut-DACH2-HVCx,bf_Glut-DACH2-LMANco,bf_Glut-DACH2-LMANsh,bf_Glut-SATB2-1,gg_Ex_BCL6,gg_Ex_CACNA1H_CPA6,gg_Ex_CACNA1H_KIT,gg_Ex_CACNA1H_LHX9,gg_Ex_CACNA1H_MCTP2,gg_Ex_CACNA1H_PROX1,gg_Ex_DACH2_ADAMTS5,gg_Ex_DACH2_CEMIP,gg_Ex_DACH2_GRIK4,gg_Ex_DACH2_ITGA9,gg_Ex_DACH2_LHX2,gg_Ex_DACH2_LUZP2,gg_Ex_DACH2_MGAT4C,gg_Ex_DACH2_NR4A3,gg_Ex_DACH2_RORB,gg_Ex_DACH2_SLIT2,gg_Ex_DACH2_TAC1,gg_Ex_DACH2_ZMAT4,gg_Ex_KIAA1217,gg_Ex_KIAA1217_BCL6,gg_Ex_Pre_SATB2,gg_Ex_SATB2_FOXP2,gg_Ex_SATB2_OVOA,gg_Ex_SATB2_SOX6,gg_Ex_SATB2_ZNF385B,gg_Ex_TSHZ2_NR4A2
bf_Glut-CACNA1H-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01287643027309315,0.1694243781207821,0.1188479605630099,0.7284842429886377,0.07178858994264051,0.015790171787182023,0.0001511042482006541,0.00013400381789844106,0.0010649001495996887,0.023075089923502486,0.0002521544244778229,0.0017294499060516496,0.0004287993264925552,0.003725641200286684,8.296305990765453e-05,0.004789443701860208,0.0,0.000670237341714454,0.025570212227571353,0.2512669497446098,0.002167755179012557,0.0014178290938867209,0.00712045147587098,0.002974334872241688,7.405006630014008e-06,0.7125242751140176
bf_Glut-CACNA1H-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13573332604634103,0.3042856575761511,0.6794036517129377,0.46525391786866477,0.2700528918075113,0.6802029536302127,0.0004633788821372414,0.00038564319801337227,0.00652691833091424,0.012625533295697457,0.009376838815841169,0.020683595911451122,0.0015712558712979632,0.013650001316711702,0.00014443046465867956,0.014828508634944082,1.5884568603378322e-05,0.0009868300958647135,0.0008222824637684854,0.06276393223488504,0.06653938591971477,0.005218044142558545,0.04486725292066955,0.010498486826226342,5.689681618497844e-05,0.06490137740413575
bf_Glut-CACNA1H-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039917746275355045,0.023738748416388435,0.04143526108257465,0.41619554148041893,0.008748928730621856,0.003173785971241663,0.0003734461240953639,0.00015176735786841415,0.0002427097472345709,0.02920944736256042,0.000337508149162799,0.0003496876089156155,0.0019627550120946548,0.006037016889562175,1.9786572150763602e-05,0.0004930499949507911,0.0,0.0023727964394000154,0.0014980302384308571,0.02908297845323605,0.0004230143562513806,0.0008851091999862546,0.009668128884695447,0.014176347208016329,0.0,0.12475920782038415
bf_Glut-CACNA1H-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02919069996211727,0.0002367611373471807,0.05680591875829675,0.5699732429949809,0.06727634095011906,0.013081011549642549,0.00011216302888626068,2.62201002185803e-05,0.037571632807199426,0.0038307171708772724,0.010581798352200373,0.10458263799449194,0.00218447070459714,0.0011871270286257492,0.0003985449192916351,0.07661840576698323,0.0,0.0,0.0015412138984255794,0.004515011564255545,0.022169248490164547,0.00044531095976227863,0.0020595523674147628,0.0031347832632819517,0.0,0.0008717842667054774
bf_Glut-CACNA1H-RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00577989180801314,0.01296200908426568,0.026179465583963148,0.0015025115764101336,6.766074759745238e-05,8.73750279502325e-05,0.00013745526669578577,0.0,0.00890471715813023,0.03994859885111407,0.0003715753138593443,1.2727798336336946e-05,0.007002123837475617,5.4234643242465866e-05,1.2933208326211184e-05,0.0,0.0,3.0245470652452367e-05,0.6714960624748028,0.1183077778091955,0.003956849174726633,0.0010159881854868357,0.0036902685995265647,0.0025974523946799507,0.0,0.04506262472755303
bf_Glut-DACH2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028467979987035198,0.0,0.0,0.0002947961234481595,0.13187227318281283,0.001286462693062674,0.18439971726371382,0.004398960066063432,0.5949850650776922,0.18530745159833695,0.44655527062451383,0.45542215966098165,0.7124410236236456,0.6867279489781868,0.007828053096260269,0.09648711025019512,0.010689873408236452,0.006287252437682143,0.0,0.0018076867862909841,0.0054389983573248975,0.0008092260998039775,0.20909506323982124,0.0062345382808649905,0.00016431246032156207,0.0
bf_Glut-DACH2-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000162553032591442,0.0,0.24759463663538192,0.0,0.06382990772444887,0.005498194688078401,0.08591376906024917,0.03432335935648313,0.6048078817290434,0.052658989172382764,2.356371568789985e-05,0.00019911911558561542,0.0,0.0003875254324235078,0.0,0.0,0.0004941627970064136,1.3449899116239048e-05,0.05906507722648509,9.697402647726302e-05,0.0,0.0
bf_Glut-DACH2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1284730884238831,0.0,0.0,5.819120806243584e-05,0.04105296758303652,5.755387658629733e-05,0.005676878519622472,0.10473955522798577,0.00788530820637379,0.2063700162260392,0.03289912220712211,0.01636867579917729,0.031230742555520254,0.00743628069409209,0.04240373494508435,0.6581418771824429,0.12742755470626715,0.3601006852770294,0.0,0.00015314821457740882,0.0004651004237244882,0.0,0.0026456180444733865,0.00013871738159924662,0.0,0.0
bf_Glut-DACH2-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005913718464338229,0.0,0.0,0.0,0.0005544716913986733,5.06524733883838e-05,0.02947026541366234,0.0007282239501831447,0.004055213742416502,0.392530932371007,0.0016331283597666485,0.0,0.04697018389857415,0.023160550460189208,0.0,0.03842422972296662,0.0029717421991649375,0.1644352530539596,0.0004992437954410364,0.004964239713240614,0.0,0.0023061054024743335,0.003277548980864648,0.028731199383613387,0.0,0.0
bf_Glut-DACH2-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6412024755478264,0.0,0.055381742043329504,0.0012797812073638173,0.11483982779413267,0.00029853410956837514,0.21321566877142645,0.05701503748269284,0.00015092549433091506,0.0,0.0,0.00045945619781983025,0.0,0.0,0.0004276386007440702,0.0,0.06915484778729714,2.7900676143110638e-05,0.0,0.0
bf_Glut-DACH2-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0452917329093223e-05,0.0,0.0,0.0,0.0013662428430961384,0.0,0.04528597235033796,0.612226145505337,0.0007572257832426526,0.06305891653017884,5.367969904985489e-05,0.0,0.0014819641514522432,0.0037171444114418224,1.1601134917783928e-05,0.00235896137295844,0.04589350327253755,0.45707263293791967,3.967626836709393e-05,0.0002756417337901309,0.0,0.00018081353710621827,0.00059440014268845,0.004105777011043961,0.0,0.0
bf_Glut-DACH2-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010014471037442577,0.0,0.28984484158536483,0.0015472787572230996,0.026870076796380944,0.008717569472791226,0.0007031674716417337,0.0,0.40468755771056875,0.031239549682332717,5.423915198766187e-05,0.0,0.007137939912700841,0.027272419549082133,0.0,0.0,0.0,0.00018172789824521274,0.033855311179122494,0.007948697551390589,0.0,0.0
bf_Glut-DACH2-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010107774305586766,0.0,0.0,0.0,0.00556617487390434,0.0,0.02378475347810493,0.08315262794635363,0.0009014970722460245,0.1781526415298412,2.6173143043489304e-05,0.0,0.000590233381820766,0.0018130040294149264,0.023512843873102734,0.0009326085416692324,0.3695526861975732,0.917707700211397,0.0,0.0002573371389912801,0.0,0.0,0.000670243119807213,0.0004902656856650406,0.0,0.0
bf_Glut-DACH2-HVCra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005091056153347002,0.0,0.0,0.0,0.0,0.0,0.000788671277347792,0.0,0.00326681480439662,0.0016155402045144554,0.00055784470892492,0.003625645814693527,0.03974629909305884,0.0012344035398068635,0.001400776304070967,0.0,0.00039508647994064013,3.835327836987234e-05,3.8684355240636614e-05,0.00019689715135057573,0.0082573855325747,0.0147623515926329,0.042617460092554585,0.4641628298210666,0.23401799863699937,0.0
