query,top_rank_agg,top_borda,top_zaremba,rank_agg_score,rank_agg_runner_up,rank_agg_margin,confidence,confidence_tier,zaremba_sum_at_winner,zaremba_sum,zaremba_sum_max,methods_agreeing_on_own_top,n_methods,reciprocal_support_for_rank_agg,agg_methods_concordant,conf_gsi,conf_samap,conf_saturn,conf_cca,top_gsi,top_samap,top_saturn,top_cca,nrecip_gsi,nrecip_samap,nrecip_saturn,nrecip_cca,n_clusters_sharing_winner
Astro-1,1163 Astro-TE NN_3,1161 Astro-TE NN_1,1163 Astro-TE NN_3,0.8152,1161 Astro-TE NN_1,0.0786,0.4376,moderate,1.7504,1.7504,4,2,4,3,False,0.9546,0.6537,0.0,0.142,1163 Astro-TE NN_3,1166 Astro-OLF NN_1,1159 Astro-NT NN_1,1163 Astro-TE NN_3,5,5,4,5,2
Astro-2,1164 Astro-TE NN_4,1164 Astro-TE NN_4,1164 Astro-TE NN_4,0.8856,1165 Astro-TE NN_5,0.1108,0.4565,moderate,1.826,1.826,4,1,4,4,True,0.9786,0.6518,0.3497,0.0208,1163 Astro-TE NN_3,1164 Astro-TE NN_4,1165 Astro-TE NN_5,1161 Astro-TE NN_1,5,5,4,5,1
Astro-3,1163 Astro-TE NN_3,1163 Astro-TE NN_3,1163 Astro-TE NN_3,0.8358,1164 Astro-TE NN_4,0.1404,0.344,moderate,1.3762,1.3762,4,2,4,3,True,0.9703,0.2792,0.0,0.1266,1163 Astro-TE NN_3,1163 Astro-TE NN_3,0267 STR D1 Gaba_3,1161 Astro-TE NN_1,5,5,4,5,2
Endo,1193 Endo NN_1,1193 Endo NN_1,1193 Endo NN_1,1.0,1186 ABC NN_1,0.2129,0.643,high,2.572,2.572,4,4,4,4,True,0.9894,0.9929,0.7637,0.2078,1193 Endo NN_1,1193 Endo NN_1,1193 Endo NN_1,1193 Endo NN_1,4,5,3,5,1
Epen,1175 Ependymal NN_1,1175 Ependymal NN_1,1175 Ependymal NN_1,1.0,1169 Astroependymal NN_1,0.4003,0.8594,high,3.4375,3.4375,4,4,4,4,True,0.9423,1.0,0.9904,1.0,1175 Ependymal NN_1,1175 Ependymal NN_1,1175 Ependymal NN_1,1175 Ependymal NN_1,4,3,4,4,1
GABA-1-1,0286 STR-PAL Chst9 Gaba_2,0283 STR D1 Sema5a Gaba_3,0311 LSX Nkx2-1 Gaba_6,0.634,0283 STR D1 Sema5a Gaba_3,0.0056,0.2078,low,0.8313,1.0136,4,1,4,2,False,0.661,0.1448,0.0,0.0256,0286 STR-PAL Chst9 Gaba_2,0297 NDB-SI-ant Prdm12 Gaba_3,0311 LSX Nkx2-1 Gaba_6,0365 SI-MA-ACB Ebf1 Bnc2 Gaba_2,5,5,4,5,2
GABA-1-2,0287 STR-PAL Chst9 Gaba_3,0287 STR-PAL Chst9 Gaba_3,0287 STR-PAL Chst9 Gaba_3,0.8358,0285 STR-PAL Chst9 Gaba_1,0.0913,0.3185,moderate,1.274,1.274,4,2,4,3,True,0.6481,0.5378,0.0,0.0881,0285 STR-PAL Chst9 Gaba_1,0287 STR-PAL Chst9 Gaba_3,0317 LSX Prdm12 Slit2 Gaba_1,0287 STR-PAL Chst9 Gaba_3,5,5,5,5,1
GABA-2-1,0216 Sst Gaba_3,0216 Sst Gaba_3,0224 Sst Gaba_11,0.9124,0226 Sst Gaba_13,0.1072,0.3318,moderate,1.3271,1.447,4,1,4,4,False,0.7735,0.5246,0.002,0.028,0216 Sst Gaba_3,0228 Sst Gaba_15,0224 Sst Gaba_11,0241 Sst Chodl Gaba_4,5,5,5,5,1
GABA-2-2,0215 Sst Gaba_2,0215 Sst Gaba_2,0231 Sst Gaba_18,0.9532,0231 Sst Gaba_18,0.0806,0.2753,moderate,1.1012,1.6492,4,2,4,4,False,0.7359,0.2916,0.0119,0.0677,0215 Sst Gaba_2,0231 Sst Gaba_18,0231 Sst Gaba_18,0215 Sst Gaba_2,5,5,5,5,2
GABA-2-3,0228 Sst Gaba_15,0228 Sst Gaba_15,0223 Sst Gaba_10,0.8072,0224 Sst Gaba_11,0.0831,0.2533,moderate,1.013,1.3115,4,1,4,3,False,0.7099,0.294,0.0054,0.0065,0224 Sst Gaba_11,0228 Sst Gaba_15,0223 Sst Gaba_10,0231 Sst Gaba_18,2,5,5,5,1
