,10,30,50,100,group
Glut-CACNA1H-1,0.2717303063901437,0.2701153144603633,0.267912190053736,0.2619664474418472,non-song
Glut-CACNA1H-2,0.3057997251454814,0.3132907903970244,0.305184779628884,0.2937495517528794,non-song
Glut-CACNA1H-3,0.04687670466492281,0.04042480009556666,0.03702713448751568,0.028642204956241413,non-song
Glut-CACNA1H-4,0.4874899148178433,0.5073688910521267,0.5109807678122045,0.5128430763177039,non-song
Glut-CACNA1H-RA,0.00087546101838626,0.0019672563481856692,0.0008407535436174735,0.0,song
Glut-DACH2-1,0.3027076903510612,0.3141277038610243,0.3108274994330938,0.30938697163372164,non-song
Glut-DACH2-2,0.14537947818178837,0.1430849338652167,0.14490886855254825,0.14040554476194506,non-song
Glut-DACH2-3,0.5848557067501863,0.5945961090456439,0.5918279052832216,0.5958368275587254,non-song
Glut-DACH2-4,0.14648523467210733,0.13425762156999377,0.13699757421609216,0.13193116029953983,non-song
Glut-DACH2-5,0.16386635596077284,0.1760542525124572,0.17648143482122378,0.18314295520691812,non-song
Glut-DACH2-6,0.39709658912158047,0.3990470483398384,0.3990240019485054,0.3963045277369555,non-song
Glut-DACH2-7,0.08727862158519167,0.09138434546780123,0.0986546223782374,0.09784242046467263,non-song
Glut-DACH2-8,0.412643750150255,0.41375477402999034,0.4222294856393734,0.43169240334442976,non-song
Glut-DACH2-HVCra,0.10564087697183853,0.0875279415049082,0.09283550421074496,0.09372809919084567,song
Glut-DACH2-HVCx,0.258277180627063,0.25485451350409427,0.2724029686720215,0.2914984293891703,song
Glut-DACH2-LMANco,0.02921521669309924,0.05333845206809274,0.04169197256541158,0.034143566237640074,song
Glut-DACH2-LMANsh,0.06931812484571925,0.06233429150101882,0.06383624473704815,0.060826328252451295,song
