,10,30,50,100,group
Glut-CACNA1H-1,0.28787578375495065,0.2938611156453985,0.2943197007059394,0.2861308199899032,non-song
Glut-CACNA1H-2,0.37261918983335335,0.3690272863831043,0.3676175810331686,0.3451542654511063,non-song
Glut-CACNA1H-3,0.0,0.015941728640695645,0.0,0.0,non-song
Glut-CACNA1H-4,0.4355718104305816,0.48189004257270845,0.4831324338318411,0.4931271881417771,non-song
Glut-CACNA1H-RA,0.0,0.0,0.0,0.0,song
Glut-DACH2-1,0.30150623162095685,0.3096175960821956,0.3085278705719258,0.29863374891456734,non-song
Glut-DACH2-2,0.041084356203678736,0.009686163991612857,0.022457544607901277,0.017377187965620905,non-song
Glut-DACH2-3,0.5638825140398046,0.5919080617116651,0.6008311386224949,0.6104702240735594,non-song
Glut-DACH2-4,0.1191294278841306,0.10641750851738965,0.10768428186261843,0.09641916424615209,non-song
Glut-DACH2-5,0.08567142246801278,0.09203587453067447,0.0980255984056098,0.10127781905132059,non-song
Glut-DACH2-6,0.25699108838517276,0.2511845610484219,0.24777591847990635,0.252695982791708,non-song
Glut-DACH2-7,0.07024719029304279,0.06208675753919471,0.0763187700019979,0.07202790147182854,non-song
Glut-DACH2-8,0.4787046318679421,0.4739916718469306,0.49196553869209303,0.4980979004573778,non-song
Glut-DACH2-HVCra,0.021300241695293272,0.022932077637032613,0.01881329043776757,0.018929225704123444,song
Glut-DACH2-HVCx,0.03539176385724125,0.022730737281873532,0.020833513084618213,0.016751195731476314,song
Glut-DACH2-LMANco,0.014578272234883444,0.03560900501927204,0.016681278169448328,0.013057202489012048,song
Glut-DACH2-LMANsh,0.017083093155883827,0.007999041868558895,0.009332415432093741,0.008090066743320037,song
