,2,5,10,20,30,50,75,100,group
Glut-CACNA1H-1,0.2681539612506318,0.23840421409638532,0.2582497574648467,0.26251884591003305,0.25377768265184786,0.24474117132979847,0.23074209251937847,0.22257675175906666,non-song
Glut-CACNA1H-2,0.13968184977256423,0.2430236880575528,0.28223442982457997,0.26544356113034706,0.27079250279021133,0.27470041225867353,0.2612758259102294,0.24531260283350576,non-song
Glut-CACNA1H-3,0.0,0.0,0.0030170139917144356,0.0052399336049362925,0.006555618787527349,0.01129040483604931,0.0238744443779852,0.011023288890661962,non-song
Glut-CACNA1H-4,0.4396474879737515,0.5564570232348304,0.5716638238990881,0.5998667487342216,0.5863760889653666,0.5743775651410344,0.5615748026617987,0.5566856211439936,non-song
Glut-CACNA1H-RA,0.0,0.0,0.000630046073797487,0.002555535680725017,0.02516959493042046,0.06920969312313328,0.08742069327409081,0.10499868023082745,song
Glut-DACH2-1,0.1872411157718945,0.2430756496434473,0.27258038003301915,0.26329132854151216,0.24450464999118798,0.2344742791099766,0.22486062906833185,0.20406580849564263,non-song
Glut-DACH2-2,0.16111835051532208,0.2538872057241134,0.22170924211770351,0.27671254826721087,0.28047744597517965,0.27996876539508325,0.27162370774878214,0.263197163166707,non-song
Glut-DACH2-3,0.3945039624177728,0.5513981365993225,0.5495671599706525,0.5570771599734948,0.5615139063587434,0.5545944066472707,0.5485986082026312,0.542410382982326,non-song
Glut-DACH2-4,0.09810520332489761,0.12003438685733328,0.11407832525053464,0.14192396352799558,0.1562715750603925,0.15667164138735856,0.1474020451059179,0.13748326100489333,non-song
Glut-DACH2-5,0.08464620581678603,0.2322270856934252,0.2578306621993299,0.26187301046136624,0.2629227076492978,0.2601397106024481,0.25433340194707194,0.2547190043081023,non-song
Glut-DACH2-6,0.39099942370201146,0.543024214080311,0.5992245245479536,0.6278474259529712,0.6406743858162595,0.6375019175151545,0.6332601603586772,0.6210683182894126,non-song
Glut-DACH2-7,0.11288993423848673,0.15602919281351943,0.14977275787252245,0.18880498467323184,0.19081901092867587,0.1957828213907977,0.18965604463937055,0.18732895170540415,non-song
Glut-DACH2-8,0.3448580905677179,0.496178697469573,0.48234547406381756,0.48212087293067535,0.4857371196694396,0.4646639720129871,0.4520898770901979,0.4365354206742549,non-song
Glut-DACH2-HVCra,0.01793584009800208,0.04646075271605631,0.05743011797146206,0.09685183008781348,0.14862564456522523,0.17218746365964938,0.17778877841361385,0.16405154032821168,song
Glut-DACH2-HVCx,0.0,0.003689446711755284,0.02360497385689396,0.030968915324313635,0.053892256482289416,0.08907435541342006,0.07398649791351712,0.08851334015701157,song
Glut-DACH2-LMANco,0.00790561460868177,0.010786241213923294,0.018842437686984844,0.03067047116513039,0.038196673630921,0.051065163401091226,0.05960577422328543,0.0732234328424348,song
Glut-DACH2-LMANsh,0.0,0.003502680092798922,0.01873926356934924,0.043664606563230575,0.04689615619992194,0.05024509995150294,0.05564837073306673,0.051740283720017446,song
Glut-SATB2-1,0.4579688293118625,0.5672529197101118,0.6085542247785908,0.631256110714046,0.6262295224610117,0.6271273562307824,0.6252302541659099,0.6235610085224783,non-song
