k_anchor,song_mean,nonsong_mean,U,p_one_sided
2,0.03639775011206674,0.11410294329476998,20.0,0.13911958090424725
5,0.07168993057516855,0.20203930368786782,12.0,0.030902482919708166
10,0.0736117697936188,0.23357456995001116,11.0,0.024167137788513517
20,0.06842888836473845,0.2572892120974102,11.0,0.02529929940659268
30,0.07785178261459995,0.2581011667714433,12.0,0.03221447737548238
50,0.0764593777891004,0.26116909538878447,12.0,0.03183581124757595
75,0.076875335949436,0.25879879291376734,12.0,0.03183581124757595
100,0.0769972269197902,0.2570666115781867,11.0,0.024240465416936006
