,2,5,10,20,30,50,75,100,group
Glut-CACNA1H-1,0.30086670710227126,0.22633175635507238,0.24739738415763893,0.2548344303775691,0.2583174397975875,0.24324663034216706,0.2357149108197,0.23042726122437784,non-song
Glut-CACNA1H-2,0.15602470690455594,0.22459682960711191,0.23107893813201952,0.24292420122293223,0.24405031250598255,0.2445761967531338,0.23612116095155586,0.22800015264903548,non-song
Glut-CACNA1H-3,0.0,0.002470069289264832,0.004577177967731075,0.01913247112508587,0.024781409812811267,0.03171973011550762,0.03816065068946176,0.035020549904304095,non-song
Glut-CACNA1H-4,0.36268291237166783,0.5295941393250423,0.5794720092409299,0.5904494717912916,0.5858700129174095,0.576561800657725,0.5669759203514441,0.5601824994746721,non-song
Glut-CACNA1H-RA,0.0,0.0,0.019486185215843537,0.03505603932679356,0.050982554338459544,0.09954772118201083,0.11179182126351221,0.133816308352079,song
Glut-DACH2-1,0.22147912882503726,0.342794119008228,0.3427073296147497,0.310690613859512,0.3064718284058846,0.2950870740773089,0.27376200009471996,0.2554966222502325,non-song
Glut-DACH2-2,0.08195058822887274,0.15725126401493225,0.2572653027235862,0.2738448520437881,0.2853118547959716,0.28053875081042035,0.26119474734469594,0.24883088327062017,non-song
Glut-DACH2-3,0.3741412614295907,0.498827903895239,0.5298519394749014,0.5694630272296256,0.572913097946752,0.5622850696152342,0.5528943045592687,0.5519067858098476,non-song
Glut-DACH2-4,0.005880068919365663,0.06854315299428619,0.11769013600746399,0.13955099719144862,0.1466041087607213,0.15234265696774646,0.15140565511755136,0.14944524028861655,non-song
Glut-DACH2-5,0.25878190372095294,0.2569456817940281,0.2325545720147016,0.27194253877226165,0.2535239318586115,0.24992307805197028,0.23901913833960026,0.2336511016658559,non-song
Glut-DACH2-6,0.467456860317569,0.5905413374741417,0.6139605495426019,0.6229003150937381,0.6441094992945151,0.644768535589189,0.6358728324171854,0.6289934123601281,non-song
Glut-DACH2-7,0.1731077801596651,0.11297522477182304,0.13040632662125473,0.14478704565897177,0.1517547895127197,0.14655056722979284,0.165757697378475,0.16547698291290364,non-song
Glut-DACH2-8,0.33423218531313564,0.5069842582264942,0.4773443359182288,0.4576491046759544,0.4530746135920953,0.43968676019825437,0.43603664442859097,0.4279536604932606,non-song
Glut-DACH2-HVCra,0.002922115192076177,0.047778917166174856,0.055301741263536375,0.06381944085879117,0.12682798136424944,0.1373413547442627,0.1445065942615596,0.13175530039543445,song
Glut-DACH2-HVCx,0.010464994626868106,0.081526875356946,0.08528817719468287,0.14894336359714266,0.12184860319977249,0.10554657565094297,0.10040471678161905,0.09580295060719325,song
Glut-DACH2-LMANco,0.0,0.0,0.0007323550584320386,0.014531923554451851,0.01934861512534412,0.022480929095108727,0.03885115222378824,0.04116450006841894,song
Glut-DACH2-LMANsh,0.0,0.016217361960621138,0.03238888999501548,0.053137072724701626,0.054146847853153254,0.056566231000247755,0.057675249084592525,0.050972663921972056,song
Glut-SATB2-1,0.6096811645751384,0.5940526357200988,0.6378694841488168,0.6496176639663458,0.644447086067635,0.6365775584215666,0.6340234796836665,0.6383014822053664,non-song
