,2,5,10,20,30,50,75,100,group
Glut-DACH2-3,0.3789068911944008,0.5767369036640233,0.5936571720616889,0.5943350453478999,0.5945961090456439,0.582500849048036,0.5824893812733557,0.5816456687552931,non-song
Glut-DACH2-1,0.3201787752104852,0.2982314019553418,0.33853772149390055,0.3362290970101796,0.3141277038610243,0.27927341456382077,0.27065728461440797,0.26550980005530955,non-song
Glut-CACNA1H-1,0.2799917898676051,0.30356401305135167,0.3077546595319236,0.2877186819888642,0.2701153144603633,0.2574319621351212,0.2430041456938347,0.23708357383306475,non-song
Glut-CACNA1H-4,0.25940544305458985,0.35445106423560974,0.43802361250747485,0.49971781130761844,0.5073688910521267,0.5218395398639315,0.5157794148506445,0.5111661484931731,non-song
Glut-CACNA1H-2,0.2405632463385005,0.38532487276524674,0.36251694418151353,0.3198671018368467,0.3132907903970244,0.2840716673069926,0.2733912205737419,0.28125799811674257,non-song
Glut-DACH2-4,0.06767875790649937,0.10691076192241014,0.09744016544424076,0.12653576878117068,0.13425762156999377,0.13624006830376084,0.1331211568878111,0.140592321025635,non-song
Glut-DACH2-7,0.03485596498330927,0.056525948678149036,0.07325707649741524,0.08545770514731972,0.09138434546780123,0.11333973796570214,0.1102619499820671,0.11161810070200645,non-song
Glut-DACH2-6,0.0050653047401229764,0.14984600220178104,0.27769172518892316,0.33983228058026255,0.3990470483398384,0.4406734932570601,0.45886131468957,0.4795130698042262,non-song
Glut-DACH2-2,0.004774675410932511,0.06033978084855876,0.09089693117095847,0.12515506527078707,0.1430849338652167,0.14084739170895014,0.1373679747360303,0.13851730723514452,non-song
Glut-CACNA1H-3,0.0019091471866169618,0.010585075293728775,0.022866784013930237,0.007706156212577031,0.04042480009556666,0.04661151936588329,0.04319182814113223,0.03243052446400859,non-song
Glut-DACH2-8,0.0,0.2979433344181991,0.3863498279590779,0.40983526532261016,0.41375477402999034,0.4114226259821922,0.4096825284574838,0.3980502877142266,non-song
Glut-DACH2-5,0.0,0.04388180635358524,0.10622560404370761,0.13818220747354693,0.1760542525124572,0.17636862704988746,0.1929734622424572,0.19422407872495842,non-song
Glut-DACH2-HVCra,0.005169634705427081,0.025222371622301735,0.04455465856430725,0.06374459649089953,0.0875279415049082,0.11270508587182561,0.15371775655169848,0.16624785667596262,song
Glut-DACH2-LMANco,0.00041488243081296504,0.026375517463823408,0.0037037795341459444,0.03522942401175704,0.05333845206809274,0.06450059561061315,0.102733843514636,0.12399936022734008,song
Glut-DACH2-HVCx,0.00031847337051621894,0.016520311103138067,0.12040599979191201,0.19240455520884936,0.25485451350409427,0.3385305758798146,0.3586064103129782,0.36265254809479214,song
Glut-DACH2-LMANsh,0.0,0.0038832587047247734,0.0060321903341471325,0.05072957530735179,0.06233429150101882,0.09392590232270359,0.11911356471314079,0.13609349828243517,song
Glut-CACNA1H-RA,0.0,0.0,0.00036819152149410953,0.0009151049665657065,0.0019672563481856692,0.019920977527645586,0.041686207486475425,0.0540032266756248,song
