,100,200,400,800,group
Glut-CACNA1H-1,0.3009680617745217,0.2938611156453985,0.294361458702713,0.299092317928804,non-song
Glut-CACNA1H-2,0.375240173804054,0.3690272863831043,0.34654530757248786,0.36482477099440996,non-song
Glut-CACNA1H-3,0.04151287835346158,0.015941728640695645,0.0,0.0,non-song
Glut-CACNA1H-4,0.4799916732615441,0.48189004257270845,0.5296153992634067,0.514389712400075,non-song
Glut-CACNA1H-RA,0.0,0.0,0.0,0.0,song
Glut-DACH2-1,0.38357493784743685,0.3096175960821956,0.3237041273452287,0.36554103712802927,non-song
Glut-DACH2-2,0.011739405134467366,0.009686163991612857,0.03474845674863138,0.019126731499898294,non-song
Glut-DACH2-3,0.5706217485792883,0.5919080617116651,0.5775477999818828,0.5621313134802741,non-song
Glut-DACH2-4,0.07061697699039023,0.10641750851738965,0.13474025865251504,0.11800698575330788,non-song
Glut-DACH2-5,0.08578945688946615,0.09203587453067447,0.11550837099624776,0.08590490543831228,non-song
Glut-DACH2-6,0.20699036841362078,0.2511845610484219,0.2627888159472052,0.27743143016257205,non-song
Glut-DACH2-7,0.06647798220025779,0.06208675753919471,0.0833247958550457,0.07676179045903499,non-song
Glut-DACH2-8,0.48019133889008336,0.4739916718469306,0.5136518465363491,0.5004846763042262,non-song
Glut-DACH2-HVCra,0.013204058807707565,0.022932077637032613,0.022241833454403316,0.028474145342012747,song
Glut-DACH2-HVCx,0.03838244756961691,0.022730737281873532,0.09426662536965402,0.14516601265415885,song
Glut-DACH2-LMANco,0.025463399043497207,0.03560900501927204,0.01536735688794197,0.015045662753852874,song
Glut-DACH2-LMANsh,0.0027202550888159155,0.007999041868558895,0.009350594726220329,0.007319018304632778,song
