axis,k_filter,value,song_mean,nonsong_mean,U,p_one_sided
max.features,NA,100,0.09200449098525995,0.2831255487247539,8.0,0.009696186166774402
max.features,NA,200,0.09200449098525995,0.2831255487247539,8.0,0.009696186166774402
max.features,NA,400,0.08623426991070218,0.282561148760789,8.0,0.009696186166774402
max.features,NA,800,0.08623426991070218,0.282561148760789,8.0,0.009696186166774402
max.features,200,100,0.015954032101927522,0.2561429168448827,3.0,0.0011312217194570135
max.features,200,200,0.017854172361347415,0.25480403070916596,6.0,0.0046864899806076275
max.features,200,400,0.028245282087643923,0.26804471980014277,6.5,0.007635243153213973
max.features,200,800,0.03920096781093145,0.2653079726290787,9.5,0.017451668263914664
