k_anchor,song_mean,nonsong_mean,U,p_one_sided
2,0.0648265416815755,0.22770086935892656,9.0,0.014339602896239494
5,0.10901862264655907,0.29488334703025787,11.0,0.024240465416936006
10,0.17050841714863815,0.310147676011538,18.0,0.1171622495151907
20,0.21750492271268093,0.32283453224453856,20.0,0.16418875242404654
30,0.22901177498942887,0.32273916142929654,20.0,0.16418875242404654
50,0.23453336685930734,0.3158958298805692,20.0,0.16418875242404654
75,0.2327024114345066,0.31212558865854195,21.0,0.19133807369101485
100,0.22967336414124612,0.30625561873936774,21.0,0.19133807369101485
