,2,5,10,20,30,50,75,100,group
Glut-CACNA1H-1,0.11976164907471355,0.2319881153419387,0.22761229414251877,0.23391386738349026,0.22962292085503894,0.24054148203753914,0.2388542457125332,0.23875318023727374,non-song
Glut-CACNA1H-2,0.45677397775885054,0.6053968546364673,0.5414965393701496,0.5171797521576221,0.4977649292312557,0.4634697059879199,0.40969786641333716,0.3837172454952749,non-song
Glut-CACNA1H-3,0.0,0.0,0.0,0.0,0.0,0.0026851129769151576,0.0030466724447870603,0.00427879924952718,non-song
Glut-CACNA1H-4,0.1435642723738204,0.30522473494463165,0.47967148387793035,0.5273696402015836,0.537995718048424,0.5492824860165617,0.5697659123609193,0.565937193440193,non-song
Glut-CACNA1H-RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0002391319880089421,0.0,song
Glut-DACH2-1,0.1233613711724382,0.2984459878384099,0.3378337399357301,0.31109948895851625,0.28383870642332076,0.2746705543811783,0.26201376984648767,0.24787353540315538,non-song
Glut-DACH2-2,0.13284294990390763,0.12063047898417571,0.1202125352979048,0.17552039933662145,0.1593246530959258,0.16128360726404653,0.1541833731976476,0.156731932152188,non-song
Glut-DACH2-3,0.3924172802388878,0.3649378663084785,0.42093535730660453,0.45933563648518055,0.45383228392829394,0.4491021335721112,0.43910842418657586,0.43598552627772114,non-song
Glut-DACH2-4,0.0,0.007340972919991097,0.02153176200673365,0.03448090466084824,0.04499472669170165,0.05692603881067821,0.06332242380678361,0.06167036622526453,non-song
Glut-DACH2-5,0.0,0.1561967912357469,0.1805279550292228,0.20194516214891753,0.20037948044788934,0.2148326784523954,0.22241742890292784,0.23120577312660684,non-song
Glut-DACH2-6,0.0005138190146216857,0.006818052340996797,0.07335439016229679,0.17570360627707285,0.24358039906736628,0.2719194931923218,0.2943477694373286,0.3111277876205368,non-song
Glut-DACH2-7,0.0,0.011879034766854276,0.05328560226514962,0.07478664972309378,0.08627559546662988,0.09646622987957162,0.11229353522939876,0.11494002820465075,non-song
Glut-DACH2-8,0.0,0.31561275493672314,0.34643318000589296,0.3761354378359756,0.3596045880014731,0.35284962209417414,0.33653409342648094,0.3325779715058484,non-song
Glut-DACH2-HVCra,0.18198875056033367,0.35844965287584274,0.368058848968094,0.3362117805627972,0.37101091822141113,0.35607034919880515,0.3448502404790424,0.3310358179924544,song
Glut-DACH2-HVCx,0.0,0.0,0.0,0.0014165074018055255,0.010020865662105595,0.011476472307113822,0.01506357849083423,0.018525892853956137,song
Glut-DACH2-LMANco,0.0,0.0,0.0,0.00451615385908955,0.008227129189483031,0.010677714975927453,0.01353704688746366,0.020210670602803113,song
Glut-DACH2-LMANsh,0.0,0.0,0.0,0.0,0.0,0.004072352463655544,0.010686681901830817,0.015213753149737396,song
