section_id,n_cells_in_X,peak_x_plot,peak_y_plot,centroid_x_raw,centroid_y_raw,mean_index_in,mean_index_out,width_um,height_um
OR69PU4_1_4,753,6260.283421502041,2304.20699935223,6015.780145693268,2342.546683545765,0.8155598096504959,-0.22594427397602024,1256.234961669019,880.220735916299
OR69PU4_1_7,488,6165.22553134324,2186.6388868782387,2222.7593061103194,6142.798007652408,1.0064319771920962,-0.12931511449966904,908.2310976228327,707.1497438101981
OR52YW26_1_4,625,5593.272977436009,1963.5222106626886,5364.0937484375,2130.184371875,0.8577249957242125,-0.1634384519291564,1111.9076014513776,998.3363227716675
OR52YW26_2_2,450,5390.713818114007,2052.6036432160804,2119.279274902344,5286.614009331597,0.8089025058278382,-0.11074114013462945,941.8676488838992,818.9272471306119
