section_id,n_top,nn_obs,nn_null,nn_ratio
OR69PU4_1_4,695,23.424126647253125,42.00439062215358,0.5576590042208345
OR69PU4_1_7,858,25.741975799060516,39.351504244539164,0.6541548104259
OR52YW26_1_4,781,28.00937149199345,42.61221731764936,0.6573084729010892
OR52YW26_2_2,748,30.883761084123858,41.2051658653859,0.7495118739484928
OR69PU4_2_4,489,42.86691731402034,46.07239244262058,0.9304252512479703
OR69PU4_2_7,640,39.92756158607757,41.855891947925166,0.9539292971167186
OR69PU4_2_2,494,41.67817702060822,43.23011101384233,0.9641006243833798
OR52YW26_2_4,546,42.794176385946585,43.61239799717293,0.9812387841806043
OR52YW26_1_7,599,43.41740465385476,41.54964424679096,1.0449525005790645
OR52YW26_2_7,423,49.201433733713145,46.94981981576853,1.0479578819850635
