section_id,x_centroid,y_centroid
OR69PU4_1_4,5343.2764702418335,2376.2965793619337
OR69PU4_1_4,5340.218602456665,2383.0761890507224
OR69PU4_1_4,5333.52101420677,2402.793486475345
OR69PU4_1_4,5328.912152825104,2422.5107838999684
OR69PU4_1_4,5326.514535102794,2442.2280813245916
OR69PU4_1_4,5326.659483805091,2461.945378749215
OR69PU4_1_4,5329.852814703801,2481.662676173838
OR69PU4_1_4,5336.710204196356,2501.379973598461
OR69PU4_1_4,5343.2764702418335,2513.1458629781287
OR69PU4_1_4,5348.854387951663,2521.0972710230844
OR69PU4_1_4,5367.983977777385,2540.814568447707
OR69PU4_1_4,5374.897399595634,2546.46644773833
OR69PU4_1_4,5396.920333180161,2560.5318658723304
OR69PU4_1_4,5406.518328949434,2565.9718755768554
OR69PU4_1_4,5436.9225418158885,2580.2491632969536
OR69PU4_1_4,5438.139258303235,2580.8097492854963
OR69PU4_1_4,5469.760187657035,2594.2288328901823
OR69PU4_1_4,5482.319340339642,2599.9664607215764
OR69PU4_1_4,5501.381117010836,2609.7030539233133
OR69PU4_1_4,5517.634947241267,2619.6837581461996
OR69PU4_1_4,5533.002046364635,2630.7467181975244
OR69PU4_1_4,5543.088555259374,2639.401055570823
OR69PU4_1_4,5563.1421562875685,2659.118352995446
OR69PU4_1_4,5564.622975718436,2660.610809080005
OR69PU4_1_4,5581.557892096754,2678.835650420069
OR69PU4_1_4,5596.243905072236,2694.2919370766986
OR69PU4_1_4,5600.416594425061,2698.5529478446924
OR69PU4_1_4,5622.700803525531,2718.2702452693156
OR69PU4_1_4,5627.864834426036,2722.177718311573
OR69PU4_1_4,5652.930081882521,2737.9875426939384
OR69PU4_1_4,5659.485763779837,2741.4498546838827
OR69PU4_1_4,5691.106693133636,2753.500668615499
OR69PU4_1_4,5709.814176361039,2757.7048401185616
OR69PU4_1_4,5722.727622487437,2760.186136019078
OR69PU4_1_4,5754.348551841237,2762.3557771833166
OR69PU4_1_4,5785.969481195038,2761.1887294449375
OR69PU4_1_4,5815.438192403812,2757.7048401185616
OR69PU4_1_4,5817.590410548838,2757.4139563418034
OR69PU4_1_4,5849.211339902638,2751.3675121808806
OR69PU4_1_4,5880.832269256438,2744.791897632961
OR69PU4_1_4,5912.453198610238,2738.925839356001
OR69PU4_1_4,5919.614918130708,2737.9875426939384
OR69PU4_1_4,5944.074127964039,2734.4698329154226
OR69PU4_1_4,5975.695057317839,2732.4708442565898
OR69PU4_1_4,6007.31598667164,2732.881263954222
OR69PU4_1_4,6038.936916025439,2735.0248385566474
OR69PU4_1_4,6070.55784537924,2737.883376058287
OR69PU4_1_4,6071.859681226648,2737.9875426939384
OR69PU4_1_4,6102.17877473304,2740.1768872194716
OR69PU4_1_4,6133.79970408684,2741.2035960739086
OR69PU4_1_4,6165.420633440641,2740.3447529795853
OR69PU4_1_4,6189.367058601421,2737.9875426939384
OR69PU4_1_4,6197.04156279444,2737.21783412494
OR69PU4_1_4,6228.662492148241,2731.599981686896
OR69PU4_1_4,6260.283421502041,2723.742662142509
OR69PU4_1_4,6277.429962008284,2718.2702452693156
OR69PU4_1_4,6291.904350855842,2713.6486591362445
OR69PU4_1_4,6323.525280209642,2701.608018537365
OR69PU4_1_4,6330.460312479173,2698.5529478446924
OR69PU4_1_4,6355.1462095634415,2687.731875311814
OR69PU4_1_4,6373.3625372946735,2678.835650420069
OR69PU4_1_4,6386.767138917242,2672.291148362921
OR69PU4_1_4,6411.355339412919,2659.118352995446
OR69PU4_1_4,6418.388068271042,2655.310399672017
OR69PU4_1_4,6445.293533800721,2639.401055570823
OR69PU4_1_4,6450.008997624843,2636.5212349676544
OR69PU4_1_4,6475.2108193953445,2619.6837581461996
OR69PU4_1_4,6481.629926978643,2615.09830576136
OR69PU4_1_4,6500.987106503905,2599.9664607215764
OR69PU4_1_4,6513.250856332444,2589.2335513007934
OR69PU4_1_4,6522.72550126032,2580.2491632969536
OR69PU4_1_4,6540.4195235128045,2560.5318658723304
OR69PU4_1_4,6544.871785686243,2554.492341233303
OR69PU4_1_4,6554.397662418487,2540.814568447707
OR69PU4_1_4,6565.065081559386,2521.0972710230844
OR69PU4_1_4,6572.93774137651,2501.379973598461
OR69PU4_1_4,6576.492715040044,2488.326026241779
OR69PU4_1_4,6578.29400378159,2481.662676173838
OR69PU4_1_4,6581.440137178567,2461.945378749215
OR69PU4_1_4,6582.749496771813,2442.2280813245916
