cell,section_id,areax_index,areax_index_all
OR52YW26_1_4_proseg_266,OR52YW26_1_4,-0.6536062578309404,-0.6657901693051418
OR52YW26_1_4_proseg_599,OR52YW26_1_4,-1.1293424954036488,-0.8608941353653669
OR52YW26_1_4_proseg_2849,OR52YW26_1_4,1.0461726639712456,1.0814463206945801
OR52YW26_1_4_proseg_2931,OR52YW26_1_4,0.028169935794645218,0.24777447491638982
OR52YW26_1_4_proseg_2958,OR52YW26_1_4,-0.45042358293986495,-0.18606679809134818
OR52YW26_1_4_proseg_3021,OR52YW26_1_4,-0.2935510816531232,-0.03297778611682567
OR52YW26_1_4_proseg_3035,OR52YW26_1_4,4.569679250994718e-4,0.23566718856657337
OR52YW26_1_4_proseg_3560,OR52YW26_1_4,0.7003436055368544,0.7663452009134974
OR52YW26_1_4_proseg_3827,OR52YW26_1_4,0.4122943543581681,0.6408909496988131
OR52YW26_1_4_proseg_3960,OR52YW26_1_4,-0.17047466202814376,-0.14295580520127976
OR52YW26_1_4_proseg_4260,OR52YW26_1_4,-0.2124238905968701,-0.32818052235424083
OR52YW26_1_4_proseg_5013,OR52YW26_1_4,-0.7712147579206692,-0.6081062632810874
OR52YW26_1_4_proseg_5096,OR52YW26_1_4,0.764358298331987,0.9481762232326032
OR52YW26_1_4_proseg_5703,OR52YW26_1_4,0.2202354618992931,0.1487736086613639
OR52YW26_1_4_proseg_5807,OR52YW26_1_4,-0.5704520367731388,-0.2750363338788908
OR52YW26_1_4_proseg_5863,OR52YW26_1_4,0.25927347316308474,0.41266272086211625
OR52YW26_1_4_proseg_5865,OR52YW26_1_4,0.03997855739810596,0.20647876032240053
OR52YW26_1_4_proseg_6460,OR52YW26_1_4,-0.5275824432274343,-0.4545685921616194
OR52YW26_1_4_proseg_6846,OR52YW26_1_4,-0.7734948922119432,-0.5591420873519986
OR52YW26_1_4_proseg_6898,OR52YW26_1_4,-0.0210023264994047,0.3773238917859517
OR52YW26_1_4_proseg_7422,OR52YW26_1_4,-0.5940588884916782,-0.39430382984792955
OR52YW26_1_4_proseg_7554,OR52YW26_1_4,-0.612399087216168,-0.48508435717300236
OR52YW26_1_4_proseg_7648,OR52YW26_1_4,0.37859390307410673,0.33488268647666547
OR52YW26_1_4_proseg_7669,OR52YW26_1_4,-0.6140942169991885,-0.532645781047705
OR52YW26_1_4_proseg_8184,OR52YW26_1_4,0.216971323100562,0.4145505627974092
OR52YW26_1_4_proseg_8258,OR52YW26_1_4,-0.6142481070692045,-0.2549315911620772
OR52YW26_1_4_proseg_8592,OR52YW26_1_4,-1.1601724284560775,-0.7284626854460214
OR52YW26_1_4_proseg_8630,OR52YW26_1_4,0.34841544794497636,0.6550814079166
OR52YW26_1_4_proseg_9369,OR52YW26_1_4,-0.3510291310452494,-0.06724084007736486
OR52YW26_1_4_proseg_9392,OR52YW26_1_4,-0.0770955851734052,0.09175905688430208
OR52YW26_1_4_proseg_9637,OR52YW26_1_4,0.995217512553662,1.293117249863539
OR52YW26_1_4_proseg_9697,OR52YW26_1_4,0.14568465313597379,0.2695739686810621
OR52YW26_1_4_proseg_9975,OR52YW26_1_4,1.3973269115690221,1.262832614425142
OR52YW26_1_4_proseg_10088,OR52YW26_1_4,0.009845388251940257,0.3825413194727086
OR52YW26_1_4_proseg_10205,OR52YW26_1_4,0.0957714037245978,0.4288724647594337
OR52YW26_1_4_proseg_10212,OR52YW26_1_4,-0.5336125873028557,-0.28818099651312157
OR52YW26_1_4_proseg_10251,OR52YW26_1_4,-0.37727504482523755,-0.3251704755328445
OR52YW26_1_4_proseg_10352,OR52YW26_1_4,0.31752492685979633,0.3342028174275816
OR52YW26_1_4_proseg_10492,OR52YW26_1_4,-0.25339085681550755,-0.028071502527637904
OR52YW26_1_4_proseg_10517,OR52YW26_1_4,0.5706439693094381,0.6186461933294669
OR52YW26_1_4_proseg_10681,OR52YW26_1_4,0.13695280670296683,0.3682129324877731
OR52YW26_1_4_proseg_10703,OR52YW26_1_4,-0.6107071593364393,-0.2556957663579409
OR52YW26_1_4_proseg_10718,OR52YW26_1_4,0.07986199149322792,0.17900729226648637
OR52YW26_1_4_proseg_10857,OR52YW26_1_4,-0.014011641739152925,0.33461715600144326
OR52YW26_1_4_proseg_10907,OR52YW26_1_4,-0.04961287466971931,0.15047878314533392
OR52YW26_1_4_proseg_10980,OR52YW26_1_4,0.12899802224193602,0.31695408354925947
OR52YW26_1_4_proseg_12411,OR52YW26_1_4,-0.007325936409802725,-0.016045126160057266
OR52YW26_1_4_proseg_14394,OR52YW26_1_4,0.8451514372552154,1.0287685345784099
OR52YW26_1_4_proseg_14689,OR52YW26_1_4,1.3797618242571246,1.4987364058811024
OR52YW26_1_4_proseg_15765,OR52YW26_1_4,0.10821158860826574,0.3647648581961007
OR52YW26_1_4_proseg_15926,OR52YW26_1_4,-0.10723315569343483,0.12930734886163542
OR52YW26_1_4_proseg_16618,OR52YW26_1_4,0.4951916237689438,0.7365549538435283
OR52YW26_1_4_proseg_17426,OR52YW26_1_4,0.036556449982557804,0.1447161927193965
OR52YW26_1_4_proseg_21699,OR52YW26_1_4,0.30229571067571775,0.6314229820687914
OR52YW26_1_4_proseg_22180,OR52YW26_1_4,-0.14654450192351332,0.00569574800319661
OR52YW26_1_4_proseg_22246,OR52YW26_1_4,-0.1626715981343092,0.24280715875063041
OR52YW26_1_4_proseg_26118,OR52YW26_1_4,-1.0571980924232691,-0.5874019720518597
OR52YW26_1_4_proseg_26389,OR52YW26_1_4,0.2948498978892036,0.3299588600175686
