soup_library,celltype,n_genes,n_birds,median_var_between_birds,median_F,median_null_F,median_of_perm_medians,F_ratio,p_global,n_sig,frac_sig,soup_batch,n_cells,padj_global
ra_run1,Glut-CACNA1H-RA,11113,3,0.4391216437431062,2.348753373228648,0.793355551807266,0.7817524112430758,3.0044721825595153,0.005988023952095809,1045,0.094034014217583,batch1,1196,0.007698887938408897
hvc_run1,Glut-DACH2-HVCra,10767,3,0.3941147910099784,1.9514329702830018,0.8131366266934129,0.7971669402450243,2.4479602348827862,0.003992015968063872,744,0.06910002786291446,batch1,3017,0.007698887938408896
arco_run1,Glut-CACNA1H-1,10946,3,0.3565237725459358,1.6621768953086677,0.7779910488318431,0.7893449888555787,2.1057673371925154,0.005988023952095809,5,4.5678786771423353e-4,batch1,891,0.007698887938408897
nr_run1,Glut-DACH2-6,10407,3,0.3090308525627259,1.3417278631421654,0.7812802683304261,0.7850139844583388,1.7091770206717531,0.001996007984031936,36,0.003459210147016431,batch2,709,0.007698887938408896
arco_run1,Glut-CACNA1H-2,10808,3,0.30661868146432636,1.32662365822471,0.7999914869665226,0.7972135213298936,1.664075712127494,0.001996007984031936,6,5.551443375277572e-4,batch1,735,0.007698887938408896
nc_run1,Glut-DACH2-1,11149,3,0.3054670107695246,1.319449250818053,0.7979703368090515,0.8004020206769691,1.6484831581285626,0.003992015968063872,28,0.0025114360032289893,batch1,1846,0.007698887938408896
lman_run1,Glut-DACH2-LMANco,11164,3,0.2930014849636794,1.243290445217814,0.786026895962572,0.7830368544155768,1.587780240747097,0.003992015968063872,75,0.0067180222142601215,batch2,679,0.007698887938408896
nc_run1,GABA-1-1,7515,3,0.2972435508491687,1.2689042606795282,0.7867388415008034,0.7999472775309946,1.586234863622451,0.003992015968063872,0,0,batch1,362,0.007698887938408896
hvc_run1,Glut-DACH2-HVCx,10417,3,0.28485619558043385,1.194960484115355,0.790443603404352,0.7991105492752306,1.4953631699633403,0.005988023952095809,1,9.599692809830086e-5,batch1,341,0.007698887938408897
ra_run1,Astro-1,7933,3,0.2801383863044553,1.167467667290852,0.7871639573710392,0.7897994932878302,1.4781823452821417,0.001996007984031936,6,7.563342997604941e-4,batch1,752,0.007698887938408896
nr_run1,Glut-DACH2-5,8561,3,0.28741135140758484,1.2100025111625559,0.8143697113248356,0.8213848019634301,1.4731250301566061,0.005988023952095809,388,0.04532180819997664,batch2,953,0.007698887938408897
nc_run1,Astro-2,7227,3,0.2817318343962524,1.176713021213072,0.7938816146623953,0.8050813422188874,1.4616076159086353,0.001996007984031936,0,0,batch1,306,0.007698887938408896
nc_run1,Glut-DACH2-3,10631,3,0.2734785421943717,1.129265512764266,0.7961181887244231,0.7980776971512281,1.4149819206766792,0.003992015968063872,1,9.406452826639074e-5,batch1,697,0.007698887938408896
hvc_run1,Glut-DACH2-HVCra-Pre,8973,3,0.271190095450165,1.1162997117238875,0.7887303469940312,0.7922448664112816,1.4090336953276994,0.007984031936127744,0,0,batch1,664,0.008291110087517274
lman_run1,Glut-DACH2-LMANsh,9175,3,0.27197311637162347,1.1207269504231094,0.7876984240126474,0.7969795801925346,1.4062178985217713,0.001996007984031936,3,3.2697547683923706e-4,batch2,1136,0.007698887938408896
lman_run1,Astro-3,7133,3,0.27624334392513433,1.1450395997320937,0.8050054029275504,0.8190949357907416,1.3979327055986377,0.007984031936127744,8,0.0011215477358755082,batch2,477,0.008291110087517274
ra_run1,Oligo-1,5429,3,0.26945467217414987,1.106521369355948,0.7985685746018737,0.7935539390675981,1.3943870918920485,0.003992015968063872,1,1.841959845275373e-4,batch1,474,0.007698887938408896
hvc_run1,Glut-DACH2-2,7823,3,0.27028018310422147,1.1111669582470334,0.7999608500340307,0.8124088121409874,1.3677436059792503,0.001996007984031936,3,3.834845967020325e-4,batch1,479,0.007698887938408896
nc_run1,Glut-DACH2-2,8684,3,0.26052628852040016,1.0569393878907216,0.7893663491981725,0.7848127748946981,1.3467408045600888,0.007984031936127744,1,1.1515430677107324e-4,batch1,465,0.008291110087517274
nr_run1,Glut-DACH2-7,8883,3,0.2653350540530539,1.0834941377707237,0.8217689990694811,0.829458061008944,1.3062675362426075,0.005988023952095809,371,0.04176516942474389,batch2,804,0.007698887938408897
arco_run1,GABA-2-1,8694,3,0.25753495503612134,1.0405942626307585,0.8067239885244659,0.810486395603194,1.2839132998109237,0.003992015968063872,0,0,batch1,333,0.007698887938408896
nc_run1,GABA-1-2,6003,3,0.2515233150799587,1.0081408819307254,0.7993518632250091,0.7969550233457263,1.2649909372531614,0.005988023952095809,0,0,batch1,240,0.007698887938408897
hvc_run1,GABA-1-1,6901,3,0.2470745270342723,0.9844581007243416,0.7966854898522289,0.7883065601374304,1.248826472473748,0.007984031936127744,0,0,batch1,306,0.008291110087517274
hvc_run1,Glut-NB,9466,3,0.243924807735512,0.967859335397275,0.7933707190157112,0.7873658699688283,1.2292370958822387,0.005988023952095809,0,0,batch1,434,0.007698887938408897
arco_run1,GABA-4-1,8503,3,0.2422742820422572,0.959216282226421,0.7958150867660866,0.7853648950969065,1.2213638376439817,0.003992015968063872,3,3.528166529460191e-4,batch1,313,0.007698887938408896
hvc_run1,Astro-2,5861,3,0.2419903491927423,0.9577332515556884,0.7985410118962406,0.7969181525338352,1.2017962553752035,0.007984031936127744,0,0,batch1,255,0.008291110087517274
hvc_run1,Glut-NSC,7697,3,0.2358618328085796,0.9259915664551344,0.7980668647109751,0.7929748954419266,1.1677438614737952,0.00998003992015968,0,0,batch1,224,0.00998003992015968
