soup_batch,celltype,gene,var_depth,var_library,var_individual,var_residual,ss_total,F_individual,df_individual,df_residual,n_genes,used_depth,p_perm,padj_perm
batch1,Astro-2,LOC110482409,0.010303778957917478,0.019094387248210058,0.960845925169553,0.009755908624319421,2.9527902149947236,147.73292199165851,2,3,7851,TRUE,7.74421667503076e-4,0.40444341414661195
batch1,Astro-2,LOC110483416,0.00837677598197667,0.02319284846003858,0.9521105482302735,0.01631982732771122,19.363756132986225,87.5110865860922,2,3,7851,TRUE,0.0015845074907464252,0.4888123140989691
batch1,Astro-2,LOC110482385,2.905855098136346e-4,0.034414230503545105,0.9376507222555939,0.027644461731047402,28.259071642928824,50.877318468595185,2,3,7851,TRUE,0.0033779050365430226,0.4888123140989691
batch1,Astro-2,TTC31,0.012762069460732134,0.011169367954164509,0.9338639780055151,0.04220458457958835,5.021551236947392,33.19061142200527,2,3,7851,TRUE,0.006269249091200888,0.5230598920228694
batch1,Astro-2,LOC110483912,0.01686060292769339,0.0375971118256301,0.9276810166309836,0.017861268615693003,4.670293226521807,77.90720552312153,2,3,7851,TRUE,0.0018163245030582015,0.4888123140989691
batch1,Astro-2,ZHX1,0.030352060789391556,0.004137231539891804,0.9270079648898325,0.038502742780884044,0.8099973254183459,36.11462059334418,2,3,7851,TRUE,0.0054897325443063446,0.5230598920228694
batch1,Astro-2,LOC116183734,8.235033128820681e-4,0.05174878665859366,0.919847721742348,0.027579988286176308,28.49519145610961,50.02799741235183,2,3,7851,TRUE,0.0034645179861979717,0.4888123140989691
batch1,Astro-2,TJP2,0.002482979570666173,0.017059181791397808,0.9193260150516283,0.061131823586307775,0.581568589124153,22.557629425704008,2,3,7851,TRUE,0.010431765554029922,0.5316967587386674
batch1,Astro-2,SYTL5,0.0014945494389672573,0.07512589017728034,0.9142828350980614,0.009096725285691,5.442336598502551,150.76021420634962,2,3,7851,TRUE,7.463998308500042e-4,0.40444341414661195
batch1,Astro-2,LOC116183221,0.016990010383920805,0.012376374513385642,0.9137545225363527,0.05687909256634079,21.192213269323084,24.097286401077795,2,3,7851,TRUE,0.009608942532307903,0.5316967587386674
batch1,Astro-2,MPPED2,0.024613600371567394,0.013152828743625392,0.9109735164442009,0.0512600544406063,10.723971230038813,26.65740974289412,2,3,7851,TRUE,0.008546660179186908,0.5316967587386674
batch1,Astro-2,BBOX1,0.06091502691474355,0.01342553056115723,0.9070385984389145,0.01862084408518464,1.6789643624989787,73.06639223411341,2,3,7851,TRUE,0.001964076005410762,0.4888123140989691
batch1,Astro-2,FRMPD1,0.04267357010632624,0.013725084309833565,0.8987126110595783,0.044888734524261974,9.561235042116847,30.031341513108327,2,3,7851,TRUE,0.007283130090102942,0.5271986569897924
batch1,Astro-2,ACBD5,0.00293118579631439,0.051078907493401736,0.8980224840037934,0.04796742270649045,1.4068963068101763,28.08226187694307,2,3,7851,TRUE,0.008009150403387075,0.5271986569897924
batch1,Astro-2,TRANK1,0.049693268630751505,0.03476373364107275,0.8966578612597199,0.01888513646845583,4.326482978369373,71.21933135808337,2,3,7851,TRUE,0.0020583312741529127,0.4888123140989691
batch1,Astro-2,MRVI1,0.04943652448132672,0.04489919597715548,0.8822205067388753,0.023443772802642506,8.68546374479378,56.44700497861639,2,3,7851,TRUE,0.002932103089789607,0.4888123140989691
batch1,Astro-2,LOC110482541,0.0013598863310391824,0.03482278686475386,0.8794540691912532,0.08436325761295375,5.1243548351646035,15.636915182188545,2,3,7851,TRUE,0.016522693866529443,0.5332506740929297
batch1,Astro-2,WNT16,0.007328497719250348,0.10808406250584157,0.8762150937434503,0.008372346031457777,30.040741613935516,156.98379351221445,2,3,7851,TRUE,6.59786881195055e-4,0.39846052340479815
batch1,Astro-2,LOC110471132,0.011759539309502529,0.06303121733877715,0.8743995538008209,0.05080968955089935,2.1469079573643337,25.813960728638534,2,3,7851,TRUE,0.00882942598541336,0.5316967587386674
batch1,Astro-2,INPP5A,0.06099550982752954,0.004182015051345481,0.8723695578682842,0.0624529172528409,1.278585639017198,20.952653524650234,2,3,7851,TRUE,0.011585755736197335,0.5316967587386674
batch1,Astro-2,LUZP2,7.154107294681303e-4,0.0646082995422017,0.8622941968180863,0.07238209291024388,0.48317739104140056,17.86963105406524,2,3,7851,TRUE,0.013939590015055368,0.5316967587386674
batch1,Astro-2,BCAR3,0.02870341608509305,0.07817232981510765,0.8609826898290135,0.03214156427078583,1.3307117958351238,40.18080837208565,2,3,7851,TRUE,0.004778996869196614,0.5230598920228694
batch1,Astro-2,LOC110482761,0.019349846851970404,0.09471021880875084,0.8564308124915526,0.02950912184772612,3.4570809684068182,43.533868115981214,2,3,7851,TRUE,0.004284793568224256,0.5196909838074935
batch1,Astro-2,WDR19,0.0010528384596695621,0.11971223225796028,0.8524998467762936,0.026735082506076428,3.156824032882415,47.83040298730339,2,3,7851,TRUE,0.003760020990903093,0.4919987466596697
batch1,Astro-2,MAPKAPK3,0.022235050372684445,0.10170493134551983,0.849649804267791,0.026410214014004584,2.7564359925303017,48.256886738057815,2,3,7851,TRUE,0.0036734080412481438,0.4888123140989691
batch1,GABA-1-1,CERT1,5.356432872003743e-7,0.022804436057708554,0.9613520845877136,0.015842943711290546,3.1665148760326067,91.02021399305374,2,3,8433,TRUE,0.0016886002879158357,0.2306244530429194
batch1,GABA-1-1,LOC116183733,0.0021678419516813403,0.06676547201494713,0.92516968696533,0.005896999068041591,4.11435558247468,235.33232995895182,2,3,8433,TRUE,4.245217015968182e-4,0.15999962053926114
batch1,GABA-1-1,POU2F1,0.015376802314530395,0.010003775619480895,0.9106952451326227,0.06392417693336593,0.6419424394778896,21.36973729240013,2,3,8433,TRUE,0.01321234860109427,0.345537642049212
batch1,GABA-1-1,SLCO3A1,0.03969165769915789,0.024595672619067775,0.9070277066137928,0.02868496306798145,1.6048161477049105,47.43047974983605,2,3,8433,TRUE,0.0041645816089609655,0.248193855819149
batch1,GABA-1-1,LINGO2,0.0454340179685232,0.007908260817813276,0.9006471150329153,0.04601060618074819,0.8097111901128076,29.362157656480687,2,3,8433,TRUE,0.008461974476522053,0.3088422427454643
