soup_library,celltype,repeat_id,n_genes,median_var_between_birds,median_F,F_ratio,p_global,n_sig
arco_run1,GABA-2-1,1,7419,0.23913391791220553,0.9428751926595111,1.1877773310498991,0.003992015968063872,0
arco_run1,GABA-4-1,1,7356,0.23695150415342786,0.9315981102258957,1.1648535864311131,0.005988023952095809,0
arco_run1,Glut-CACNA1H-1,1,8232,0.2655094856065207,1.0844639123661852,1.3611760800550539,0.003992015968063872,0
arco_run1,Glut-CACNA1H-2,1,8458,0.25392745038408043,1.0210566712873503,1.2783960518711186,0.003992015968063872,0
hvc_run1,Astro-2,1,5182,0.24185254400224912,0.9570138726371213,1.2029082016522306,0.005988023952095809,0
hvc_run1,GABA-1-1,1,5795,0.23985661870029162,0.9466238525560006,1.2017169307324915,0.01996007984031936,0
hvc_run1,Glut-DACH2-2,1,5953,0.23481324838473064,0.9206115287113326,1.161439573406004,0.00998003992015968,0
hvc_run1,Glut-DACH2-HVCra,1,7086,0.2474432443562638,0.9864104831360794,1.2315077954850755,0.005988023952095809,0
hvc_run1,Glut-DACH2-HVCra-Pre,1,6463,0.23684563122918287,0.9310526451312631,1.1763093426207394,0.001996007984031936,0
hvc_run1,Glut-DACH2-HVCx,1,9458,0.26020149629182443,1.0551582424042474,1.3411675011329487,0.005988023952095809,0
hvc_run1,Glut-NB,1,7498,0.2194056722767994,0.8432254674434853,1.0688934908621261,0.11976047904191617,0
hvc_run1,Glut-NSC,1,6931,0.23039370586407715,0.898097017733277,1.1241841428282962,0.007984031936127744,0
lman_run1,Astro-3,1,5292,0.2472371206790573,0.9853187320149296,1.2362554716784941,0.003992015968063872,0
lman_run1,Glut-DACH2-LMANco,1,9078,0.2536925851751002,1.0197912287514714,1.305747738098783,0.003992015968063872,0
lman_run1,Glut-DACH2-LMANsh,1,6429,0.22841488077504946,0.8880998677287474,1.1201329338953456,0.011976047904191617,0
nc_run1,Astro-2,1,5977,0.2694413472628601,1.1064464690960563,1.3677177631790627,0.001996007984031936,1
nc_run1,GABA-1-1,1,6029,0.2719803213173208,1.1207677317574343,1.4338701193214778,0.001996007984031936,0
nc_run1,GABA-1-2,1,5368,0.24112615674144272,0.953226263548637,1.2092558263884186,0.003992015968063872,2
nc_run1,Glut-DACH2-1,1,7146,0.23440285063138727,0.9185099316938743,1.1655252195419141,0.001996007984031936,0
nc_run1,Glut-DACH2-2,1,6892,0.22736655037035639,0.8828244119699864,1.1130879884894609,0.007984031936127744,0
nc_run1,Glut-DACH2-3,1,8634,0.24151970333054693,0.9552774320973807,1.2083323055683568,0.001996007984031936,0
