soup_library,celltype,n_cells,F_ratio_unmatched,F_ratio_matched
ra_run1,Glut-CACNA1H-RA,1196,3.0044721825595153,1.5376921257667604
hvc_run1,Glut-DACH2-HVCra,3017,2.4479602348827862,1.2107627959829084
arco_run1,Glut-CACNA1H-1,891,2.1057673371925154,1.381016087268614
nr_run1,Glut-DACH2-6,709,1.7091770206717531,1.3057953503920592
arco_run1,Glut-CACNA1H-2,735,1.664075712127494,1.2783960518711186
nc_run1,Glut-DACH2-1,1846,1.6484831581285626,1.138780493245927
lman_run1,Glut-DACH2-LMANco,679,1.587780240747097,1.2858525289875338
nc_run1,GABA-1-1,362,1.586234863622451,1.422264952466045
hvc_run1,Glut-DACH2-HVCx,341,1.4953631699633403,1.3343936600002364
ra_run1,Astro-1,752,1.4781823452821417,1.2374675586435404
nr_run1,Glut-DACH2-5,953,1.4731250301566061,1.2007933456789002
nc_run1,Astro-2,306,1.4616076159086353,1.3677177631790627
nc_run1,Glut-DACH2-3,697,1.4149819206766792,1.2083323055683568
hvc_run1,Glut-DACH2-HVCra-Pre,664,1.4090336953276994,1.1964427217951603
lman_run1,Glut-DACH2-LMANsh,1136,1.4062178985217713,1.1400208205229563
lman_run1,Astro-3,477,1.3979327055986377,1.2320559705741936
ra_run1,Oligo-1,474,1.3943870918920485,1.2321425964233976
hvc_run1,Glut-DACH2-2,479,1.3677436059792503,1.1679669455920678
nc_run1,Glut-DACH2-2,465,1.3467408045600888,1.1592086509393933
nr_run1,Glut-DACH2-7,804,1.3062675362426075,1.1737555809183995
arco_run1,GABA-2-1,333,1.2839132998109237,1.1668268382188218
nc_run1,GABA-1-2,240,1.2649909372531614,1.2028170436416572
hvc_run1,GABA-1-1,306,1.248826472473748,1.1206683485992766
hvc_run1,Glut-NB,434,1.2292370958822387,1.0768216183211563
arco_run1,GABA-4-1,313,1.2213638376439817,1.1361102292773986
hvc_run1,Astro-2,255,1.2017962553752035,1.17928054400993
hvc_run1,Glut-NSC,224,1.1677438614737952,1.1241841428282962
