soup_batch,celltype,n_genes,median_var_individual,median_var_library,median_var_depth,median_var_residual,n_sig,frac_sig,median_var_individual_null,q95_var_individual_null,p_global,median_of_perm_medians,excess_var_individual,n_pb,n_lib,n_ind,n_cells,rank_reduced,df_residual,use_depth,testable,padj_global
batch1,Glut-DACH2-2,10495,0.3158773687290822,0.29158602366311454,0,0.2010833153812004,0,0,0.26375619650881255,0.8227365024252801,0.0392156862745098,0.26777323136445325,0.05212117222026963,6,2,3,944,4,2,FALSE,TRUE,0.1323529411764706
batch2,Astro-3,9286,0.2654163493650634,0.32657235578008414,0,0.20804135913745572,0,0,0.2319984168683714,0.8043249825676178,0.11764705882352941,0.2228632841705967,0.03341793249669203,6,2,3,818,4,2,FALSE,TRUE,0.1323529411764706
batch1,GABA-1-1,8433,0.15477700359622976,0.22777182139995195,0.2519259531023484,0.19299451745833182,0,0,0.1237652621581019,0.5079720772372085,0.0784313725490196,0.1287534616923822,0.031011741438127863,9,3,3,811,5,4,TRUE,TRUE,0.1323529411764706
batch2,Glut-DACH2-8,10789,0.3370483761843729,0.2221133871358984,0,0.2717183630467308,0,0,0.3074529050528594,0.8436204788845681,0.0784313725490196,0.29967549897960966,0.029595471131513507,6,2,3,670,4,2,FALSE,TRUE,0.1323529411764706
batch1,GABA-3,9590,0.1784538133656524,0.26600749369543303,0.1254442084020182,0.23347967470823766,1,1.0427528675703858e-4,0.1500439436040996,0.5533184596284656,0.11764705882352941,0.1498191016164879,0.028409869761552797,9,3,3,569,5,4,TRUE,TRUE,0.1323529411764706
batch1,Astro-2,7851,0.14656751653332298,0.25319298061467105,0.1999637540555977,0.20442873034454137,0,0,0.12697445175428107,0.4991152346697706,0.0784313725490196,0.12583139085204598,0.019593064779041908,9,3,3,772,5,4,TRUE,TRUE,0.1323529411764706
batch2,GABA-1-1,8763,0.2777717902821383,0.2877279186788039,0,0.24080757199965958,0,0,0.26231064167140955,0.8144526624782144,0.11764705882352941,0.2622248892609085,0.015461148610728725,6,2,3,824,4,2,FALSE,TRUE,0.1323529411764706
batch1,GABA-2-1,11393,0.3108217083720775,0.22356444579858747,0,0.27421404939278976,0,0,0.2983860734177381,0.8383338140200243,0.3137254901960784,0.2965979040655634,0.012435634954339414,6,2,3,507,4,2,FALSE,TRUE,0.3137254901960784
batch1,GABA-4-1,10731,0.3201981958751219,0.22206171595697233,0,0.2782060424623319,0,0,0.3084756344034058,0.8419536123438801,0.09803921568627451,0.3150172183235943,0.011722561471716075,6,2,3,472,4,2,FALSE,TRUE,0.1323529411764706
