soup_library,celltype,n_repeats,n_genes,median_var_between_birds,median_F,F_ratio_min,F_ratio_max,F_ratio_sd,F_ratio,p_global,n_sig,soup_batch,padj_global
ra_run1,Glut-CACNA1H-RA,5,9012,0.287275739575621,1.2092014634294943,1.3988402219299465,1.551319237069217,0.06326885190054758,1.5376921257667604,0.005988023952095809,0,batch1,0.017964071856287425
nc_run1,GABA-1-1,5,6001,0.2709745862016387,1.1150829143954106,1.383218342091573,1.4464406120610838,0.027575933549636528,1.422264952466045,0.00998003992015968,0,batch1,0.017964071856287425
arco_run1,Glut-CACNA1H-1,5,8210,0.2694312996549468,1.1063899925949154,1.3611760800550539,1.44527284011998,0.03646056528761725,1.381016087268614,0.003992015968063872,0,batch1,0.017964071856287425
nc_run1,Astro-2,5,5977,0.2694413472628601,1.1064464690960563,1.318659500923262,1.4359886526178773,0.046913482526210463,1.3677177631790627,0.00998003992015968,1,batch1,0.017964071856287425
hvc_run1,Glut-DACH2-HVCx,5,9458,0.25961775826959343,1.0519610443644698,1.3309455017826932,1.3411675011329487,0.004099820671552447,1.3343936600002364,0.005988023952095809,0,batch1,0.017964071856287425
nr_run1,Glut-DACH2-6,5,8029,0.25606709247569104,1.0326217197297902,1.2299566736409397,1.357804296805753,0.05143589819109503,1.3057953503920592,0.007984031936127744,0,batch2,0.017964071856287425
lman_run1,Glut-DACH2-LMANco,5,9008,0.25200636308567137,1.0107293056340778,1.214539820988879,1.305747738098783,0.03747466071190431,1.2858525289875338,0.00998003992015968,0,batch2,0.017964071856287425
arco_run1,Glut-CACNA1H-2,5,8458,0.25381208892069285,1.020435088392214,1.2270392437106403,1.3470500455785568,0.043378658756156985,1.2783960518711186,0.007984031936127744,0,batch1,0.017964071856287425
ra_run1,Astro-1,5,4932,0.24565451412515388,0.976957642824932,1.1971190364128617,1.2930329833735856,0.043296218049492234,1.2374675586435404,0.027944111776447105,0,batch1,0.030179640718562877
ra_run1,Oligo-1,5,3914,0.24686468968813144,0.9833479574310743,1.2095300899930606,1.267559194025978,0.021028768243429315,1.2321425964233976,0.003992015968063872,0,batch1,0.017964071856287425
lman_run1,Astro-3,5,5173,0.24561739401954252,0.9767618927280993,1.2066648965000217,1.2431264890525007,0.015251412893494238,1.2320559705741936,0.005988023952095809,0,batch2,0.017964071856287425
hvc_run1,Glut-DACH2-HVCra,5,7164,0.241352760087047,0.9544070579420012,1.2044196683071389,1.2487657930316005,0.018758594226401058,1.2107627959829084,0.005988023952095809,0,batch1,0.017964071856287425
nc_run1,Glut-DACH2-3,5,8803,0.24159184145789225,0.9556536493052986,1.1879508431011092,1.303222734053439,0.04562039368145772,1.2083323055683568,0.005988023952095809,0,batch1,0.017964071856287425
nc_run1,GABA-1-2,5,5306,0.239858098430611,0.946631537737334,1.163406800348945,1.2161828039040377,0.02183384883628766,1.2028170436416572,0.021956087824351298,0,batch1,0.02694610778443114
nr_run1,Glut-DACH2-5,5,5559,0.24135894246366163,0.954439283503058,1.1604752044142523,1.2900389702753918,0.05971602723671239,1.2007933456789002,0.007984031936127744,0,batch2,0.017964071856287425
hvc_run1,Glut-DACH2-HVCra-Int,5,6463,0.237725767058866,0.935591510715111,1.1699720779878093,1.2287799794585281,0.027902648868336568,1.1964427217951603,0.01996007984031936,0,batch1,0.02694610778443114
hvc_run1,Astro-2,5,5180,0.23913145567458066,0.9428624331681089,1.1595283617398042,1.2133273457274587,0.023877611938746348,1.17928054400993,0.007984031936127744,0,batch1,0.017964071856287425
nr_run1,Glut-DACH2-7,5,6254,0.23757626241416466,0.9348197755480474,1.1169783318823134,1.1969501615407034,0.030224448039698776,1.1737555809183995,0.013972055888223553,0,batch2,0.019855026788528206
hvc_run1,Glut-DACH2-2,5,5965,0.23547015091604043,0.92398021293024,1.161439573406004,1.2308238307265353,0.03362212590312848,1.1679669455920678,0.00998003992015968,0,batch1,0.017964071856287425
arco_run1,GABA-2-1,5,7395,0.2369738069900949,0.9317129968578366,1.1347771394996855,1.1877773310498991,0.021132972411204303,1.1668268382188218,0.02594810379241517,0,batch1,0.030179640718562877
nc_run1,Glut-DACH2-2,5,6766,0.23421334988425357,0.9175402206929655,1.1130879884894609,1.173314354304233,0.023606585209061323,1.1592086509393933,0.013972055888223553,0,batch1,0.019855026788528206
lman_run1,Glut-DACH2-LMANsh,5,6213,0.2317166416174278,0.9048092971167508,1.1117370750554991,1.166095348065675,0.022747314308995632,1.1400208205229563,0.011976047904191617,0,batch2,0.019020781965480803
nc_run1,Glut-DACH2-1,5,7355,0.2313450402389226,0.9029215409375569,1.1256136575693392,1.2900386095291494,0.06820678777461867,1.138780493245927,0.011976047904191617,0,batch1,0.019020781965480803
arco_run1,GABA-4-1,5,7310,0.2313711449900344,0.903054095871872,1.0667835114558637,1.1648535864311131,0.036570932138611234,1.1361102292773986,0.021956087824351298,0,batch1,0.02694610778443114
hvc_run1,Glut-NSC,5,7101,0.22921108533226406,0.8921161720303287,1.1097292761572377,1.1313837523522188,0.00913205287328793,1.1241841428282962,0.17365269461077845,0,batch1,0.18033164440350072
hvc_run1,GABA-1-1,5,5807,0.22874508653003095,0.8897645222156674,1.1031859530467452,1.2017169307324915,0.04374546356490788,1.1206683485992766,0.027944111776447105,0,batch1,0.030179640718562877
hvc_run1,Glut-NB,5,7605,0.2216292244067452,0.8542043148899121,1.040333746454762,1.1762165574047567,0.05134416780785683,1.0768216183211563,0.26147704590818366,0,batch1,0.26147704590818366
