gene,n_combinations
PCNT,1
PCNX1,1
PCNX2,1
PCP4,1
PCSK1,1
PCSK5,1
PCSK7,1
PDE11A,1
PDE3A,1
PDE5A,1
PDE6C,1
PDE7B,1
PDE8A,1
PDE8B,1
PDE9A,1
PDGFA,1
PDGFC,1
PDIA4,1
PDLIM5,1
PDZD11,1
PDZD2,1
PEAK1,1
PELI1,1
PELO,1
PELP1,1
PEMT,1
PEX26,1
PGPEP1L,1
PGRMC2,1
PHEX,1
PHF21B,1
PHF24,1
PHKA1,1
PHKB,1
PHLDB1,1
PHLDB2,1
PHTF1,1
PHTF2,1
PHYHIP,1
PID1,1
PIEZO2,1
PIGA,1
PIGB,1
PIK3C2A,1
PIK3R5,1
PITPNM2,1
PITPNM3,1
PIWIL1,1
PLA2G12B,1
PLA2G15,1
PLAGL1,1
PLCB1,1
PLCB2,1
PLCL1,1
PLEKHA3,1
PLEKHA5,1
PLEKHA7,1
PLEKHG1,1
PLEKHH2,1
PLEKHJ1,1
PLOD2,1
PLPP4,1
PM20D1,1
PMM2,1
PNISR,1
PNOC,1
POC1B,1
POLE2,1
POLH,1
POMC,1
POPDC3,1
POT1,1
PPA1,1
PPIL2,1
PPIL4,1
PPL,1
PPM1L,1
PPP1R16B,1
PPP2R2A,1
PPP2R5A,1
PPP3CB,1
PPP4R2,1
PPRC1,1
PRDM5,1
PRDX4,1
PRELID3B,1
PREX2,1
PRKAB2,1
PRKAG2,1
PRKCE,1
PRKCI,1
PRKG1,1
PRMT7,1
PRMT8,1
PRMT9,1
PRNP,1
PROM1,1
PROM2,1
PROSER1,1
PRR5,1
PRR7,1
PSKH1,1
PSTK,1
PTCD2,1
PTCHD1,1
PTDSS1,1
PTDSS2,1
PTH1R,1
PTP4A3,1
PTPN21,1
PTPN3,1
PTPN6,1
PTPRD,1
PTPRE,1
PTPRF,1
PTPRG,1
PTPRJ,1
PTPRK,1
PTPRO,1
PTPRS,1
PTPRU,1
PURG,1
PUS1,1
PUS3,1
PUS7,1
PXDN,1
PXYLP1,1
PYCR1,1
R3HDM2,1
RAB27A,1
RAB30,1
RAB43,1
RAB5A,1
RABGAP1L,1
RABGEF1,1
RAD50,1
RAI14,1
RAI2,1
RAMP3,1
RANBP10,1
RAP1GDS1,1
RAPGEF1,1
RAPGEF4,1
RASA3,1
RASAL2,1
RASGEF1C,1
RASGRF1,1
RASGRF2,1
RASGRP1,1
RASSF3,1
RB1,1
RBFOX3,1
RBL2,1
RBM12B,1
RBM17,1
RBM25,1
RBM46,1
RBM5,1
RC3H2,1
RCAN2,1
RCC1,1
RCN2,1
RCOR1,1
RDX,1
REC114,1
RENBP,1
RESF1,1
RFX2,1
RGS12,1
RGS7,1
RGS7BP,1
RGS9BP,1
RHPN1,1
RIC8A,1
RINT1,1
RIT1,1
RIT2,1
RNF144B,1
RNF20,1
RNF207,1
RNF24,1
RNF25,1
RNF7,1
RNF8,1
RNLS,1
RNPC3,1
ROBO1,1
ROCK2,1
ROPN1L,1
RORB,1
RPN1,1
RPS6KA2,1
RPS6KA3,1
RRAGC,1
RRAS2,1
RTN1,1
RTN4IP1,1
RUBCN,1
RUFY2,1
RUFY3,1
RUNX1T1,1
RUNX2,1
RUSC2,1
RWDD3,1
RXRA,1
SACM1L,1
SAMD11,1
SAMD4A,1
SATB2,1
SAXO2,1
SCAF11,1
SCAF8,1
SCG3,1
SCML2,1
SCN8A,1
SCRN1,1
SCUBE1,1
SDC1,1
SDC2,1
SECISBP2,1
SECISBP2L,1
SEMA3D,1
SEMA4G,1
SEMA6A,1
SEMA6D,1
SENP2,1
SEPSECS,1
SERINC5,1
SERPINI1,1
SESN3,1
SETDB1,1
SFSWAP,1
SFT2D2,1
SGCD,1
SGCG,1
SGMS2,1
SHC2,1
SHC3,1
SHISA6,1
SHISA9,1
SHLD2,1
SHOC2,1
SHPRH,1
SHROOM4,1
SIK2,1
SIMC1,1
SIRT2,1
SIRT7,1
SKA2,1
SKI,1
SLAIN1,1
SLC15A2,1
SLC16A2,1
SLC16A3,1
SLC16A4,1
SLC16A7,1
SLC20A1,1
SLC23A2,1
SLC24A2,1
SLC24A4,1
SLC25A29,1
SLC25A40,1
SLC2A4RG,1
SLC30A3,1
SLC35B3,1
SLC35F1,1
SLC35F4,1
SLC35F5,1
SLC38A10,1
SLC38A11,1
SLC38A2,1
SLC39A10,1
SLC3A2,1
SLC49A3,1
SLC4A11,1
SLC4A4,1
SLC66A2,1
SLC66A3,1
SLC6A11,1
SLC6A15,1
SLC6A4,1
SLC6A5,1
SLC6A6,1
SLC9A3,1
SLC9A6,1
SLCO2B1,1
SLCO3A1,1
SLF2,1
SLIT3,1
SLITRK5,1
SLITRK6,1
SMAD6,1
SMARCC2,1
SMC5,1
SMCR8,1
SMG5,1
SMPD3,1
SMURF2,1
SNAP25,1
SNAPC1,1
SNCAIP,1
SNPH,1
SNRNP200,1
SNTG2,1
SNX14,1
SNX9,1
SOBP,1
SORCS2,1
SORCS3,1
SOST,1
SOX8,1
SPAG17,1
SPAG6,1
SPAG9,1
SPEF2,1
SPIDR,1
SPOCK2,1
SPON1,1
SPP2,1
SPRED1,1
SPRY4,1
SPSB1,1
SPSB3,1
SRD5A2,1
SRD5A3,1
SREBF2,1
SREK1,1
SRGAP1,1
SRGAP2,1
SRP68,1
SRP72,1
SRRM4,1
SSBP2,1
SSBP3,1
SSX2IP,1
ST14,1
ST18,1
ST3GAL3,1
ST6GALNAC5,1
ST7,1
ST8SIA1,1
ST8SIA5,1
STAC,1
STARD13,1
STARD8,1
STAT1,1
STK17B,1
STRN4,1
STX18,1
STX19,1
STX7,1
STXBP1,1
STXBP6,1
SUCLA2,1
SUSD1,1
SUSD2,1
SUSD4,1
SUSD6,1
SV2C,1
SWAP70,1
SYCE3,1
SYN2,1
SYN3,1
SYNE1,1
SYNGR3,1
SYNPO,1
SYT1,1
SYT12,1
SYT14,1
SYTL4,1
TAF15,1
TAF4,1
TAFA2,1
TAFA4,1
TAOK3,1
TASOR,1
TATDN1,1
TAZ,1
TBC1D1,1
TBL1X,1
TBXT,1
TCEANC,1
TCERG1,1
TCERG1L,1
TCF12,1
TCF3,1
TCOF1,1
TEN1,1
TENM4,1
TENT5A,1
TESC,1
TET3,1
TEX14,1
TFRC,1
TGIF2,1
THAP5,1
THAP9,1
THBS4,1
THSD7B,1
TIAM2,1
TIMP3,1
TIMP4,1
TIPIN,1
TJP2,1
TKT,1
TLE1,1
TLE2,1
TMCO4,1
TMEFF1,1
TMEM150C,1
TMEM165,1
TMEM196,1
TMEM204,1
TMEM267,1
TMEM38B,1
TMEM86A,1
TMEM87A,1
TMPRSS7,1
TMX3,1
TNFSF15,1
TNIK,1
TNIP3,1
TNKS,1
TNPO1,1
TOP3A,1
TOX,1
TOX2,1
TOX3,1
TP53,1
TP53INP2,1
TPCN2,1
TPM3,1
TRAF3IP1,1
TRAF7,1
TRAM1,1
TRDN,1
TRHDE,1
TRIM54,1
TRIM9,1
TRIT1,1
TRPC4,1
TRPC7,1
TRPM7,1
TRPS1,1
TRUB1,1
TSHZ2,1
TSHZ3,1
TSN,1
TSNARE1,1
TSNAX,1
TSPAN13,1
TSPAN14,1
TSPAN6,1
TSPAN9,1
TSPOAP1,1
TTC27,1
TTC28,1
TTC37,1
TTC7A,1
TTC9,1
TTYH3,1
TUB,1
TUBA8,1
TUFM,1
TVP23A,1
TWSG1,1
TXLNA,1
TXLNB,1
TXNDC5,1
TXNRD1,1
TYK2,1
TYR,1
TYSND1,1
UACA,1
UBE2G2,1
UBE2K,1
UBE2N,1
UBE2T,1
UBQLN4,1
UCKL1,1
UFSP2,1
UGGT2,1
UHMK1,1
UNC13B,1
UPK1B,1
USF3,1
USH1C,1
USP1,1
USP13,1
USP20,1
USP22,1
USP35,1
USP49,1
USP53,1
USPL1,1
UTP15,1
VANGL1,1
VAPA,1
VAV2,1
VCAN,1
VCL,1
VEGFC,1
VOPP1,1
VPS72,1
VPS8,1
VSNL1,1
VSTM2A,1
VWA5B2,1
WBP4,1
WDPCP,1
WDR12,1
WDR17,1
WDR27,1
WDR6,1
WDR89,1
WIZ,1
WNT4,1
WNT7B,1
WNT9A,1
WTIP,1
WWC2,1
XPA,1
YAF2,1
YME1L1,1
YPEL1,1
YWHAG,1
ZADH2,1
ZBTB1,1
ZBTB10,1
ZBTB42,1
ZBTB6,1
ZBTB7A,1
ZC3HC1,1
ZDHHC2,1
ZFAND2A,1
ZFAND4,1
ZFAND5,1
ZFHX3,1
ZFP64,1
ZFYVE1,1
ZFYVE28,1
ZFYVE9,1
ZNF516,1
ZNF518B,1
ZNF521,1
ZNF598,1
ZNF800,1
ZNF804A,1
ZNF827,1
ZRANB2,1
ZUP1,1
nbis-pseudo18,1
nbis-pseudo39,1
nbis-pseudo65,1
nbis-pseudo66,1
