gene,n_combinations
TUT4,2
UBAP2,2
UNC5C,2
VPS26C,2
WDR60,2
WDR86,2
WWOX,2
ZBTB21,2
ZFPM2,2
ZNF385D,2
ZNF804B,2
AADAT,1
AAGAB,1
AASS,1
AATK,1
ABCA5,1
ABCC3,1
ABCG8,1
ABHD12,1
ABHD13,1
ABHD6,1
ABI1,1
ABI3BP,1
ABL2,1
ABLIM2,1
ABRA,1
ACADM,1
ACAP2,1
ACAP3,1
ACBD7,1
ACE,1
ACOX1,1
ACP1,1
ACSS3,1
ACTN2,1
ACVR2A,1
ADAM12,1
ADAM8,1
ADAMTS18,1
ADAMTSL2,1
ADCY2,1
ADCY3,1
ADCY8,1
ADCY9,1
ADCYAP1,1
ADGRA1,1
ADGRB1,1
ADGRG6,1
ADGRL2,1
ADGRV1,1
ADIPOR2,1
ADNP2,1
ADPGK,1
ADRA1D,1
AFG3L2,1
AGA,1
AGR3,1
AGRN,1
AGXT2,1
AHDC1,1
AJAP1,1
AK4,1
AK5,1
AK7,1
AKAP13,1
AKAP17A,1
AKAP8L,1
AKIP1,1
ALDH1A2,1
ALDH9A1,1
ALG12,1
AMOT,1
AMOTL1,1
ANAPC4,1
ANK3,1
ANKLE2,1
ANKRD11,1
ANKRD12,1
ANKRD22,1
ANKRD26,1
ANKRD33B,1
ANKRD44,1
ANKRD50,1
ANKS1A,1
ANKS1B,1
ANO10,1
ANO9,1
ANTXR1,1
AOX1,1
AP1B1,1
APBB1,1
APBB3,1
APCDD1L,1
APIP,1
APPBP2,1
AQR,1
ARAP2,1
ARGLU1,1
ARHGAP12,1
ARHGAP18,1
ARHGAP22,1
ARHGAP31,1
ARHGAP32,1
ARHGAP5,1
ARHGEF10L,1
ARHGEF26,1
ARHGEF5,1
ARHGEF9,1
ARID1A,1
ARID2,1
ARL13A,1
ARL13B,1
ARL15,1
ARL6,1
ARMC3,1
ARNT2,1
ARRDC1,1
ARVCF,1
ASAP1,1
ASB2,1
ASH2L,1
ASTN1,1
ATMIN,1
ATOH8,1
ATP12A,1
ATP2A2,1
ATP2B2,1
ATP6V0B,1
ATP6V0E1,1
ATP6V1H,1
ATP8A1,1
ATP8A2,1
ATP8B3,1
AZ255-gr02,1
B3GALT1,1
B3GAT1,1
BAHCC1,1
BBX,1
BCAR3,1
BCL11A,1
BCL11B,1
BCL2L11,1
BCL7B,1
BCL9,1
BCO1,1
BDP1,1
BEGAIN,1
BEND2,1
BEND6,1
BICC1,1
BICD1,1
BICDL1,1
BLNK,1
BMERB1,1
BMPR1A,1
BMPR1B,1
BORA,1
BRD9,1
BRDT,1
BRF1,1
BRI3BP,1
BROX,1
BTBD1,1
BTBD7,1
BTC,1
BTRC,1
BUD13,1
BVES,1
BZW1,1
C12H3orf14,1
C14H7orf50,1
C1QL1,1
C26H1orf116,1
C3,1
C3H1orf198,1
C6H10orf88,1
C9H3orf70,1
CA6,1
CAB39L,1
CABIN1,1
CABP1,1
CACNA1D,1
CACNA1G,1
CACNA2D1,1
CACNA2D2,1
CACNB2,1
CACNG2,1
CADM1,1
CADPS,1
CADPS2,1
CALD1,1
CAMK4,1
CAND1,1
CAPNS2,1
CARHSP1,1
CASK,1
CAST,1
CAT,1
CCDC13,1
CCDC137,1
CCDC146,1
CCDC177,1
CCDC191,1
CCDC28A,1
CCDC3,1
CCDC40,1
CCDC73,1
CCDC80,1
CCND1,1
CCNL2,1
CCSAP,1
CCT8,1
CCZ1,1
CD44,1
CD46,1
CD47,1
CD99,1
CDC42,1
CDC42EP3,1
CDC42SE2,1
CDH11,1
CDH12,1
CDH19,1
CDH20,1
CDH4,1
CDH8,1
CDHR3,1
CDK15,1
CDK17,1
CDK8,1
CEMIP,1
CEP41,1
CEP44,1
CEP63,1
CERS6,1
CES2,1
CETN3,1
CFAP36,1
CFAP54,1
CFAP58,1
CFAP74,1
CGNL1,1
CHCHD3,1
CHD1L,1
CHDH,1
CHGB,1
CHL1,1
CHN1,1
CHN2,1
CHORDC1,1
CHP1,1
CHRAC1,1
CHST11,1
CHST4,1
CHTOP,1
CIRBP,1
CIT,1
CIZ1,1
CLCN1,1
CLCN4,1
CLIC4,1
CLK2,1
CLNK,1
CLPTM1,1
CMIP,1
CMTR2,1
CNGB3,1
CNKSR2,1
CNOT10,1
CNOT11,1
CNPY3,1
CNTLN,1
CNTN1,1
CNTN2,1
COL12A1,1
COL21A1,1
COL24A1,1
COL25A1,1
COL4A1,1
COL6A2,1
COL9A3,1
COLEC11,1
COLGALT2,1
COLQ,1
COMMD8,1
COPB1,1
COPS7A,1
COPS7B,1
COQ3,1
CPE,1
CPEB3,1
CPLX1,1
CPM,1
CPNE3,1
CPQ,1
CRB2,1
CREBRF,1
CRELD2,1
CREM,1
CRHR2,1
CRIM1,1
CRKL,1
CRYBA1,1
CRYBG1,1
CRYZL1,1
CSMD3,1
CSNK2A2,1
CSRNP1,1
CSTA,1
CSTF3,1
CTU2,1
CTXND1,1
CUNH16orf58,1
CUX1,1
CYFIP2,1
CYTH1,1
CZH5orf63,1
DAB1,1
DAB2IP,1
DAPL1,1
DARS1,1
DARS2,1
DBF4B,1
DBT,1
DCAF4,1
DCPS,1
DCX,1
DCXR,1
DDAH1,1
DDB1,1
DDC,1
DDX1,1
DDX5,1
DDX59,1
DENND2B,1
DENND2C,1
DENND4B,1
DENND5B,1
DENND6B,1
DERL1,1
DGKB,1
DGKI,1
DGKQ,1
DHX30,1
DHX38,1
DHX58,1
DHX9,1
DIAPH3,1
DIP2C,1
DIXDC1,1
DLD,1
DLG1,1
DLG5,1
DLGAP1,1
DMTN,1
DNAAF1,1
DNAAF5,1
DNAJB9,1
DNMBP,1
DNTTIP2,1
DOCK1,1
DOCK10,1
DOCK2,1
DOCK5,1
DOK5,1
DOK6,1
DPF2,1
DPF3,1
DPH6,1
DPH7,1
DPP4,1
DPT,1
DPY19L1,1
DST,1
DTNBP1,1
DUSP3,1
DUSP5,1
DVL1,1
DYDC1,1
DYNC2LI1,1
DZANK1,1
DZIP1,1
E2F3,1
EDA2R,1
EDC3,1
EDEM1,1
EEF2KMT,1
EFCAB1,1
EFCAB2,1
EFR3A,1
EGFR,1
EHBP1,1
EHD3,1
EIF2B5,1
EIF2S2,1
EIF4G3,1
ELAC1,1
ELFN1,1
ELFN2,1
ELMO1,1
ELOVL2,1
ELOVL5,1
EML1,1
EML5,1
EML6,1
ENO4,1
ENOPH1,1
ENOX1,1
ENTPD1,1
EPB41L2,1
EPHA10,1
EPHA4,1
EPHB1,1
EPHX4,1
EPOP,1
ERAL1,1
ERCC3,1
ESYT2,1
EVA1C,1
EXT1,1
EXTL3,1
EYA1,1
EYA4,1
EZH2,1
FAM110B,1
FAM118A,1
FAM124A,1
FAM126A,1
FAM135B,1
FAM161B,1
FAM163B,1
FAM184A,1
FAM184B,1
FAM20B,1
FAM49A,1
FAM83H,1
FANCC,1
FARS2,1
FASTKD5,1
FAT3,1
FAT4,1
FAXDC2,1
FBH1,1
FBLN1,1
FBN2,1
FBRSL1,1
FBXL18,1
FBXO31,1
FBXO42,1
FBXW2,1
FBXW7,1
FDXR,1
FEV,1
FGD4,1
FGD5,1
FGF12,1
FGF13,1
FGF18,1
FGL1,1
FHIT,1
FHOD1,1
FILIP1L,1
FKBP14,1
FKBP5,1
FLNB,1
FLT3LG,1
FMN2,1
FN1,1
FNDC3B,1
FNDC9,1
