soup_batch,soup_library,celltype,mean_prop,sd_prop,cv_prop,min_prop,max_prop,fold_range,n_individuals
batch1,arco_run1,Astro-1,0.011948281345124476,0.006861335426941363,0.5742529179513459,0.00405588102748986,0.016494845360824743,4.066139787942296,3
batch1,arco_run1,Astro-2,0.04251952899928061,0.01988457113667244,0.46765737073448926,0.024742268041237112,0.06399278954484001,2.586311130695752,3
batch1,arco_run1,Astro-3,0,0,NA,0,0,1,3
batch1,arco_run1,Endo,6.797485219547726e-4,6.760116813502821e-4,0.9945026131226525,0,0.0013519603424966202,1352.9603424966201,3
batch1,arco_run1,Epen,1.502178158329578e-4,2.6018488922470743e-4,1.7320508075688774,0,4.506534474988734e-4,451.65344749887345,3
batch1,arco_run1,GABA-1-1,0.03173134762810563,0.0031365708501626967,0.09884770375729393,0.028178694158075602,0.03411764705882353,1.2107529225630709,3
batch1,arco_run1,GABA-1-2,0.012128662363945003,0.004537194709913163,0.3740886318511864,0.007058823529411765,0.015807560137457044,2.2392287953937338,3
batch1,arco_run1,GABA-2-1,0.07428323646607168,0.005996657981195421,0.0807269347228072,0.06804123711340206,0.08,1.1757549926917743,3
batch1,arco_run1,GABA-2-2,0.002818252020311198,0.0015021289674578082,0.5330002273153484,0.001176470588235294,0.004123711340206186,3.5030270661690146,3
batch1,arco_run1,GABA-2-3,3.79312890288857e-4,3.491523319300234e-4,0.9204863342875969,0,6.872852233676976e-4,688.2852233676977,3
batch1,arco_run1,GABA-3,0.03705498807108998,0.0036461445572848754,0.09839821160621476,0.034249662009914375,0.041176470588235294,1.2022386772061764,3
batch1,arco_run1,GABA-4-1,0.07024816851627097,0.008838374502026382,0.12581644032440825,0.061168384879725084,0.07882352941176471,1.28862713867001,3
batch1,arco_run1,GABA-4-2,3.92156862745098e-4,6.792356108113244e-4,1.7320508075688774,0,0.001176470588235294,1177.470588235294,3
batch1,arco_run1,GABA-5-1,0.017487773280960243,0.00926898132336096,0.5300263889772939,0.007058823529411765,0.024785939612438034,3.5109857221180882,3
batch1,arco_run1,GABA-5-2,0.02898847901925955,0.00374045898349217,0.1290326057123266,0.024705882352941175,0.03161512027491409,1.2796483110767887,3
batch1,arco_run1,GABA-6,0.04290774321371203,0.0022281022545448154,0.05192774281898798,0.04100946372239748,0.04536082474226804,1.106103677571783,3
batch1,arco_run1,GABA-7,0.0040532191933002676,4.92360695851304e-4,0.12147398706320824,0.0035294117647058825,0.004506534474988734,1.276773015559066,3
batch1,arco_run1,GABA-8,0.0076633216405145865,0.001737181264271521,0.2266877661884058,0.006309148264984227,0.009621993127147767,1.5250026977253315,3
batch1,arco_run1,GABA-Im,0.01610872757614976,0.0014120444650077661,0.08765710751098735,0.014871563767462822,0.01764705882352941,1.1866184673646267,3
batch1,arco_run1,Glut-CACNA1H-1,0.2156833436378443,0.06574841085986625,0.30483768357312263,0.16313654799459215,0.28941176470588237,1.774041404100766,3
batch1,arco_run1,Glut-CACNA1H-2,0.14407384582720748,0.06512954878099861,0.4520567102728043,0.1011764705882353,0.21901757548445244,2.1646970833635315,3
batch1,arco_run1,Glut-CACNA1H-3,0.08155250401135011,0.040006702533210516,0.49056375421216447,0.037800687285223365,0.11626858945470933,3.0757777709080982,3
batch1,arco_run1,Glut-CACNA1H-4,0.04303779716489456,0.04629929790044593,1.0757822414343208,0.011716989634970707,0.09621993127147767,8.21138559333759,3
batch1,arco_run1,Glut-CACNA1H-RA,0.005229689781535561,0.0015955989749451207,0.3051039433693933,0.004123711340206186,0.007058823529411765,1.711592144787242,3
batch1,arco_run1,Glut-DACH2-1,0.041020196689687614,0.03970561099952863,0.9679527209461316,0.0067598017124831005,0.08453608247422681,12.504002641896461,3
batch1,arco_run1,Glut-DACH2-2,0.002290950744558992,0.003968043087213923,1.7320508075688772,0,0.006872852233676976,6873.8522336769765,3
batch1,arco_run1,Glut-DACH2-3,0.0013138444316120109,9.06224504669565e-4,0.6897502344000348,6.872852233676976e-4,0.002352941176470588,3.4200082996886585,3
batch1,arco_run1,Glut-DACH2-4,0.001145475372279496,0.0019840215436069614,1.7320508075688772,0,0.003436426116838488,3437.4261168384883,3
batch1,arco_run1,Glut-DACH2-5,0,0,NA,0,0,1,3
batch1,arco_run1,Glut-DACH2-6,0,0,NA,0,0,1,3
batch1,arco_run1,Glut-DACH2-7,0,0,NA,0,0,1,3
batch1,arco_run1,Glut-DACH2-8,0,0,NA,0,0,1,3
batch1,arco_run1,Glut-DACH2-HVCra,0,0,NA,0,0,1,3
batch1,arco_run1,Glut-DACH2-HVCra-Pre,6.872852233676976e-4,0.0011904129261641769,1.7320508075688772,0,0.002061855670103093,2062.855670103093,3
batch1,arco_run1,Glut-DACH2-HVCx,0,0,NA,0,0,1,3
batch1,arco_run1,Glut-DACH2-LMANco,0,0,NA,0,0,1,3
batch1,arco_run1,Glut-DACH2-LMANsh,0,0,NA,0,0,1,3
batch1,arco_run1,Glut-GABA,0.0019882856825234672,0.0012571921895980134,0.6322995737727317,0.001176470588235294,0.003436426116838488,2.9193307681597793,3
batch1,arco_run1,Glut-Im,0.009181954221735525,0.013509152426113866,1.4712720298838995,4.506534474988734e-4,0.024742268041237112,54.78374664968949,3
batch1,arco_run1,Glut-NB,8.503470116568965e-4,7.430534426673497e-4,0.8738237830924039,0,0.0013745704467353953,1375.5704467353953,3
batch1,arco_run1,Glut-NSC,0,0,NA,0,0,1,3
batch1,arco_run1,Glut-SATB2-1,0,0,NA,0,0,1,3
batch1,arco_run1,Micro,8.503470116568965e-4,7.430534426673497e-4,0.8738237830924039,0,0.0013745704467353953,1375.5704467353953,3
batch1,arco_run1,OPC,0.02444384503072208,0.004998410097871209,0.20448542737809833,0.018823529411764704,0.028391167192429023,1.5082537561169982,3
batch1,arco_run1,Oligo-1,0.002235532000478924,0.0011407887223909292,0.5102985428732557,0.0013745704467353953,0.0035294117647058825,2.5665074246720807,3
batch1,arco_run1,Oligo-2,0.01926148828475638,0.007276874341103907,0.37779398110492096,0.010996563573883162,0.024705882352941175,2.246577815800464,3
batch1,arco_run1,Oligo-3,0.003610102447214319,0.0018491548679317358,0.5122167292949286,0.0018026137899954935,0.005498281786941581,3.0490351190735363,3
batch1,hvc_run1,Astro-1,0.03268397444955309,0.018090779404151287,0.5535061053261426,0.016025641025641024,0.05192878338278932,3.240216293589334,3
batch1,hvc_run1,Astro-2,0.03662740984699442,0.014594983877261332,0.39847163471918207,0.021513353115727003,0.05064102564102564,2.3538716394873287,3
batch1,hvc_run1,Astro-3,6.41025641025641e-4,0.0011102889792108188,1.7320508075688774,0,0.0019230769230769232,1924.076923076923,3
batch1,hvc_run1,Endo,7.536149969384391e-4,6.677710366331226e-4,0.8860904299223641,0,0.001271725307333616,1272.725307333616,3
batch1,hvc_run1,Epen,0.015962869968804687,0.005081894203448112,0.318357175957667,0.011538461538461539,0.021513353115727003,1.8644156873367712,3
batch1,hvc_run1,GABA-1-1,0.03946958909866922,0.0052907490721112345,0.13404621616113102,0.03437190900098912,0.04493429419245443,1.307288079433759,3
batch1,hvc_run1,GABA-1-2,0.013355651931319587,0.001964165803174368,0.14706626178002688,0.01112759643916914,0.01483679525222552,1.3333033804695418,3
batch1,hvc_run1,GABA-2-1,0.009326529059466744,0.0011367738611595954,0.12188605792266645,0.008407517309594461,0.0105977108944468,1.2604732206893643,3
batch1,hvc_run1,GABA-2-2,0.023816045477766546,0.0011432709246493719,0.04800422999345847,0.022502472799208705,0.024586689275116574,1.0926175481671059,3
batch1,hvc_run1,GABA-2-3,0.004624496835179327,0.001646266219589646,0.3559881816906482,0.003205128205128205,0.006429277942631058,2.0056209643600096,3
batch1,hvc_run1,GABA-3,0.023280996945685372,8.640259719967406e-4,0.03711292836868264,0.022435897435897436,0.024162780839338704,1.0769662297728553,3
batch1,hvc_run1,GABA-4-1,0.0067440390140686875,0.003189491823502153,0.4729349603180793,0.003205128205128205,0.009396636993076163,2.9311482235940014,3
batch1,hvc_run1,GABA-4-2,0.004883823726553697,0.0025480445169287704,0.5217314668985432,0.0027200791295746785,0.007692307692307693,2.8273002459543335,3
batch1,hvc_run1,GABA-5-1,0.0038608275997000035,0.001324774812918376,0.343132341112904,0.002543450614667232,0.0051928783382789315,2.0412572790131343,3
batch1,hvc_run1,GABA-5-2,0.005425212769426419,0.0022126496761255446,0.4078456956738818,0.003205128205128205,0.007630351844001695,2.3802391407166255,3
batch1,hvc_run1,GABA-6,0.00413509998079731,8.780039906710779e-4,0.21232956754331858,0.0034619188921859545,0.005128205128205128,1.4811796891284787,3
batch1,hvc_run1,GABA-7,0.0028631029372869136,0.0019425280707228603,0.6784695183064591,6.41025641025641e-4,0.00423908435777872,6.604229000893409,3
batch1,hvc_run1,GABA-8,0.003186197251479151,0.0010954333878812844,0.3438058919210804,0.002543450614667232,0.004451038575667656,1.749705240889457,3
batch1,hvc_run1,GABA-Im,0.004345333202899968,8.217251214877683e-4,0.18910520393220231,0.0034619188921859545,0.005086901229334464,1.4692522082498864,3
batch1,hvc_run1,Glut-CACNA1H-1,0,0,NA,0,0,1,3
batch1,hvc_run1,Glut-CACNA1H-2,0,0,NA,0,0,1,3
batch1,hvc_run1,Glut-CACNA1H-3,0,0,NA,0,0,1,3
batch1,hvc_run1,Glut-CACNA1H-4,0,0,NA,0,0,1,3
batch1,hvc_run1,Glut-CACNA1H-RA,0,0,NA,0,0,1,3
batch1,hvc_run1,Glut-DACH2-1,0.0383751263573222,0.015086216680067108,0.3931248731168951,0.021794871794871794,0.05129292072912251,2.3533777961196813,3
batch1,hvc_run1,Glut-DACH2-2,0.06400709412578849,0.022106545668039736,0.3453764925587053,0.044015825914935705,0.0877490462060195,1.993556881534348,3
