soup_batch,soup_library,celltype,n_cells,prop_of_library,home_library,rel_density,resident
batch1,hvc_run1,Astro-2,255,0.032023106869270374,nc_run1,0.6092762359244841,TRUE
batch1,hvc_run1,Astro-3,3,3.7674243375612206e-4,nc_run1,0.31334206418973465,FALSE
batch1,hvc_run1,Endo,7,8.790656787642849e-4,nc_run1,0.18955260673206173,FALSE
batch1,hvc_run1,Epen,140,0.017581313575285695,hvc_run1,1,TRUE
batch1,hvc_run1,GABA-1-1,306,0.03842772824312445,nc_run1,0.6180282702526811,TRUE
batch1,hvc_run1,GABA-1-2,102,0.01280924274770815,nc_run1,0.3107308803214869,FALSE
batch1,hvc_run1,GABA-2-1,73,0.00916739922139897,arco_run1,0.12454448671954636,FALSE
batch1,hvc_run1,GABA-2-2,187,0.02348361170413161,hvc_run1,1,TRUE
batch1,hvc_run1,GABA-2-3,41,0.005148813261333669,nc_run1,0.5352926929907967,TRUE
batch1,hvc_run1,GABA-3,186,0.023358030892879567,nc_run1,0.6181384357197494,TRUE
batch1,hvc_run1,GABA-4-1,61,0.007660429486374482,arco_run1,0.1107213514260644,FALSE
batch1,hvc_run1,GABA-4-2,33,0.004144166771317343,ra_run1,0.18029177022939016,FALSE
batch1,hvc_run1,GABA-5-1,33,0.004144166771317343,ra_run1,0.1686061925293371,FALSE
batch1,hvc_run1,GABA-5-2,45,0.005651136506341831,arco_run1,0.18937586336807735,FALSE
batch1,hvc_run1,GABA-6,31,0.0038930051488132614,arco_run1,0.09125365436907354,FALSE
batch1,hvc_run1,GABA-7,26,0.003265101092553058,nc_run1,0.4636443551425342,FALSE
batch1,hvc_run1,GABA-8,28,0.0035162627150571394,arco_run1,0.4678697800858382,FALSE
batch1,hvc_run1,GABA-Im,33,0.004144166771317343,arco_run1,0.2640593024428121,FALSE
batch1,hvc_run1,Glut-DACH2-1,325,0.04081376365691322,nc_run1,0.1287203315333417,FALSE
batch1,hvc_run1,Glut-DACH2-2,479,0.06015320858972749,nc_run1,0.7531440438911687,TRUE
batch1,hvc_run1,Glut-DACH2-3,19,0.002386035413788773,nc_run1,0.019930413456353283,FALSE
batch1,hvc_run1,Glut-DACH2-4,53,0.006655782996358156,nc_run1,0.19278591345670243,FALSE
batch1,hvc_run1,Glut-DACH2-5,19,0.002386035413788773,nc_run1,0.10685767830060182,FALSE
batch1,hvc_run1,Glut-DACH2-6,1,1.255808112520407e-4,hvc_run1,1,TRUE
batch1,hvc_run1,Glut-DACH2-7,5,6.279040562602034e-4,nc_run1,0.5222367736495577,TRUE
batch1,hvc_run1,Glut-DACH2-HVCra,3017,0.3788773075474068,hvc_run1,1,TRUE
batch1,hvc_run1,Glut-DACH2-HVCra-Pre,664,0.08338565867135501,hvc_run1,1,TRUE
batch1,hvc_run1,Glut-DACH2-HVCx,341,0.042823056636945876,hvc_run1,1,TRUE
batch1,hvc_run1,Glut-GABA,68,0.008539495165138767,nc_run1,0.671850552046458,TRUE
batch1,hvc_run1,Glut-Im,71,0.008916237598894889,nc_run1,0.1627283238268528,FALSE
batch1,hvc_run1,Glut-NB,434,0.05450207208338566,hvc_run1,1,TRUE
batch1,hvc_run1,Glut-NSC,224,0.028130101720457115,hvc_run1,1,TRUE
batch1,hvc_run1,Glut-SATB2-1,2,2.511616225040814e-4,nc_run1,0.7311314831093809,TRUE
batch1,hvc_run1,Micro,21,0.0026371970362928546,nc_run1,0.5905292748191154,TRUE
batch1,hvc_run1,OPC,109,0.013688308426472435,ra_run1,0.21713511633906096,FALSE
batch1,hvc_run1,Oligo-1,4,5.023232450081628e-4,ra_run1,0.004656557676299298,FALSE
batch1,hvc_run1,Oligo-2,201,0.025241743061660177,hvc_run1,1,TRUE
batch1,hvc_run1,Oligo-3,10,0.0012558081125204068,ra_run1,0.10411360087574843,FALSE
batch1,nc_run1,Astro-1,10,0.0017176228100309172,ra_run1,0.010036216259675332,FALSE
batch1,nc_run1,Astro-2,306,0.052559257986946065,nc_run1,1,TRUE
batch1,nc_run1,Astro-3,7,0.0012023359670216421,nc_run1,1,TRUE
batch1,nc_run1,Endo,27,0.0046375815870834764,nc_run1,1,TRUE
batch1,nc_run1,GABA-1-1,362,0.0621779457231192,nc_run1,1,TRUE
batch1,nc_run1,GABA-1-2,240,0.041222947440742015,nc_run1,1,TRUE
batch1,nc_run1,GABA-2-1,67,0.011508072827207146,arco_run1,0.15634390831917455,FALSE
batch1,nc_run1,GABA-2-2,120,0.020611473720371008,hvc_run1,0.877696070777082,TRUE
batch1,nc_run1,GABA-2-3,56,0.009618687736173137,nc_run1,1,TRUE
batch1,nc_run1,GABA-3,220,0.037787701820680177,nc_run1,1,TRUE
batch1,nc_run1,GABA-4-1,23,0.00395053246307111,arco_run1,0.057099708827264214,FALSE
batch1,nc_run1,GABA-5-1,40,0.006870491240123669,ra_run1,0.2795272084176241,FALSE
batch1,nc_run1,GABA-5-2,84,0.014428031604259704,arco_run1,0.48349937020496964,FALSE
batch1,nc_run1,GABA-6,41,0.007042253521126761,arco_run1,0.1650733416040283,FALSE
batch1,nc_run1,GABA-7,41,0.007042253521126761,nc_run1,1,TRUE
batch1,nc_run1,GABA-8,39,0.006698728959120577,arco_run1,0.8913249944429851,TRUE
batch1,nc_run1,GABA-Im,51,0.008759876331157677,arco_run1,0.5581645143965822,TRUE
batch1,nc_run1,Glut-DACH2-1,1846,0.3170731707317073,nc_run1,1,TRUE
batch1,nc_run1,Glut-DACH2-2,465,0.07986946066643764,nc_run1,1,TRUE
batch1,nc_run1,Glut-DACH2-3,697,0.11971830985915492,nc_run1,1,TRUE
batch1,nc_run1,Glut-DACH2-4,201,0.03452421848162143,nc_run1,1,TRUE
batch1,nc_run1,Glut-DACH2-5,130,0.022329096530401923,nc_run1,1,TRUE
batch1,nc_run1,Glut-DACH2-7,7,0.0012023359670216421,nc_run1,1,TRUE
batch1,nc_run1,Glut-DACH2-8,2,3.4352456200618345e-4,nc_run1,1,TRUE
batch1,nc_run1,Glut-DACH2-HVCra-Pre,23,0.00395053246307111,hvc_run1,0.04737664157143863,FALSE
batch1,nc_run1,Glut-DACH2-HVCx,1,1.7176228100309173e-4,hvc_run1,0.004010976667529676,FALSE
batch1,nc_run1,Glut-GABA,74,0.012710408794228788,nc_run1,1,TRUE
batch1,nc_run1,Glut-Im,319,0.05479216763998626,nc_run1,1,TRUE
batch1,nc_run1,Glut-NB,118,0.02026794915836482,hvc_run1,0.3718748367466799,FALSE
batch1,nc_run1,Glut-SATB2-1,2,3.4352456200618345e-4,nc_run1,1,TRUE
batch1,nc_run1,Micro,26,0.004465819306080384,nc_run1,1,TRUE
batch1,nc_run1,OPC,147,0.02524905530745448,ra_run1,0.4005211155991155,FALSE
batch1,nc_run1,Oligo-1,2,3.4352456200618345e-4,ra_run1,0.0031844871845045785,FALSE
batch1,nc_run1,Oligo-2,27,0.0046375815870834764,hvc_run1,0.18372667750221752,FALSE
batch1,nc_run1,Oligo-3,1,1.7176228100309173e-4,ra_run1,0.014240065334482736,FALSE
batch1,ra_run1,Astro-1,752,0.17114246700045516,ra_run1,1,TRUE
batch1,ra_run1,Astro-2,64,0.01456531634046427,nc_run1,0.2771218030528856,FALSE
batch1,ra_run1,Endo,15,0.0034137460172963133,nc_run1,0.7361047893592273,TRUE
batch1,ra_run1,GABA-1-1,112,0.02548930359581247,nc_run1,0.4099412307591718,FALSE
batch1,ra_run1,GABA-1-2,55,0.012517068730086482,nc_run1,0.30364322561068124,FALSE
batch1,ra_run1,GABA-2-1,174,0.03959945380063723,arco_run1,0.5379817687509995,TRUE
batch1,ra_run1,GABA-2-2,11,0.0025034137460172965,hvc_run1,0.10660258641462958,FALSE
batch1,ra_run1,GABA-2-3,40,0.009103322712790168,nc_run1,0.9464204434618634,TRUE
batch1,ra_run1,GABA-3,43,0.00978607191624943,nc_run1,0.258975048620019,FALSE
batch1,ra_run1,GABA-4-1,159,0.03618570778334092,arco_run1,0.5230164281528252,TRUE
batch1,ra_run1,GABA-4-2,101,0.022985889849795174,ra_run1,1,TRUE
batch1,ra_run1,GABA-5-1,108,0.024578971324533454,ra_run1,1,TRUE
batch1,ra_run1,GABA-5-2,49,0.011151570323167955,arco_run1,0.3737015121630506,FALSE
batch1,ra_run1,GABA-6,82,0.018661811561219845,arco_run1,0.43744059846092526,FALSE
batch1,ra_run1,GABA-7,4,9.103322712790169e-4,nc_run1,0.1292671825216204,FALSE
batch1,ra_run1,GABA-8,27,0.0061447428311333634,arco_run1,0.8176122520013923,TRUE
batch1,ra_run1,GABA-Im,27,0.0061447428311333634,arco_run1,0.39153262771897657,FALSE
batch1,ra_run1,Glut-CACNA1H-1,277,0.06304050978607191,arco_run1,0.3200844739306277,FALSE
batch1,ra_run1,Glut-CACNA1H-2,122,0.027765134274010013,arco_run1,0.17089723463349837,FALSE
batch1,ra_run1,Glut-CACNA1H-3,16,0.0036413290851160674,arco_run1,0.04223941738734638,FALSE
batch1,ra_run1,Glut-CACNA1H-4,83,0.0188893946290396,arco_run1,0.46443272446616923,FALSE
batch1,ra_run1,Glut-CACNA1H-RA,1196,0.27218934911242604,ra_run1,1,TRUE
batch1,ra_run1,Glut-DACH2-1,9,0.002048247610377788,nc_run1,0.0064598578481145615,FALSE
batch1,ra_run1,Glut-DACH2-2,5,0.001137915339098771,nc_run1,0.014247189471468915,FALSE
batch1,ra_run1,Glut-DACH2-3,3,6.827492034592626e-4,nc_run1,0.00570296393477737,FALSE
batch1,ra_run1,Glut-DACH2-4,1,2.275830678197542e-4,nc_run1,0.006591983188291588,FALSE
batch1,ra_run1,Glut-DACH2-HVCra-Pre,2,4.551661356395084e-4,hvc_run1,0.005458566171833442,FALSE
batch1,ra_run1,Glut-GABA,1,2.275830678197542e-4,nc_run1,0.017905251633062284,FALSE
batch1,ra_run1,Glut-Im,3,6.827492034592626e-4,nc_run1,0.01246070803304021,FALSE
batch1,ra_run1,Glut-NB,1,2.275830678197542e-4,hvc_run1,0.004175677348038486,FALSE
batch1,ra_run1,Micro,19,0.00432407828857533,nc_run1,0.9682609152340604,TRUE
batch1,ra_run1,OPC,277,0.06304050978607191,ra_run1,1,TRUE
batch1,ra_run1,Oligo-1,474,0.10787437414656349,ra_run1,1,TRUE
batch1,ra_run1,Oligo-2,29,0.0065999089667728725,hvc_run1,0.261468035335385,FALSE
batch1,ra_run1,Oligo-3,53,0.012061902594446974,ra_run1,1,TRUE
batch2,lman_run1,Astro-1,1,2.042483660130719e-4,nr_run1,0.1541309232026144,FALSE
batch2,lman_run1,Astro-2,21,0.00428921568627451,lman_run1,1,TRUE
batch2,lman_run1,Astro-3,477,0.0974264705882353,lman_run1,1,TRUE
batch2,lman_run1,Endo,12,0.0024509803921568627,lman_run1,1,TRUE
batch2,lman_run1,GABA-1-1,300,0.061274509803921566,nr_run1,0.7059431597066308,TRUE
batch2,lman_run1,GABA-1-2,46,0.009395424836601307,nr_run1,0.4611396726712365,FALSE
batch2,lman_run1,GABA-2-1,13,0.0026552287581699347,nr_run1,0.5009255004084968,TRUE
batch2,lman_run1,GABA-2-2,48,0.00980392156862745,nr_run1,0.47349019607843135,FALSE
batch2,lman_run1,GABA-2-3,160,0.032679738562091505,lman_run1,1,TRUE
batch2,lman_run1,GABA-3,105,0.02144607843137255,nr_run1,0.4960535459394486,FALSE
batch2,lman_run1,GABA-4-1,8,0.0016339869281045752,nr_run1,0.29892057833234303,FALSE
batch2,lman_run1,GABA-4-2,316,0.06454248366013073,lman_run1,1,TRUE
batch2,lman_run1,GABA-5-1,32,0.006535947712418301,nr_run1,0.8577720943449844,TRUE
batch2,lman_run1,GABA-5-2,46,0.009395424836601307,nr_run1,0.8341202902729719,TRUE
batch2,lman_run1,GABA-6,79,0.01613562091503268,lman_run1,1,TRUE
batch2,lman_run1,GABA-7,49,0.010008169934640522,lman_run1,1,TRUE
batch2,lman_run1,GABA-8,37,0.00755718954248366,nr_run1,0.9706968780419969,TRUE
batch2,lman_run1,GABA-Im,17,0.003472222222222222,nr_run1,0.43670428240740744,FALSE
batch2,lman_run1,Glut-CACNA1H-2,1,2.042483660130719e-4,lman_run1,1,TRUE
batch2,lman_run1,Glut-DACH2-1,49,0.010008169934640522,nr_run1,0.36179234667919064,FALSE
batch2,lman_run1,Glut-DACH2-4,1,2.042483660130719e-4,nr_run1,0.41101579520697173,FALSE
batch2,lman_run1,Glut-DACH2-5,79,0.01613562091503268,nr_run1,0.10221484099061103,FALSE
batch2,lman_run1,Glut-DACH2-6,194,0.039624183006535946,nr_run1,0.33739237349852963,FALSE
batch2,lman_run1,Glut-DACH2-7,25,0.0051062091503267975,nr_run1,0.03834102567229214,FALSE
batch2,lman_run1,Glut-DACH2-8,350,0.07148692810457516,lman_run1,1,TRUE
batch2,lman_run1,Glut-DACH2-LMANco,679,0.13868464052287582,lman_run1,1,TRUE
batch2,lman_run1,Glut-DACH2-LMANsh,1136,0.23202614379084968,lman_run1,1,TRUE
batch2,lman_run1,Glut-GABA,53,0.01082516339869281,nr_run1,0.6470446677020644,TRUE
batch2,lman_run1,Glut-Im,148,0.03022875816993464,nr_run1,0.3509442559074912,FALSE
batch2,lman_run1,Glut-NB,33,0.006740196078431373,lman_run1,1,TRUE
batch2,lman_run1,Glut-SATB2-1,7,0.0014297385620915032,nr_run1,0.023016884531590412,FALSE
batch2,lman_run1,Micro,5,0.0010212418300653595,nr_run1,0.880748132586368,TRUE
batch2,lman_run1,OPC,69,0.014093137254901961,nr_run1,0.9349480176686059,TRUE
batch2,lman_run1,Oligo-1,270,0.05514705882352941,lman_run1,1,TRUE
batch2,lman_run1,Oligo-2,18,0.003676470588235294,lman_run1,1,TRUE
batch2,lman_run1,Oligo-3,12,0.0024509803921568627,lman_run1,1,TRUE
batch2,nr_run1,Astro-1,8,0.001325161504058307,nr_run1,1,TRUE
batch2,nr_run1,Astro-2,8,0.001325161504058307,lman_run1,0.3089519392318796,FALSE
batch2,nr_run1,Astro-3,341,0.05648500911048534,lman_run1,0.5797706595491325,TRUE
batch2,nr_run1,Endo,9,0.0014908066920655955,lman_run1,0.608249130362763,TRUE
