region,reduction,soup_batch,celltype_hybrid,n_cells,n_birds,bird_var_ratio
arco,dims20nn40mindist0.4,batch1,Glut-CACNA1H-3,406,3,0.12780405948974682
arco,dims20nn40mindist0.4,batch1,Glut-CACNA1H-4,267,3,0.06590761054441763
arco,dims20nn40mindist0.4,batch1,Glut-CACNA1H-RA,1218,3,0.8411019015446864
arco,dims20nn40mindist0.5,batch1,Glut-CACNA1H-1,1168,3,0.11781516832839212
arco,dims20nn40mindist0.5,batch1,Glut-CACNA1H-2,857,3,0.02787035004419569
arco,dims20nn40mindist0.5,batch1,Glut-CACNA1H-3,406,3,0.12691310217838958
arco,dims20nn40mindist0.5,batch1,Glut-CACNA1H-4,267,3,0.06455043320370846
arco,dims20nn40mindist0.5,batch1,Glut-CACNA1H-RA,1218,3,0.8286034110120516
arco,dims20nn50mindist0.3,batch1,Glut-CACNA1H-1,1168,3,0.0727527548152247
arco,dims20nn50mindist0.3,batch1,Glut-CACNA1H-2,857,3,0.03086066242938912
arco,dims20nn50mindist0.3,batch1,Glut-CACNA1H-3,406,3,0.11504275407808284
arco,dims20nn50mindist0.3,batch1,Glut-CACNA1H-4,267,3,0.03032884175317141
arco,dims20nn50mindist0.3,batch1,Glut-CACNA1H-RA,1218,3,0.9045443513332186
arco,dims20nn50mindist0.4,batch1,Glut-CACNA1H-1,1168,3,0.15504535242573136
arco,dims20nn50mindist0.4,batch1,Glut-CACNA1H-2,857,3,0.028474733879483627
arco,dims20nn50mindist0.4,batch1,Glut-CACNA1H-3,406,3,0.1248240447304031
arco,dims20nn50mindist0.4,batch1,Glut-CACNA1H-4,267,3,0.06271413292099348
arco,dims20nn50mindist0.4,batch1,Glut-CACNA1H-RA,1218,3,0.7907207410272055
arco,dims20nn50mindist0.5,batch1,Glut-CACNA1H-1,1168,3,0.06750446555484468
arco,dims20nn50mindist0.5,batch1,Glut-CACNA1H-2,857,3,0.01873639746240452
arco,dims20nn50mindist0.5,batch1,Glut-CACNA1H-3,406,3,0.1348609516135456
arco,dims20nn50mindist0.5,batch1,Glut-CACNA1H-4,267,3,0.04237045497655856
arco,dims20nn50mindist0.5,batch1,Glut-CACNA1H-RA,1218,3,0.8167944827885621
arco,dims30nn30mindist0.3,batch1,Glut-CACNA1H-1,1168,3,0.17321610015472777
arco,dims30nn30mindist0.3,batch1,Glut-CACNA1H-2,857,3,0.02571217583549712
arco,dims30nn30mindist0.3,batch1,Glut-CACNA1H-3,406,3,0.1333117284425941
arco,dims30nn30mindist0.3,batch1,Glut-CACNA1H-4,267,3,0.07054734641862026
arco,dims30nn30mindist0.3,batch1,Glut-CACNA1H-RA,1218,3,0.8610311812289624
arco,dims30nn30mindist0.4,batch1,Glut-CACNA1H-1,1168,3,0.06239092333810037
arco,dims30nn30mindist0.4,batch1,Glut-CACNA1H-2,857,3,0.017022582674015463
arco,dims30nn30mindist0.4,batch1,Glut-CACNA1H-3,406,3,0.0978025809225922
arco,dims30nn30mindist0.4,batch1,Glut-CACNA1H-4,267,3,0.08999077733528438
arco,dims30nn30mindist0.4,batch1,Glut-CACNA1H-RA,1218,3,0.8154113786366176
arco,dims30nn30mindist0.5,batch1,Glut-CACNA1H-1,1168,3,0.06353288898048881
arco,dims30nn30mindist0.5,batch1,Glut-CACNA1H-2,857,3,0.01623330600422679
arco,dims30nn30mindist0.5,batch1,Glut-CACNA1H-3,406,3,0.08487914135464159
arco,dims30nn30mindist0.5,batch1,Glut-CACNA1H-4,267,3,0.060558592620676976
