"","Glut-DACH2-HVCra","Glut-DACH2-HVCra-Int","Glut-DACH2-HVCx","Glut-DACH2-1","Glut-DACH2-2","Glut-DACH2-3","Glut-DACH2-4","Glut-DACH2-LMANsh","Glut-DACH2-LMANco","Glut-DACH2-5","Glut-DACH2-6","Glut-DACH2-7","Glut-DACH2-8","Glut-SATB2-1","Glut-CACNA1H-RA","Glut-CACNA1H-1","Glut-CACNA1H-2","Glut-CACNA1H-3","Glut-CACNA1H-4","Glut-GABA","Glut-Im","Glut-NB","Glut-NSC","GABA-LGE-1","GABA-LGE-2","GABA-MGE-SST-1","GABA-MGE-SST-2","GABA-MGE-SST-3","GABA-MGE-PVALB-1","GABA-MGE-PVALB-2","GABA-MGE-PVALB-3","GABA-MGE-LAMP5","GABA-MGE-ST18","GABA-MGE-LHX8","GABA-CGE-1","GABA-CGE-2","GABA-Im","Astro-1","Astro-2","Astro-3","Epen","Oligo-1","Oligo-2","Oligo-3","OPC","Micro","Endo"
"hvc",1,0.942780381720917,0.996005046995758,0.094728390392454,0.416884392662898,0.0192367157659162,0.154296711942396,0,0,0.0120073897858083,0.000798858613464451,0.00448130873547627,0,0.00391573297880751,0,0,0,0,0,0.167894346518092,0.0472651454957785,0.619351279228914,1,0.125633743919138,0.116830752152525,0.0656554167113559,0.29276327321716,0.0703997244349546,0.137888424373423,0.0628517190500062,0.0426517261678458,0.0410317976954556,0.0967400439250653,0.0895886844773954,0.0584236251070535,0.0704267227354448,0.0912482940932176,0.1582640927002,0.215318961588946,0.00242261794130246,0.988754460862332,0.002809667045685,0.408448810964145,0.0605586619510066,0.0843906336841091,0.178995969191399,0.0624014705717803
"nc",0,0.044665768225376,0.00399495300424178,0.73592407092206,0.553525445821808,0.965194014065174,0.800352625229797,0,0,0.112368057932442,0,0.00858099038901348,0.0027514648643096,0.00535571654246723,0,0,0,0,0,0.24989835314816,0.290454325247459,0.2303211558521,0,0.203281548702898,0.375986937737408,0.0824189389779422,0.256957174570539,0.13151631874819,0.223070458663306,0.0324130333564872,0,0.0742244900156549,0.208651400264164,0.170672774974521,0.0968587961499157,0.179807898866205,0.192879248301005,0.00707400692309594,0.353401214249284,0.0077315439520291,0,0.00192145127832271,0.0750429429681737,0.00828286886148859,0.155664506594575,0.303111084960567,0.329203969534361
"lman",0,0,0,0.0232336207823119,0,0,0.00473592505713301,0.974948295852921,0.994064649366888,0.0812168458070738,0.252113250453397,0.0364501138514786,0.572692538713348,0.0222948796702461,0,0,0,0,0,0.212876170492547,0.160275959459255,0.0766099658753147,0,0.20036882429612,0.0857114519657224,0.0190201997636471,0.122247572653702,0.446921352839318,0.126627543955303,0.0134091525657214,0.664406350140587,0.17010221225651,0.296587628812677,0.192584296631107,0.0921612929413375,0.117113461284975,0.0764687084513756,0.000841366053243402,0.0288459874732426,0.62662262716814,0,0.308519522211093,0.0595028960109918,0.118217436187751,0.0869042188824632,0.0693294859998593,0.174021156339035
"nr",0,0,0,0.0642049937386545,0.00688790126600921,0.0013354660963008,0.011520135740268,0.0250517041470792,0.00593535063311215,0.794407706474676,0.747087890933138,0.950487587024032,0.424555996422342,0.968433670808479,0,0,0,0,0,0.328930445618881,0.456605915780153,0.064000264131937,0,0.283773412259435,0.185830781041483,0.0379623614757417,0.258131223833181,0.206102867748375,0.255217771393194,0.0448494173369184,0.0255722811958496,0.0872940001840566,0.255206549536291,0.198357454277163,0.107420688729921,0.140374886472971,0.175068330956506,0.00545766020291728,0.00891020350262414,0.363223210938529,0,0,0.0589684618134808,0.0159757702539628,0.0929318712867242,0.0787005081260619,0.105826597682571
"ra",0,0.00577144733577777,0,0.0053315267241968,0.00884427853132925,0.00617320736858187,0.00591688441926138,0,0,0,0,0,0,0,1,0,0,0,0,0.00501810152735327,0.00405897325003649,0.00290041133354731,0,0.0934577201226009,0.128035963643117,0.318060131634884,0.0350009600430629,0.139591629795078,0.0647881537942874,0.332963581153134,0.265311655938637,0.220589576759133,0.0302485950357441,0.175578436076392,0.388606983205458,0.155859518257473,0.151735381984747,0.790480371779248,0.10983338140958,0,0,0.676683352258185,0.119771051035681,0.652325603142953,0.43587283494986,0.329146954845172,0.271769257363316
"arco",0,0.0067824027179296,0,0.0765773974403232,0.0138579817179556,0.00806059670402712,0.0231777176111438,0,0,0,0,0,0,0,0,1,1,1,1,0.0353825826949672,0.0413396807673183,0.00681692357818737,0,0.0934847506998066,0.107604113459745,0.476882951436429,0.034899795682356,0.00546810643408434,0.192407647820487,0.513513096537733,0.00205798655707983,0.40675792308919,0.112565782426058,0.173218353563423,0.256528613866315,0.336417512382931,0.312600036213149,0.0378825023412951,0.283690251776324,0,0.0112455391376678,0.010066007206714,0.278265837207528,0.144639659602839,0.144235934602268,0.040715996876942,0.0567775485089367
