class,n_types,mean_delta,median_delta,mean_sections,min_delta,max_delta
Glut,18,0.3071828370276876,0.2840428967053382,8.38888888888889,0.12927173117850319,0.5113217309126548
Other,4,0.19437976414679303,0.1917795975358313,9,0.020255977414430915,0.3737038841010787
Astro,3,0.16522566683256684,0.07386198742866669,9.666666666666666,0.03708568068196359,0.38472933238707024
Developmental,4,0.15882798759302655,0.14914772528681142,7.25,0.07964286743216488,0.25737363236631844
Oligo/OPC,4,0.10109451410551004,0.09671797126295915,8.75,0.017098748847702246,0.19384336504841962
GABA,13,0.06875010028747383,0.04096654577835253,10,0.009669261220700076,0.22577786956365334
