filter_set,class,n_sections,delta_mean,delta_sd,obs_mean,null_mean
confident_gte400,Glut,10,0.193218708296141,0.017669323507468693,0.2099803382737854,0.01653861872735976
confident_gte400,Astro,9,0.11590715238935986,0.02452370563443477,0.1526858625026553,0.03677871011329546
confident_gte400,GABA,10,0.07469565454003597,0.012423321909467306,0.08894476352813771,0.014243189821765378
confident_gte400,Oligo/OPC,5,0.021977106255028522,0.018800754949723903,0.05558004351017595,0.0320144668835173
singlet_only_gte400,Glut,10,0.18981646090539867,0.01409557464615879,0.20505058467849366,0.015029577494701829
singlet_only_gte400,Astro,8,0.12177449527869567,0.020240634491145208,0.1581401455360974,0.03636565025740172
singlet_only_gte400,GABA,10,0.0768258748934603,0.008816380898766648,0.09241212804990216,0.015493924683375673
singlet_only_gte400,Oligo/OPC,2,0.015499894850180126,0.04768422093987788,0.04573734868488381,0.030237453834703686
