file,roi_type,section_id,x,y
HVC&Surround2_2.4_1mm_Selection_cells_stats.csv,box,OR69PU4_2_4,4109.95068359375,7328.44384765625
HVC&Surround2_2.4_1mm_Selection_cells_stats.csv,box,OR69PU4_2_4,4134.95654296875,7301.7607421875
HVC&Surround2_2.4_1mm_Selection_cells_stats.csv,box,OR69PU4_2_4,4164.37109375,7268.33544921875
HVC&Surround2_2.4_1mm_Selection_cells_stats.csv,box,OR69PU4_2_4,4177.3896484375,7252.0556640625
HVC&Surround2_2.4_1mm_Selection_cells_stats.csv,box,OR69PU4_2_4,4241.615234375,7167.560546875
HVC&Surround2_2.4_1mm_Selection_cells_stats.csv,box,OR69PU4_2_4,4305.5537109375,7081.46044921875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4542.90087890625,7109.64013671875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4540.72607421875,6865.10888671875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4534.46044921875,6767.66259765625
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4515.73974609375,6754.6181640625
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4498.94091796875,6749.46142578125
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4100.55224609375,6747.09228515625
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3628.56005859375,6745.56689453125
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3584.711669921875,6753.470703125
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3570.66796875,6761.46533203125
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3568.45703125,6769.04150390625
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3555.93017578125,6861.62353515625
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3556.652099609375,7509.02734375
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3559.725341796875,7644.7373046875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3560.904541015625,7681.86669921875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3568.86572265625,7723.357421875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3593.9990234375,7731.9013671875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,3661.218994140625,7737.7451171875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4133.9619140625,7733.6845703125
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4207.2060546875,7732.482421875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4244.4755859375,7696.16162109375
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4485.484375,7448.763671875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4519.05419921875,7401.47216796875
HVC&Surround2_2.7_1mm_Selection_cells_stats.csv,box,OR69PU4_2_7,4528.896484375,7385.76220703125
