region,threshold_label,clade,n_tips,cell_bootstrap
ALL,none,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5|Glut-RA,22,1
ALL,0.1,Glut-Arco-4|Glut-Nido-3,2,0.916
ALL,0.1,Glut-NR-2|Glut-NR-4,2,0.9
ALL,0.1,Glut-NC-2|Glut-Nido-1,2,0.68
ALL,0.1,Glut-LMAN-1|Glut-NR-1,2,0.68
ALL,0.1,Glut-Arco-2|Glut-Arco-3,2,0.448
ALL,0.1,Glut-Arco-1|Glut-RA,2,0.832
ALL,0.1,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.67
ALL,0.1,Glut-NC-3|Glut-NC-4,2,0.426
ALL,0.1,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.656
ALL,0.1,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.344
ALL,0.1,Glut-Arco-5|Glut-Nido-2,2,0.562
ALL,0.1,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.716
ALL,0.1,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.778
ALL,0.1,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.29
ALL,0.1,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.052
ALL,0.1,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.938
ALL,0.1,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.21
ALL,0.1,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.42
ALL,0.1,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.41
ALL,0.1,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-2|Glut-NR-4|Glut-NR-5|Glut-RA,16,0.938
ALL,0.1,Glut-Arco-1|Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5|Glut-RA,22,1
