region,threshold_label,song_cluster,sister,clade,au,song_nonsong,cell_bootstrap,au_pct,jaccard_vs_ref_threshold
ARCO,0.05,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.7772451884341536,TRUE,NA,77.72451884341535,1
ARCO,0.01,Glut-RA,"Glut-Arco-1, Glut-Arco-2, Glut-Arco-5",Glut-Arco-1|Glut-Arco-2|Glut-Arco-5|Glut-RA,0.4655852236570716,TRUE,NA,46.55852236570716,0.3333333333333333
ARCO,0.001,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.8998642538287062,TRUE,NA,89.98642538287062,1
NIDO,none,Glut-HVC-1,Glut-HVC-2,Glut-HVC-1|Glut-HVC-2,0.9361797414228675,FALSE,0.764,93.61797414228676,0
NIDO,0.5,Glut-HVC-1,Glut-NC-1,Glut-HVC-1|Glut-NC-1,0.7616833922009278,TRUE,NA,76.16833922009279,1
NIDO,0.25,Glut-HVC-1,Glut-NC-1,Glut-HVC-1|Glut-NC-1,0.7829522093686819,TRUE,NA,78.29522093686819,1
NIDO,0.1,Glut-HVC-1,Glut-NC-1,Glut-HVC-1|Glut-NC-1,0.8067400388371716,TRUE,0.588,80.67400388371716,1
NIDO,0.05,Glut-HVC-1,Glut-LMAN-2,Glut-HVC-1|Glut-LMAN-2,0.589286580972171,FALSE,NA,58.9286580972171,0
NIDO,0.01,Glut-HVC-1,"Glut-NC-1, Glut-NC-3",Glut-HVC-1|Glut-NC-1|Glut-NC-3,0.8215557259054656,TRUE,NA,82.15557259054656,0.5
NIDO,0.001,Glut-HVC-1,Glut-HVC-2,Glut-HVC-1|Glut-HVC-2,0.938422451231266,FALSE,NA,93.8422451231266,0
NIDO,none,Glut-HVC-2,Glut-HVC-1,Glut-HVC-1|Glut-HVC-2,0.9361797414228675,FALSE,0.764,93.61797414228676,0
NIDO,0.5,Glut-HVC-2,Glut-LMAN-2,Glut-HVC-2|Glut-LMAN-2,0.6548710527610239,FALSE,NA,65.48710527610238,0
NIDO,0.25,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.5015597997499541,TRUE,NA,50.15597997499541,1
NIDO,0.1,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.6222552309689126,TRUE,0.464,62.22552309689126,1
NIDO,0.05,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.5387298194763956,TRUE,NA,53.872981947639566,1
NIDO,0.01,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.6355891513458004,TRUE,NA,63.55891513458004,1
NIDO,0.001,Glut-HVC-2,Glut-HVC-1,Glut-HVC-1|Glut-HVC-2,0.938422451231266,FALSE,NA,93.8422451231266,0
NIDO,none,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.9813161080488841,TRUE,0.904,98.13161080488841,1
NIDO,0.5,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.5955330190457128,TRUE,NA,59.55330190457128,1
NIDO,0.25,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.7179108561539949,TRUE,NA,71.79108561539948,1
NIDO,0.1,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.649712245874003,TRUE,0.628,64.9712245874003,1
NIDO,0.05,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.8809433854362788,TRUE,NA,88.09433854362788,1
NIDO,0.01,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.9776237850376047,TRUE,NA,97.76237850376047,1
NIDO,0.001,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.9713793020408725,TRUE,NA,97.13793020408725,1
NIDO,none,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.9135559919213097,TRUE,0.912,91.35559919213097,1
NIDO,0.5,Glut-LMAN-2,Glut-HVC-2,Glut-HVC-2|Glut-LMAN-2,0.6548710527610239,FALSE,NA,65.48710527610238,0
NIDO,0.25,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.5154092002314511,TRUE,NA,51.54092002314511,1
NIDO,0.1,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.656305955684835,TRUE,0.5,65.6305955684835,1
NIDO,0.05,Glut-LMAN-2,Glut-HVC-1,Glut-HVC-1|Glut-LMAN-2,0.589286580972171,FALSE,NA,58.9286580972171,0
NIDO,0.01,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.5589974817878527,TRUE,NA,55.899748178785266,1
NIDO,0.001,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.9179515388881154,TRUE,NA,91.79515388881154,1
