region,threshold_label,song_cluster,sister,clade,au,song_nonsong
ALL,0.001,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.8728406654677908,TRUE
ALL,none,Glut-RA,"Glut-HVC-1, Glut-HVC-2",Glut-HVC-1|Glut-HVC-2|Glut-RA,0.8348725258134574,FALSE
ALL,0.5,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.8892978609554997,TRUE
ALL,0.25,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.8261068213720583,TRUE
ALL,0.1,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.8403295813021179,TRUE
ALL,0.05,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.7716889315906285,TRUE
ALL,0.01,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.621070092219798,TRUE
ALL,0.001,Glut-RA,Glut-HVC-1,Glut-HVC-1|Glut-RA,0.7823465654979633,FALSE
ARCO,none,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,1,TRUE
ARCO,0.5,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.9863835187217002,TRUE
ARCO,0.25,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.9884760691044374,TRUE
ARCO,0.1,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.9855426364417696,TRUE
ARCO,0.05,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.7772451884341536,TRUE
ARCO,0.01,Glut-RA,"Glut-Arco-1, Glut-Arco-2, Glut-Arco-5",Glut-Arco-1|Glut-Arco-2|Glut-Arco-5|Glut-RA,0.4655852236570716,TRUE
ARCO,0.001,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.8998642538287062,TRUE
NIDO,none,Glut-HVC-1,Glut-HVC-2,Glut-HVC-1|Glut-HVC-2,0.9361797414228675,FALSE
NIDO,0.5,Glut-HVC-1,Glut-NC-1,Glut-HVC-1|Glut-NC-1,0.7616833922009278,TRUE
NIDO,0.25,Glut-HVC-1,Glut-NC-1,Glut-HVC-1|Glut-NC-1,0.7829522093686819,TRUE
NIDO,0.1,Glut-HVC-1,Glut-NC-1,Glut-HVC-1|Glut-NC-1,0.8067400388371716,TRUE
NIDO,0.05,Glut-HVC-1,Glut-LMAN-2,Glut-HVC-1|Glut-LMAN-2,0.589286580972171,FALSE
NIDO,0.01,Glut-HVC-1,"Glut-NC-1, Glut-NC-3",Glut-HVC-1|Glut-NC-1|Glut-NC-3,0.8215557259054656,TRUE
NIDO,0.001,Glut-HVC-1,Glut-HVC-2,Glut-HVC-1|Glut-HVC-2,0.938422451231266,FALSE
NIDO,none,Glut-HVC-2,Glut-HVC-1,Glut-HVC-1|Glut-HVC-2,0.9361797414228675,FALSE
NIDO,0.5,Glut-HVC-2,Glut-LMAN-2,Glut-HVC-2|Glut-LMAN-2,0.6548710527610239,FALSE
NIDO,0.25,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.5015597997499541,TRUE
NIDO,0.1,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.6222552309689126,TRUE
NIDO,0.05,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.5387298194763956,TRUE
NIDO,0.01,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.6355891513458004,TRUE
NIDO,0.001,Glut-HVC-2,Glut-HVC-1,Glut-HVC-1|Glut-HVC-2,0.938422451231266,FALSE
