region,clade,n_tips,au_published,threshold_label,au_at_threshold,recovered
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.9422957618893258,0.25,0.9289553997825404,TRUE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.9422957618893258,0.1,0.9422957618893258,TRUE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.9422957618893258,0.05,0.9636435703737763,TRUE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.9422957618893258,0.01,0.783919571804129,TRUE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,10,0.9422957618893258,0.001,NA,FALSE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9381397788607857,none,NA,FALSE
ALL,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.9305469163154277,none,NA,FALSE
ALL,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9542620752722161,none,0.8641769602484013,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9381397788607857,0.5,0.9298151300097541,TRUE
ALL,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.9305469163154277,0.5,0.9299265405203081,TRUE
ALL,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9542620752722161,0.5,0.9331775437609137,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9381397788607857,0.25,0.9171570509305647,TRUE
ALL,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.9305469163154277,0.25,0.90220972468711,TRUE
ALL,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9542620752722161,0.25,0.9680277586591584,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9381397788607857,0.1,0.9381397788607857,TRUE
ALL,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.9305469163154277,0.1,0.9305469163154277,TRUE
ALL,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9542620752722161,0.1,0.9542620752722161,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9381397788607857,0.05,0.9550925254829549,TRUE
ALL,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.9305469163154277,0.05,0.9337064785222737,TRUE
ALL,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9542620752722161,0.05,0.9204834042259383,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9381397788607857,0.01,0.7996057229972925,TRUE
ALL,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.9305469163154277,0.01,NA,FALSE
ALL,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9542620752722161,0.01,0.8605479466411053,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-LMAN-2|Glut-NR-2|Glut-NR-4|Glut-RA,6,0.9381397788607857,0.001,NA,FALSE
ALL,Glut-Arco-5|Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,6,0.9305469163154277,0.001,NA,FALSE
ALL,Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,6,0.9542620752722161,0.001,0.9552198955696206,TRUE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8621256910421989,none,NA,FALSE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8621256910421989,0.5,0.8766823305703232,TRUE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8621256910421989,0.25,0.8589321010752875,TRUE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8621256910421989,0.1,0.8621256910421989,TRUE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8621256910421989,0.05,0.8258821526456253,TRUE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8621256910421989,0.01,NA,FALSE
ALL,Glut-Arco-2|Glut-Arco-3|Glut-Arco-4|Glut-Nido-3,4,0.8621256910421989,0.001,NA,FALSE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9255575078836861,none,NA,FALSE
ALL,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.6446818691550185,none,NA,FALSE
ALL,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.5882512760740838,none,NA,FALSE
ALL,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9220481280935524,none,0.8590987132831097,TRUE
ALL,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.8991180489384689,none,0.9944126193789727,TRUE
ALL,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.9131949813604635,none,0.8573678180489102,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9255575078836861,0.5,0.9266984422113078,TRUE
ALL,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.6446818691550185,0.5,0.818221440332519,TRUE
ALL,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.5882512760740838,0.5,0.6887422468362435,TRUE
ALL,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9220481280935524,0.5,0.892877085019134,TRUE
ALL,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.8991180489384689,0.5,0.9046097778057364,TRUE
ALL,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.9131949813604635,0.5,0.900197195268896,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9255575078836861,0.25,0.9408214983230773,TRUE
ALL,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.6446818691550185,0.25,NA,FALSE
ALL,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.5882512760740838,0.25,NA,FALSE
ALL,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9220481280935524,0.25,0.9196860548696916,TRUE
ALL,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.8991180489384689,0.25,0.8180982683506888,TRUE
ALL,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.9131949813604635,0.25,0.9236109646768255,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9255575078836861,0.1,0.9255575078836861,TRUE
ALL,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.6446818691550185,0.1,0.6446818691550185,TRUE
ALL,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.5882512760740838,0.1,0.5882512760740838,TRUE
ALL,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9220481280935524,0.1,0.9220481280935524,TRUE
ALL,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.8991180489384689,0.1,0.8991180489384689,TRUE
ALL,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.9131949813604635,0.1,0.9131949813604635,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9255575078836861,0.05,0.8856828785378736,TRUE
ALL,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.6446818691550185,0.05,NA,FALSE
ALL,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.5882512760740838,0.05,NA,FALSE
ALL,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9220481280935524,0.05,0.9091149158237718,TRUE
ALL,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.8991180489384689,0.05,0.9337901426800477,TRUE
ALL,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.9131949813604635,0.05,0.9188618733571955,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9255575078836861,0.01,0.7451460785363228,TRUE
ALL,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.6446818691550185,0.01,NA,FALSE
ALL,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.5882512760740838,0.01,0.615525421197277,TRUE
ALL,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9220481280935524,0.01,0.9234182512951928,TRUE
ALL,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.8991180489384689,0.01,0.6881298726587601,TRUE
ALL,Glut-NC-1|Glut-NC-2|Glut-Nido-1,3,0.9131949813604635,0.01,0.8855274227445092,TRUE
ALL,Glut-Arco-1|Glut-HVC-1|Glut-RA,3,0.9255575078836861,0.001,NA,FALSE
ALL,Glut-Arco-5|Glut-Nido-2|Glut-NR-5,3,0.6446818691550185,0.001,NA,FALSE
ALL,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.5882512760740838,0.001,0.8117929435787969,TRUE
ALL,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9220481280935524,0.001,0.94775188152186,TRUE
ALL,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.8991180489384689,0.001,0.8728406654677908,TRUE
