region,threshold_label,clade,n_tips,au,bp
NIDO,0.5,Glut-NC-2|Glut-Nido-1,2,0.46063047768757076,0.21295831336291549
NIDO,0.5,Glut-HVC-2|Glut-LMAN-2,2,0.6548710527610239,0.3423436960489764
NIDO,0.5,Glut-Nido-2|Glut-NR-5,2,0.7949669794081238,0.5312216764485219
NIDO,0.5,Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-5,4,0.6698171477314083,0.10693158064390772
NIDO,0.5,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.6556491966380366,0.5135773021618195
NIDO,0.5,Glut-HVC-1|Glut-NC-1,2,0.7616833922009278,0.4583488836126835
NIDO,0.5,Glut-HVC-2|Glut-LMAN-2|Glut-NR-2|Glut-NR-4,4,0.5991531580047889,0.17657033984989814
NIDO,0.5,Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NR-2|Glut-NR-4,5,0.535719627432241,0.04253907466670034
NIDO,0.5,Glut-LMAN-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,5,0.6200154619035139,0.14367852091422836
NIDO,0.5,Glut-HVC-1|Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-NR-1|Glut-NR-3,7,0.4907851394872441,0.16434271119382615
NIDO,0.5,Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-Nido-3|Glut-NR-2|Glut-NR-4|Glut-NR-5,9,0.49891669906698677,0.16328290734462464
NIDO,0.5,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1,1
NIDO,0.25,Glut-NR-2|Glut-NR-4,2,0.964787507776816,0.9781607549561704
NIDO,0.25,Glut-LMAN-1|Glut-NR-1,2,0.7179108561539949,0.5993605961391542
NIDO,0.25,Glut-Nido-1|Glut-Nido-3,2,0.6267810356233696,0.30835054400974954
NIDO,0.25,Glut-HVC-2|Glut-NC-4,2,0.5015597997499541,0.38317796917542635
NIDO,0.25,Glut-NC-2|Glut-Nido-1|Glut-Nido-3,3,0.8386091509910161,0.4162733459705139
NIDO,0.25,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.5154092002314511,0.49794960542836414
NIDO,0.25,Glut-Nido-2|Glut-NR-5,2,0.8133765641262252,0.5406759414022216
NIDO,0.25,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.7746534747799323,0.5328127098933615
NIDO,0.25,Glut-HVC-1|Glut-NC-1,2,0.7829522093686819,0.5091662097051911
NIDO,0.25,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.6014567712756677,0.10533634525776593
NIDO,0.25,Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,5,0.7431797177344414,0.09491176311698944
NIDO,0.25,Glut-HVC-1|Glut-LMAN-1|Glut-NC-1|Glut-NR-1|Glut-NR-3,5,0.8143673817784747,0.25333932470516185
NIDO,0.25,Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-2|Glut-NR-4|Glut-NR-5,8,0.6986701384638204,0.1420702063305543
NIDO,0.25,Glut-HVC-1|Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-Nido-3|Glut-NR-1|Glut-NR-3,8,0.6995663442570057,0.141988802522117
NIDO,0.25,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1,1
NIDO,0.1,Glut-NR-2|Glut-NR-4,2,0.9726469999466714,0.9904133559973172
NIDO,0.1,Glut-LMAN-1|Glut-NR-1,2,0.649712245874003,0.6218616160743266
NIDO,0.1,Glut-HVC-2|Glut-NC-4,2,0.6222552309689126,0.4939709866228102
NIDO,0.1,Glut-Nido-1|Glut-Nido-3,2,0.5844202857050144,0.3326940659117248
NIDO,0.1,Glut-NC-2|Glut-Nido-1|Glut-Nido-3,3,0.8164002123169913,0.49810954187848505
NIDO,0.1,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.656305955684835,0.528813508392611
NIDO,0.1,Glut-Nido-2|Glut-NR-5,2,0.8605071662586975,0.6386114155815629
NIDO,0.1,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.7486775453954329,0.5564781883633699
NIDO,0.1,Glut-HVC-1|Glut-NC-1,2,0.8067400388371716,0.5432120182090012
NIDO,0.1,Glut-HVC-2|Glut-NC-3|Glut-NC-4,3,0.690838300337809,0.13715863252842606
NIDO,0.1,Glut-HVC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-5,5,0.7439392846899304,0.09035935103836766
NIDO,0.1,Glut-HVC-1|Glut-LMAN-1|Glut-NC-1|Glut-NR-1|Glut-NR-3,5,0.8210097252209263,0.30776417652413346
NIDO,0.1,Glut-HVC-2|Glut-LMAN-2|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-2|Glut-NR-4|Glut-NR-5,8,0.7614718769427863,0.18958897948214445
NIDO,0.1,Glut-HVC-1|Glut-LMAN-1|Glut-NC-1|Glut-NC-2|Glut-Nido-1|Glut-Nido-3|Glut-NR-1|Glut-NR-3,8,0.7614718769427863,0.18958897948214445
NIDO,0.1,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1,1
NIDO,0.05,Glut-NR-2|Glut-NR-4,2,1,1
NIDO,0.05,Glut-LMAN-1|Glut-NR-1,2,0.8809433854362788,0.8136328675585233
NIDO,0.05,Glut-HVC-2|Glut-NC-4,2,0.5387298194763956,0.40954779393523427
NIDO,0.05,Glut-Nido-1|Glut-Nido-3,2,0.611459080104516,0.34911536661447595
NIDO,0.05,Glut-NC-2|Glut-Nido-1|Glut-Nido-3,3,0.9418169867137771,0.6776068509727649
NIDO,0.05,Glut-Nido-2|Glut-NR-5,2,0.8972227012035261,0.6928624092235935
NIDO,0.05,Glut-HVC-1|Glut-LMAN-2,2,0.589286580972171,0.19546361259402678
NIDO,0.05,Glut-NC-1|Glut-NC-3,2,0.5789297742343852,0.15493328946444823
NIDO,0.05,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.902301306241216,0.6663383181630785
NIDO,0.05,Glut-HVC-2|Glut-NC-4|Glut-Nido-2|Glut-NR-5,4,0.7527984380667124,0.16815686777760971
NIDO,0.05,Glut-HVC-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-3,4,0.8149660814523982,0.07723240569007718
NIDO,0.05,Glut-LMAN-1|Glut-NC-2|Glut-Nido-1|Glut-Nido-3|Glut-NR-1|Glut-NR-3,6,0.639712926920958,0.11798872402225456
NIDO,0.05,Glut-HVC-2|Glut-NC-4|Glut-Nido-2|Glut-NR-2|Glut-NR-4|Glut-NR-5,6,0.831453065805217,0.02483879845034659
NIDO,0.05,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NC-1|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-2|Glut-NR-4|Glut-NR-5,10,0.7340988012113205,0.07587187526664625
NIDO,0.05,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1,1
NIDO,0.01,Glut-NR-2|Glut-NR-4,2,1,1
NIDO,0.01,Glut-LMAN-1|Glut-NR-1,2,0.9776237850376047,0.9635121275024455
NIDO,0.01,Glut-HVC-2|Glut-NC-4,2,0.6355891513458004,0.5543980305973445
NIDO,0.01,Glut-NC-2|Glut-Nido-1,2,0.7206073077317205,0.5620926895001302
NIDO,0.01,Glut-NC-2|Glut-Nido-1|Glut-Nido-3,3,0.9337484218368826,0.7508856804494108
NIDO,0.01,Glut-Nido-2|Glut-NR-5,2,0.8527368528468973,0.6606560666578641
NIDO,0.01,Glut-NC-1|Glut-NC-3,2,0.7966548860844993,0.3386214608359992
NIDO,0.01,Glut-LMAN-2|Glut-NR-2|Glut-NR-4,3,0.5589974817878527,0.4871933626211413
NIDO,0.01,Glut-LMAN-1|Glut-NR-1|Glut-NR-3,3,0.9161630232182388,0.758026276789214
NIDO,0.01,Glut-HVC-2|Glut-NC-4|Glut-Nido-2|Glut-NR-5,4,0.8134970056080761,0.3238912685636069
NIDO,0.01,Glut-HVC-1|Glut-NC-1|Glut-NC-3,3,0.8215557259054656,0.22178527594189137
NIDO,0.01,Glut-LMAN-1|Glut-NC-2|Glut-Nido-1|Glut-Nido-3|Glut-NR-1|Glut-NR-3,6,0.8974392975880119,0.3543240652036168
NIDO,0.01,Glut-HVC-2|Glut-LMAN-2|Glut-NC-4|Glut-Nido-2|Glut-NR-2|Glut-NR-4|Glut-NR-5,7,0.9067431409000581,0.10120431678749126
NIDO,0.01,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-2|Glut-NC-1|Glut-NC-3|Glut-NC-4|Glut-Nido-2|Glut-NR-2|Glut-NR-4|Glut-NR-5,10,0.8967468022213265,0.228132860842356
NIDO,0.01,Glut-HVC-1|Glut-HVC-2|Glut-LMAN-1|Glut-LMAN-2|Glut-NC-1|Glut-NC-2|Glut-NC-3|Glut-NC-4|Glut-Nido-1|Glut-Nido-2|Glut-Nido-3|Glut-NR-1|Glut-NR-2|Glut-NR-3|Glut-NR-4|Glut-NR-5,16,1,1
NIDO,0.001,Glut-NR-2|Glut-NR-4,2,1,1
NIDO,0.001,Glut-LMAN-1|Glut-NR-1,2,0.9713793020408725,0.9559865290144218
NIDO,0.001,Glut-NC-2|Glut-Nido-1,2,0.8687456582964621,0.7049808444783416
NIDO,0.001,Glut-NC-3|Glut-NC-4,2,0.9629643447714735,0.8713316283243593
