region,threshold_label,song_cluster,sister,clade,au,song_nonsong,agreement
ARCO,0.25,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.9884760691044374,TRUE,1
ARCO,0.1,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.9855426364417696,TRUE,1
ARCO,0.05,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.7772451884341536,TRUE,1
ARCO,0.01,Glut-RA,"Glut-Arco-1, Glut-Arco-2, Glut-Arco-5",Glut-Arco-1|Glut-Arco-2|Glut-Arco-5|Glut-RA,0.4655852236570716,TRUE,0.3333333333333333
ARCO,0.001,Glut-RA,Glut-Arco-1,Glut-Arco-1|Glut-RA,0.8998642538287062,TRUE,1
NIDO,none,Glut-HVC-1,Glut-HVC-2,Glut-HVC-1|Glut-HVC-2,0.9361797414228675,FALSE,0
NIDO,0.5,Glut-HVC-1,Glut-NC-1,Glut-HVC-1|Glut-NC-1,0.7616833922009278,TRUE,1
NIDO,0.25,Glut-HVC-1,Glut-NC-1,Glut-HVC-1|Glut-NC-1,0.7829522093686819,TRUE,1
NIDO,0.1,Glut-HVC-1,Glut-NC-1,Glut-HVC-1|Glut-NC-1,0.8067400388371716,TRUE,1
NIDO,0.05,Glut-HVC-1,Glut-LMAN-2,Glut-HVC-1|Glut-LMAN-2,0.589286580972171,FALSE,0
NIDO,0.01,Glut-HVC-1,"Glut-NC-1, Glut-NC-3",Glut-HVC-1|Glut-NC-1|Glut-NC-3,0.8215557259054656,TRUE,0.5
NIDO,0.001,Glut-HVC-1,Glut-HVC-2,Glut-HVC-1|Glut-HVC-2,0.938422451231266,FALSE,0
NIDO,none,Glut-HVC-2,Glut-HVC-1,Glut-HVC-1|Glut-HVC-2,0.9361797414228675,FALSE,0
NIDO,0.5,Glut-HVC-2,Glut-LMAN-2,Glut-HVC-2|Glut-LMAN-2,0.6548710527610239,FALSE,0
NIDO,0.25,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.5015597997499541,TRUE,1
NIDO,0.1,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.6222552309689126,TRUE,1
NIDO,0.05,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.5387298194763956,TRUE,1
NIDO,0.01,Glut-HVC-2,Glut-NC-4,Glut-HVC-2|Glut-NC-4,0.6355891513458004,TRUE,1
NIDO,0.001,Glut-HVC-2,Glut-HVC-1,Glut-HVC-1|Glut-HVC-2,0.938422451231266,FALSE,0
NIDO,none,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.9813161080488841,TRUE,1
NIDO,0.5,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.5955330190457128,TRUE,1
NIDO,0.25,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.7179108561539949,TRUE,1
NIDO,0.1,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.649712245874003,TRUE,1
NIDO,0.05,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.8809433854362788,TRUE,1
NIDO,0.01,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.9776237850376047,TRUE,1
NIDO,0.001,Glut-LMAN-1,Glut-NR-1,Glut-LMAN-1|Glut-NR-1,0.9713793020408725,TRUE,1
NIDO,none,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.9135559919213097,TRUE,1
NIDO,0.5,Glut-LMAN-2,Glut-HVC-2,Glut-HVC-2|Glut-LMAN-2,0.6548710527610239,FALSE,0
NIDO,0.25,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.5154092002314511,TRUE,1
NIDO,0.1,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.656305955684835,TRUE,1
NIDO,0.05,Glut-LMAN-2,Glut-HVC-1,Glut-HVC-1|Glut-LMAN-2,0.589286580972171,FALSE,0
NIDO,0.01,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.5589974817878527,TRUE,1
NIDO,0.001,Glut-LMAN-2,"Glut-NR-2, Glut-NR-4",Glut-LMAN-2|Glut-NR-2|Glut-NR-4,0.9179515388881154,TRUE,1
