region,lab_a,lab_b,cophenetic_r,baker_gamma,ari
ARCO,none,none,1,0.9999999999999998,1
ARCO,none,0.5,0.9705640765790189,0.9082306470546306,0.44902319902319904
ARCO,none,0.25,0.9705640765790189,0.9082306470546306,0.44902319902319904
ARCO,none,0.1,0.9748945067043011,0.9295756681369957,0.44902319902319904
ARCO,none,0.05,0.9938008777040247,0.9957081545064377,0.7321428571428571
ARCO,none,0.01,0.09499031494228438,0.14194439019772723,0.03693528693528694
ARCO,none,0.001,0.9924525422119875,0.9957081545064377,0.8557692307692307
ARCO,0.5,none,0.9705640765790189,0.9082306470546306,0.44902319902319904
ARCO,0.5,0.5,1,1,1
ARCO,0.5,0.25,1,1,1
ARCO,0.5,0.1,0.9968067191100549,0.9469214437367303,0.8295454545454546
ARCO,0.5,0.05,0.9637942846437381,0.9295756681369957,0.7168803418803419
ARCO,0.5,0.01,-0.012037049284662022,-0.025477707006369425,-0.07985764235764234
ARCO,0.5,0.001,0.9413789704231488,0.8975581365134482,0.3047924297924298
ARCO,0.25,none,0.9705640765790189,0.9082306470546306,0.44902319902319904
ARCO,0.25,0.5,1,1,1
ARCO,0.25,0.25,1,1,1
ARCO,0.25,0.1,0.9968067191100549,0.9469214437367303,0.8295454545454546
ARCO,0.25,0.05,0.9637942846437381,0.9295756681369957,0.7168803418803419
ARCO,0.25,0.01,-0.012037049284662022,-0.025477707006369425,-0.07985764235764234
ARCO,0.25,0.001,0.9413789704231488,0.8975581365134482,0.3047924297924298
ARCO,0.1,none,0.9748945067043011,0.9295756681369957,0.44902319902319904
ARCO,0.1,0.5,0.9968067191100549,0.9469214437367303,0.8295454545454546
ARCO,0.1,0.25,0.9968067191100549,0.9469214437367303,0.8295454545454546
ARCO,0.1,0.1,0.9999999999999998,1,1
ARCO,0.1,0.05,0.9632016325004857,0.9402481786781782,0.7168803418803419
ARCO,0.1,0.01,-0.02143101734487839,-0.041401273885350316,-0.07985764235764234
ARCO,0.1,0.001,0.9445609369774727,0.9082306470546306,0.3047924297924298
ARCO,0.05,none,0.9938008777040247,0.9957081545064377,0.7321428571428571
ARCO,0.05,0.5,0.9637942846437381,0.9295756681369957,0.7168803418803419
ARCO,0.05,0.25,0.9637942846437381,0.9295756681369957,0.7168803418803419
ARCO,0.05,0.1,0.9632016325004857,0.9402481786781782,0.7168803418803419
ARCO,0.05,0.05,1,0.9999999999999998,1
ARCO,0.05,0.01,0.15446628456635872,0.13127187965654474,0.03693528693528694
ARCO,0.05,0.001,0.994906852670027,0.987124463519313,0.5879120879120879
ARCO,0.01,none,0.09499031494228438,0.14194439019772723,0.03693528693528694
ARCO,0.01,0.5,-0.012037049284662022,-0.025477707006369425,-0.07985764235764234
ARCO,0.01,0.25,-0.012037049284662022,-0.025477707006369425,-0.07985764235764234
ARCO,0.01,0.1,-0.02143101734487839,-0.041401273885350316,-0.07985764235764234
ARCO,0.01,0.05,0.15446628456635872,0.13127187965654474,0.03693528693528694
ARCO,0.01,0.01,1,1,1
ARCO,0.01,0.001,0.17343241792726358,0.15902040706361922,0.18116605616605616
ARCO,0.001,none,0.9924525422119875,0.9957081545064377,0.8557692307692307
ARCO,0.001,0.5,0.9413789704231488,0.8975581365134482,0.3047924297924298
ARCO,0.001,0.25,0.9413789704231488,0.8975581365134482,0.3047924297924298
ARCO,0.001,0.1,0.9445609369774727,0.9082306470546306,0.3047924297924298
ARCO,0.001,0.05,0.994906852670027,0.987124463519313,0.5879120879120879
ARCO,0.001,0.01,0.17343241792726358,0.15902040706361922,0.18116605616605616
ARCO,0.001,0.001,1,0.9999999999999998,1
NIDO,none,none,0.9999999999999999,0.9999999999999999,1
NIDO,none,0.5,0.24942548342798843,0.2473075101585788,0.30407166679820014
NIDO,none,0.25,0.31599902299909555,0.29519427739340043,0.5302450989187937
NIDO,none,0.1,0.3122589028757522,0.29504619384136954,0.5302450989187937
NIDO,none,0.05,0.5838678697983345,0.556797711084782,0.4659614087433822
NIDO,none,0.01,0.6012256041945809,0.5633443613966813,0.5671864610449893
NIDO,none,0.001,0.9991769973034479,0.9999999999999999,1
NIDO,0.5,none,0.24942548342798843,0.2473075101585788,0.30407166679820014
NIDO,0.5,0.5,1,1,1
NIDO,0.5,0.25,0.7344454557310576,0.7259137808231144,0.49672847717478835
NIDO,0.5,0.1,0.7369965408455614,0.7262540436198281,0.49672847717478835
NIDO,0.5,0.05,0.39226373089396255,0.40625332923239826,0.3815304909470919
NIDO,0.5,0.01,0.42651028209630887,0.4528608068392271,0.41745992038123825
NIDO,0.5,0.001,0.24938164919866043,0.2473075101585788,0.30407166679820014
NIDO,0.25,none,0.31599902299909555,0.29519427739340043,0.5302450989187937
NIDO,0.25,0.5,0.7344454557310576,0.7259137808231144,0.49672847717478835
NIDO,0.25,0.25,0.9999999999999999,0.9999999999999999,1
NIDO,0.25,0.1,0.9995557791193556,0.9999917731359982,1
NIDO,0.25,0.05,0.6181899393238947,0.6161343229687691,0.5693205480709932
NIDO,0.25,0.01,0.6584424474328472,0.669714958619125,0.6905452112126791
NIDO,0.25,0.001,0.32238289324365327,0.29519427739340043,0.5302450989187937
NIDO,0.1,none,0.3122589028757522,0.29504619384136954,0.5302450989187937
NIDO,0.1,0.5,0.7369965408455614,0.7262540436198281,0.49672847717478835
NIDO,0.1,0.25,0.9995557791193556,0.9999917731359982,1
NIDO,0.1,0.1,0.9999999999999999,0.9999999999999999,1
NIDO,0.1,0.05,0.6163713216604372,0.6161424443185566,0.5693205480709932
NIDO,0.1,0.01,0.6551392038937944,0.6697352389999109,0.6905452112126791
NIDO,0.1,0.001,0.31805655072320776,0.29504619384136954,0.5302450989187937
NIDO,0.05,none,0.5838678697983345,0.556797711084782,0.4659614087433822
NIDO,0.05,0.5,0.39226373089396255,0.40625332923239826,0.3815304909470919
NIDO,0.05,0.25,0.6181899393238947,0.6161343229687691,0.5693205480709932
NIDO,0.05,0.1,0.6163713216604372,0.6161424443185566,0.5693205480709932
NIDO,0.05,0.05,1,1,1
NIDO,0.05,0.01,0.9820819323548589,0.9684186607909361,0.8744488580472588
NIDO,0.05,0.001,0.5808197417983612,0.556797711084782,0.4659614087433822
NIDO,0.01,none,0.6012256041945809,0.5633443613966813,0.5671864610449893
NIDO,0.01,0.5,0.42651028209630887,0.4528608068392271,0.41745992038123825
NIDO,0.01,0.25,0.6584424474328472,0.669714958619125,0.6905452112126791
NIDO,0.01,0.1,0.6551392038937944,0.6697352389999109,0.6905452112126791
NIDO,0.01,0.05,0.9820819323548589,0.9684186607909361,0.8744488580472588
NIDO,0.01,0.01,1,1,1
NIDO,0.01,0.001,0.6017365298621656,0.5633443613966813,0.5671864610449893
NIDO,0.001,none,0.9991769973034479,0.9999999999999999,1
NIDO,0.001,0.5,0.24938164919866043,0.2473075101585788,0.30407166679820014
NIDO,0.001,0.25,0.32238289324365327,0.29519427739340043,0.5302450989187937
NIDO,0.001,0.1,0.31805655072320776,0.29504619384136954,0.5302450989187937
NIDO,0.001,0.05,0.5808197417983612,0.556797711084782,0.4659614087433822
NIDO,0.001,0.01,0.6017365298621656,0.5633443613966813,0.5671864610449893
NIDO,0.001,0.001,1,0.9999999999999999,1
ALL,none,none,0.9999999999999998,1,1
ALL,none,0.5,0.8981100846199233,0.9222719622598536,0.6213480535566416
ALL,none,0.25,0.9032378149931196,0.9209135439498323,0.6131856076397793
ALL,none,0.1,0.9122499284297507,0.9222719622598536,0.6213480535566416
ALL,none,0.05,0.9297516675976181,0.9218199904787209,0.6196925582461088
ALL,none,0.01,0.9476733640980135,0.929729700383557,0.7318929087464061
ALL,none,0.001,0.9583894840204381,0.928649314316684,0.7744873053398942
ALL,0.5,none,0.8981100846199233,0.9222719622598536,0.6213480535566416
ALL,0.5,0.5,1,1,1
ALL,0.5,0.25,0.9992838530875248,0.9993298606262163,0.9602362019939482
ALL,0.5,0.1,0.998852854898707,1,1
ALL,0.5,0.05,0.9921164058726465,0.999044302023267,0.9602362019939482
ALL,0.5,0.01,0.9788905153230132,0.9948585079198267,0.8495023983661573
ALL,0.5,0.001,0.8756037930708488,0.8968359361685767,0.6536696568823084
ALL,0.25,none,0.9032378149931196,0.9209135439498323,0.6131856076397793
ALL,0.25,0.5,0.9992838530875248,0.9993298606262163,0.9602362019939482
ALL,0.25,0.25,1,1,1
ALL,0.25,0.1,0.9992335935640347,0.9993298606262163,0.9602362019939482
