crossK,song_mean,nonsong_mean,U,p_one_sided
5,0.5800000000000001,0.68708,19.0,0.15350877192982457
10,0.5333,0.6549666666666667,16.0,0.08841300310296846
20,0.4766,0.6086933333333333,18.0,0.13106295149638802
30,0.459975,0.57088,19.0,0.15350877192982457
50,0.44905000000000006,0.5316333333333334,23.0,0.2652218782249742
100,0.523325,0.46762,37.0,0.7654798761609907
