,2,5,10,20,30,50,group
Glut-NR-5,0.5695416356598476,0.7564742061656891,0.755214656757282,0.765937609565389,0.7467600405113201,0.7295423025716699,non-song
Glut-Arco-2,0.5071084267711231,0.630273865444926,0.6324736754297575,0.5694232056915784,0.5289602723324325,0.4590613353946603,non-song
Glut-NC-3,0.4172083858013938,0.525692827146955,0.5524156956782905,0.4261930593208947,0.42562634258774856,0.39566882781329654,non-song
Glut-NC-1,0.29328361774332884,0.24612994262869925,0.31579589177274053,0.32921829443924244,0.31503101357891017,0.29509507351492387,non-song
Glut-Arco-1,0.15257201084597666,0.23033827959872608,0.2607191383475497,0.24447693598456655,0.2635391860164105,0.2497084425056903,non-song
Glut-Arco-5,0.08816577276635568,0.22656263384309477,0.30386231649887885,0.37547419020410455,0.4035961829775805,0.47873814616560195,non-song
Glut-NC-2,0.02234235576061221,0.08098480808669387,0.11825209037342485,0.08475777763702427,0.08687820457939703,0.10377131952448293,non-song
Glut-NR-4,0.0,0.26787909760807566,0.39052862932179133,0.4421704995971639,0.45165238001855984,0.43323358121487915,non-song
Glut-NR-1,0.0,0.1526736753320589,0.16795712105288424,0.19079867637578996,0.1904763599213356,0.18130062034273545,non-song
Glut-NR-3,0.0,0.08994260288547991,0.18642735927986465,0.20665086655711695,0.22549049594329212,0.2338143664021902,non-song
Glut-Arco-4,0.0,0.0043178767955720995,0.01462499423413016,0.06169439946233531,0.051641315161939254,0.046747595486411324,non-song
Glut-NC-4,0.0,0.003523184926095809,0.02607779342244696,0.03517652639913932,0.0390745533020362,0.038728378427639945,non-song
Glut-NR-2,0.0,0.0,0.017830769173057384,0.05363563712513366,0.08198880198848502,0.1256926275231316,non-song
Glut-LMAN-1,0.0,0.0,0.0021811773912057838,0.014062422976574035,0.024858042786875555,0.024105866793912006,non-song
Glut-Arco-3,0.0,0.0,0.0,0.0,0.0,0.037118279439468514,non-song
Glut-HVC-1,0.0,0.054758909296189304,0.0860162305543148,0.1252211934097528,0.14143511357294228,0.1425254108635783,song
Glut-LMAN-2,0.0,0.0,0.0,0.07124489139637215,0.04648108368254475,0.03579083538936829,song
Glut-HVC-2,0.0,0.0,0.0,0.004913645147850188,0.007032177542509025,0.006658693790819584,song
Glut-RA,0.0,0.0,0.0,0.0,0.0,0.0,song
