,2,5,10,20,30,50,group
Glut-NR-5,0.29527789370299257,0.4664442621672658,0.6525735208303093,0.6870127088248128,0.704843735026561,0.7198620665639626,non-song
Glut-NC-1,0.17101155930534293,0.316640266388917,0.3407156775504095,0.356606025245783,0.35455469990732685,0.3224104352911171,non-song
Glut-Arco-2,0.14910192824676397,0.36883420656312854,0.38043595765790555,0.313225199440848,0.29691678110923764,0.29273342975674604,non-song
Glut-Arco-1,0.12108721836264778,0.27604868044235925,0.2812184041459343,0.31683989783938427,0.2782535469440764,0.2574671662334588,non-song
Glut-NC-3,0.06135865717907576,0.32645709960720587,0.43913250894819067,0.5097731954093676,0.5264549799890349,0.5247629408213557,non-song
Glut-Arco-5,0.04556539285281329,0.22350425052684303,0.3756397772811976,0.4775919319449611,0.5119809910373784,0.5355839563289773,non-song
Glut-NC-4,0.0028034974541885534,0.017599949566763223,0.04557521333376969,0.09311338462163128,0.10373736888204761,0.12287509108831746,non-song
Glut-NR-4,0.0,0.21542688335804017,0.3609270318623228,0.406163996783993,0.4636755300063858,0.48736850395662024,non-song
Glut-NR-2,0.0,0.00666515342828187,0.05992107592504897,0.17236718557372416,0.21996241818576218,0.30713144802955344,non-song
Glut-NR-3,0.0,0.0,0.004652454105584148,0.0420168056481502,0.0527897103019884,0.0844501333013297,non-song
Glut-NC-2,0.0,0.0,0.0010106949460107868,0.02497456515939532,0.03279026709514382,0.0530726297719705,non-song
Glut-NR-1,0.0,0.0,0.0,0.06050117077452379,0.07009999249038786,0.09843723910957944,non-song
Glut-LMAN-1,0.0,0.0,0.0,0.017901699422226556,0.035988310885869804,0.044955735157377226,non-song
Glut-Arco-4,0.0,0.0,0.0,0.005803155535014679,0.0,0.009037127461359507,non-song
Glut-Arco-3,0.0,0.0,0.0,0.0,0.00456445783205794,0.025010798885496406,non-song
Glut-LMAN-2,0.0,0.0,0.0034527202657720375,0.005658847747411544,0.01379307865226652,0.013334409200135526,song
Glut-HVC-2,0.0,0.0,0.0,0.036426081069059396,0.043493753760677184,0.12558789731847145,song
Glut-HVC-1,0.0,0.0,0.0,0.003978761243569066,0.005875599219867285,0.009967455413780042,song
Glut-RA,0.0,0.0,0.0,0.0,0.0,0.0,song
