,5,10,20,30,50,100,group
Glut-Arco-1,0.3193073142678811,0.3328555895902204,0.33476196019785226,0.3202192429177405,0.3182273156300707,0.30255421391395576,non-song
Glut-Arco-2,0.2203927379003313,0.22998992849307703,0.24962906187851452,0.2470972651352829,0.2519364583637229,0.2703991206975442,non-song
Glut-Arco-3,0.572000923825165,0.5199540388700051,0.522051211125998,0.5029771190482063,0.4683042710117339,0.3600072791234896,non-song
Glut-Arco-4,0.36258509998549754,0.37135678391591775,0.3389628129240824,0.3256734433007241,0.32436461662017235,0.32648542505572736,non-song
Glut-Arco-5,0.6070114960495273,0.6006853616958261,0.5735421715122893,0.5788447174450181,0.5439031615955212,0.45629905081017513,non-song
Glut-HVC-1,0.6298546316896412,0.5843656931558043,0.521085757238803,0.48579682167602517,0.42934193225983314,0.6627629173991497,song
Glut-HVC-2,0.4071814138556268,0.396728286289471,0.41315312629755263,0.45429768435303763,0.48884451892952113,0.6032424643564119,song
Glut-LMAN-1,0.8130636394675843,0.8158093916233741,0.8382230944502174,0.8427397826975819,0.850033345536087,0.8514140039109201,non-song
Glut-LMAN-2,0.5924337811436846,0.5612245772722042,0.4841232188925707,0.47772927976142704,0.520314436749639,0.5681728755030392,song
Glut-NC-1,0.16623001069672325,0.17871930902551902,0.19222338707007716,0.20030468980119331,0.21341579596755444,0.23153936940452385,non-song
Glut-NC-2,0.5172806266973129,0.5110852910267187,0.515679860984767,0.5134671599904526,0.5135988991460063,0.5006072681091901,non-song
Glut-NC-3,0.3101487229827378,0.34277937222709354,0.38516104419557207,0.40912199929489756,0.4350683604263101,0.44947193384996487,non-song
Glut-NC-4,0.5283930078584241,0.5568023889816416,0.5171619542833713,0.48785239470977265,0.44625816389096373,0.39619889959303894,non-song
Glut-NR-1,0.5016356605287996,0.5093468061804074,0.5097411224463212,0.5240429527797268,0.5242653743985022,0.5463679742461196,non-song
Glut-NR-2,0.497452163059954,0.4894765300494987,0.4960428507177187,0.4879288423390672,0.4803629104443536,0.4390910479739495,non-song
Glut-NR-3,0.47351893488859065,0.4956261394817832,0.4999818833727065,0.4832186689189754,0.47242006584737917,0.4744271888539287,non-song
Glut-NR-4,0.5503175641135832,0.5601813274434574,0.5657798814081967,0.5667203404574013,0.5711486557253923,0.5810644366700718,non-song
Glut-NR-5,0.352947211789586,0.3691943175925786,0.366762003426417,0.3437671088925786,0.4007722838096871,0.5945071660271384,non-song
Glut-RA,0.5918128919843204,0.6914874594752964,0.7468284336027654,0.7837565439477543,0.8156102808811768,0.8387902884273812,song
