variant,k_anchor,song_mean,nonsong_mean,U,p_one_sided
cca_kfNA,2,0.11560448852421953,0.24246413965887953,17.0,0.11042311661506707
cca_kfNA,5,0.1409912498406818,0.24607347369411123,18.0,0.13106295149638802
cca_kfNA,10,0.15760072354518506,0.24586722007910977,21.0,0.20536635706914344
cca_kfNA,20,0.17158017668772554,0.2441570721813979,22.0,0.23452012383900928
cca_kfNA,30,0.17561843732831392,0.23953637777260187,22.0,0.23452012383900928
cca_kfNA,50,0.1754104214855362,0.2307547635426964,22.0,0.23452012383900928
rpca_kfNA,2,0.0,0.1127347958619939,10.0,0.01962686473178504
rpca_kfNA,5,0.0026334526119857426,0.19377015269785167,2.0,0.0029360664468915517
rpca_kfNA,10,0.021388258435734653,0.23338337804930867,5.0,0.0046439628482972135
rpca_kfNA,20,0.0494464834585954,0.260302917358973,7.0,0.00980392156862745
rpca_kfNA,30,0.0627768425726717,0.2701985383268607,7.0,0.00980392156862745
rpca_kfNA,50,0.08669999329719105,0.2772498985843178,10.0,0.024251805985552117
rpca_kf200,2,0.0,0.05641374314025498,16.0,0.0594085243449054
rpca_kf200,5,0.0,0.14784138346992032,12.0,0.029226039299498945
rpca_kf200,10,0.0008631800664430094,0.19612015443911224,11.0,0.028901811714811855
rpca_kf200,20,0.011515922515010001,0.23225939481492106,6.5,0.010695548860658554
rpca_kf200,30,0.015790607908202747,0.24377418597955058,8.5,0.017823921895025328
rpca_kf200,50,0.03722244048309676,0.2590105801171481,9.0,0.018317853457172344
rpca_SCT_kf50,2,0.0,0.13668148035657585,16.0,0.0594085243449054
rpca_SCT_kf50,5,0.013689727324047326,0.21431953336413775,9.5,0.0211058342334275
rpca_SCT_kf50,10,0.0215040576385787,0.24962408724888693,6.5,0.010439798954157451
rpca_SCT_kf50,20,0.05034493248849378,0.25331134008907025,12.5,0.0444953367673533
rpca_SCT_kf50,30,0.048737093699499016,0.25570487944708814,10.5,0.028661887299137663
rpca_SCT_kf50,50,0.04624373501094155,0.25548845087471295,7.0,0.00980392156862745
