,2,5,10,20,30,50,group
Glut-Arco-1,0.721011048576553,0.754566841898471,0.717101313448947,0.712760393018649,0.65582537766805,0.582599871303549,non-song
Glut-Arco-2,0.715266778862182,0.5922608109598,0.479746220005783,0.415156904511681,0.372494666161444,0.303574952492321,non-song
Glut-Arco-3,0.692252305353838,0.620931306125523,0.50131677299215,0.459023126254092,0.41440169101278,0.370458072648986,non-song
Glut-Arco-5,0.604080109045043,0.684177433977541,0.630798022955874,0.634785683307076,0.615621340235849,0.576926327221776,non-song
Glut-Arco-4,0.462330953141338,0.33889866629214,0.246410360995769,0.168407181431824,0.19434773330434,0.165301874258255,non-song
Glut-NR-4,0.407799438898774,0.648891376794319,0.647716468604349,0.650723885716259,0.615244985489555,0.585969358165631,non-song
Glut-NR-2,0.286774738068598,0.280517176509317,0.464976786298193,0.566358411084008,0.585555959959983,0.598923805913257,non-song
Glut-NR-5,0.235185442611994,0.388367847871396,0.471837783044087,0.499691269715703,0.510941750110768,0.517224837048498,non-song
Glut-NC-1,0.202888694651175,0.267913501571924,0.296887927654747,0.287489127318986,0.283516662363179,0.281253998621476,non-song
Glut-NC-3,0.188190300229669,0.532333141453111,0.569956981604908,0.569796570937685,0.557214976572466,0.547578434488949,non-song
Glut-NC-2,0.16587815020688,0.299771900917189,0.29388534382322,0.248043837970827,0.240672323861453,0.229115083715678,non-song
Glut-NR-1,0.158871621655953,0.287787819503342,0.216754990933063,0.190687725813802,0.185134811444174,0.192995463798403,non-song
Glut-LMAN-1,0.111665398392901,0.158066349461275,0.12760275640163,0.301468931186439,0.397198086750386,0.39648485755482,non-song
Glut-NR-3,0.0921423451058632,0.246106272686635,0.246458378085727,0.239660357823336,0.225685045127714,0.209606602222026,non-song
Glut-NC-4,0.0581161090821452,0.118525071282864,0.122236827248418,0.116766687990293,0.137551474868661,0.171625908224242,non-song
Glut-RA,0.70513590760978,0.828435112417425,0.846472585253083,0.768257296878709,0.639826105528415,0.518607626817443,song
Glut-LMAN-2,0.286708693801028,0.418980716521169,0.44593483604975,0.394855916426644,0.319998176545828,0.267596894807298,song
Glut-HVC-1,0.203995801582043,0.212201006365314,0.209398723118065,0.135901328248796,0.160089597820259,0.137282503624166,song
Glut-HVC-1a,0.0773848564701237,0.271075645076291,0.255386755920635,0.255778351502292,0.245441188842755,0.237395326934543,song
Glut-HVC-2,0.073157761678514,0.191604845892622,0.470255431622739,0.592092925257326,0.627393400433349,0.631978738914173,song
