numiters,song_mean,nonsong_mean,U,p_one_sided
1,0.45304999999999995,0.58524,17.0,0.11042311661506707
2,0.49312500000000004,0.6089866666666667,18.0,0.13106295149638802
3,0.47392499999999993,0.6135066666666666,17.0,0.11042311661506707
5,0.47709999999999997,0.60736,18.0,0.13106295149638802
8,0.4688,0.6101466666666666,17.0,0.11042311661506707
10,0.47082499999999994,0.6068933333333333,18.0,0.13106295149638802
