finch_cluster,5,10,20,30,50,100,group
Glut-Arco-1,0.8233,0.7931,0.7202,0.6822,0.6431,0.5624,non-song
Glut-Arco-2,0.7766,0.7273,0.7079,0.6443,0.5873,0.4876,non-song
Glut-Arco-3,0.5065,0.4109,0.3558,0.3237,0.2735,0.1729,non-song
Glut-Arco-4,0.4177,0.3791,0.2936,0.2559,0.2319,0.1967,non-song
Glut-Arco-5,0.6982,0.6423,0.5519,0.5126,0.4174,0.269,non-song
Glut-HVC-1,0.6717,0.5705,0.466,0.4085,0.3389,0.6102,song
Glut-HVC-2,0.358,0.3203,0.297,0.3049,0.3103,0.3462,song
Glut-LMAN-1,0.8608,0.8116,0.766,0.7396,0.7041,0.6472,non-song
Glut-LMAN-2,0.6033,0.5705,0.4828,0.4585,0.4847,0.5043,song
Glut-NC-1,0.7359,0.73,0.7171,0.7077,0.6917,0.6559,non-song
Glut-NC-2,0.6539,0.6121,0.5871,0.5616,0.5366,0.4853,non-song
Glut-NC-3,0.6774,0.6739,0.6589,0.637,0.6065,0.5418,non-song
Glut-NC-4,0.5012,0.4771,0.3936,0.3397,0.2815,0.2103,non-song
Glut-NR-1,0.639,0.629,0.5954,0.5932,0.5734,0.5543,non-song
Glut-NR-2,0.6607,0.6486,0.629,0.5941,0.5544,0.467,non-song
Glut-NR-3,0.4746,0.4569,0.4243,0.3912,0.3558,0.3269,non-song
Glut-NR-4,0.9466,0.9371,0.9216,0.9072,0.8838,0.8401,non-song
Glut-NR-5,0.9338,0.8955,0.808,0.6732,0.6335,0.5969,non-song
Glut-RA,0.687,0.6719,0.6606,0.668,0.6623,0.6326,song
