crossK,song_mean,nonsong_mean,U,p_one_sided
5,0.5553206796683183,0.45281900760744664,46.0,0.9499484004127967
10,0.558451504048194,0.45892417174647454,46.0,0.9499484004127967
20,0.541297634007923,0.46038028666627345,37.0,0.7654798761609907
30,0.550395082434561,0.45559838184857454,33.0,0.6318369453044376
50,0.5635277922050426,0.454271978560897,40.0,0.8464912280701754
100,0.6682421364214954,0.45202895854931585,54.0,0.9953560371517028
