k_anchor,non-song,song
2,0.26740903637689956,0.10221152216767856
5,0.25972396844674545,0.12149080509973556
10,0.2507176703919796,0.1292579478404326
20,0.24310379031762036,0.14088599462820448
30,0.23652274118974634,0.14633950543757365
50,0.2243579351298125,0.14968858249422196
