finch_cluster,25,50,75,100,125,150,group
Glut-Arco-1,0.7308,0.8645,0.9214,0.9875,0.9632,0.9669,non-song
Glut-Arco-2,0.9439,0.9714,0.9877,0.9934,0.9927,0.9988,non-song
Glut-Arco-3,0.7095,0.5484,0.7753,0.6882,0.5678,0.7923,non-song
Glut-Arco-4,0.845,0.9733,0.9872,0.9918,0.9896,0.9794,non-song
Glut-Arco-5,0.8238,0.9745,0.9572,0.9295,0.878,0.8653,non-song
Glut-HVC-1,0.9995,1.0,1.0,1.0,1.0,1.0,song
Glut-HVC-2,0.9209,0.9925,0.9921,0.997,0.9894,0.9862,song
Glut-LMAN-1,0.9592,0.9697,0.9973,1.0,1.0,1.0,non-song
Glut-LMAN-2,0.9924,0.9998,1.0,0.9999,1.0,1.0,song
Glut-NC-1,0.9923,0.9953,0.9953,0.995,0.9953,0.9953,non-song
Glut-NC-2,0.9456,0.9832,0.9864,0.9896,0.9877,0.9883,non-song
Glut-NC-3,0.9817,0.9968,0.9999,0.9997,0.9998,1.0,non-song
Glut-NC-4,0.9313,0.9394,0.9846,0.929,0.9825,0.9788,non-song
Glut-NR-1,0.9936,0.9999,0.9992,0.9997,0.9947,0.9997,non-song
Glut-NR-2,0.997,0.9987,0.9985,1.0,0.9999,1.0,non-song
Glut-NR-3,0.9934,0.9997,0.9973,1.0,1.0,1.0,non-song
Glut-NR-4,0.9599,0.9977,0.9994,0.9964,0.9943,0.9953,non-song
Glut-NR-5,0.8685,0.8785,0.877,0.8688,0.8774,0.8779,non-song
Glut-RA,0.9954,0.9973,1.0,1.0,1.0,1.0,song
