,2,5,10,20,30,50,group
Glut-Arco-2,0.428129037265257,0.660934353250619,0.712111763621744,0.634916936218646,0.532608866840454,0.468781227196289,non-song
Glut-Arco-1,0.420343436827193,0.704797571848222,0.842906758870815,0.835163326956777,0.764943458739437,0.713640254695506,non-song
Glut-Arco-3,0.393124930814172,0.628337856547481,0.763626470993797,0.726119603056177,0.633695072229377,0.596912237074682,non-song
Glut-Arco-5,0.357715768466042,0.652610813738986,0.667105701782573,0.660407913077352,0.647983605010087,0.659316664846959,non-song
Glut-Arco-4,0.356944974369592,0.516696523251561,0.597914128902243,0.421184367635176,0.220147275129313,0.204097642113269,non-song
Glut-NR-1,0.287604656600508,0.257747839646557,0.2391278205805,0.24495390152974,0.189494558196108,0.113619587037504,non-song
Glut-NC-2,0.247827112703473,0.232775710620852,0.210458165772842,0.27237156664861,0.244211235601031,0.166861970884288,non-song
Glut-NR-3,0.235345857927131,0.143508182406339,0.147185714865571,0.196157330793746,0.143370122859924,0.144779385021137,non-song
Glut-NC-1,0.21481886640624,0.21047074655485,0.247341840272653,0.288340384070666,0.290466636453873,0.255039550414567,non-song
Glut-LMAN-1,0.208366115701715,0.101649352507606,0.110106376110659,0.104080643411526,0.125372411006482,0.204736328732374,non-song
Glut-NR-5,0.172612731808836,0.326328333428871,0.496222904359366,0.510603697608258,0.52757097267111,0.544227061215616,non-song
Glut-NC-4,0.128865891159678,0.122882357189868,0.104549663605882,0.185017449763617,0.201296232950765,0.22924065408002,non-song
Glut-NR-4,0.101197180245086,0.573102234611684,0.771860403692471,0.766509660720761,0.781360611349293,0.757831444698703,non-song
Glut-NR-2,0.063028044101145,0.428746908385082,0.381050597770936,0.356364120920069,0.406376817417415,0.469003264168993,non-song
Glut-NC-3,0.0621866282365077,0.412488401687699,0.511276242676305,0.568141915785681,0.562739150843105,0.529275681395603,non-song
Glut-RA,0.405423268653591,0.759366168605615,0.886541603740668,0.875123633963127,0.764673403332937,0.682956066127959,song
Glut-HVC-2,0.213996833120759,0.166366555927538,0.248248170194746,0.52107508704432,0.632390015634505,0.725707873940144,song
Glut-HVC-1a,0.149191375747058,0.187201306294912,0.227722167104899,0.198982475135599,0.216734868903512,0.18844266444844,song
Glut-LMAN-2,0.0903287807314936,0.481683565142057,0.621948869618971,0.608361399168342,0.580959729031293,0.566187307783228,song
Glut-HVC-1,0.0849057864132311,0.347449184454904,0.49107636695312,0.503054841024049,0.533516018217309,0.559488001268821,song
