epoch,song_mean,nonsong_mean,U,p_one_sided
25,0.97705,0.9117,46.0,0.9499484004127967
50,0.9974000000000001,0.9394000000000001,49.0,0.9757481940144479
75,0.9980249999999999,0.9642466666666666,53.0,0.9907428963066481
100,0.999225,0.9579066666666667,49.0,0.9754782058049866
125,0.99735,0.9481933333333334,48.0,0.9690104176604808
150,0.99655,0.9625333333333334,45.0,0.9441126206749018
