,2,5,10,20,30,50,group
Glut-NC-3,0.5228886834716729,0.517654629225381,0.5012037268296468,0.501425232442426,0.4941580466146599,0.47798030433094385,non-song
Glut-NR-5,0.5018088450170007,0.5101579951655502,0.5012082881674051,0.4979597332948177,0.48339369648158986,0.4647137416274711,non-song
Glut-NR-4,0.43942751649976064,0.4450104862694736,0.4338138089741601,0.4272645100674837,0.4129453786770081,0.38695023396385425,non-song
Glut-NR-2,0.4373608503363337,0.43886816643648446,0.44580343976150477,0.44638487507347696,0.43462827822257816,0.42237001153511705,non-song
Glut-Arco-5,0.339589063313178,0.34316852397544373,0.3425728690561866,0.3305990465214471,0.3242206215923795,0.31354097761051886,non-song
Glut-Arco-2,0.30040068970701905,0.304224329926283,0.28983511044917676,0.27904835209777873,0.271945842623719,0.2618315718118977,non-song
Glut-NR-1,0.24639363840553793,0.22466139839918264,0.2265589392477906,0.22144876769093028,0.21574878347902662,0.20887997268880693,non-song
Glut-Arco-1,0.1899328234080022,0.2159390622712245,0.21523300342538348,0.21714657240518245,0.21303441784304122,0.20658593087573213,non-song
Glut-NC-1,0.14381813999800144,0.1458858531074662,0.15232900100609353,0.15886390939002418,0.160248660511248,0.15975762971222862,non-song
Glut-NC-4,0.11972222000878872,0.11775398548021233,0.11042630863020501,0.11791580616323165,0.11625807110019863,0.11318487910896548,non-song
Glut-NC-2,0.1171583886618118,0.11943758924212725,0.12690959215764427,0.13011646674470848,0.13471758228155348,0.1270629169656556,non-song
Glut-NR-3,0.10063138972821839,0.10491027632501948,0.10870945660927757,0.1162000209419103,0.11204504522302454,0.10661202200370538,non-song
Glut-LMAN-1,0.07651137882747099,0.09427581296594326,0.10926273162153917,0.10744978694033853,0.10944531470442032,0.1110563718679743,non-song
Glut-Arco-3,0.06375263204583437,0.06242769339390134,0.06966032993813732,0.05786183608396463,0.05411549507983638,0.04401113120830622,non-song
Glut-Arco-4,0.037565835454561734,0.0467263032279757,0.05448169531249551,0.05267116686324744,0.05614043215474422,0.05678375782926804,non-song
Glut-RA,0.16941608399139466,0.2074526127846171,0.22094983601068935,0.2387593400436034,0.24772755109185013,0.2479580747749594,song
Glut-LMAN-2,0.15744083295942807,0.20119753240696722,0.23090436871310302,0.2526066759826801,0.2586002495759612,0.25726037629150095,song
Glut-HVC-1,0.07476266025963121,0.07572701207570422,0.08559871092168486,0.09285343995678373,0.09820189020734499,0.09742614884166181,song
Glut-HVC-2,0.060798376886424206,0.07958784209543858,0.09294997853526303,0.10210125076783495,0.09794405843809932,0.0989970860340226,song
