mouse_label,n_cells,Class,Subclass,neurotransmitter,region,roi,region_spread,roi_spread,description
Glut-GABA [neurotransmitter],1928,06 CTX-CGE GABA,081 ACB-BST-FS D1 Gaba,Glut-GABA,PAL,PAL,PAL 52%; HPF 19%; Isocortex-1 12%,PAL 52%; HIP 14%; sAMY 7%,06 CTX-CGE GABA / 081 ACB-BST-FS D1 Gaba; NT Glut-GABA; PAL
0276 STR D2 Gaba_3,250,09 CNU-LGE GABA,062 STR D2 Gaba,GABA,STR,sAMY,STR 72%; PAL 24%; CTXsp 4%,sAMY 54%; PAL 24%; STRv 13%,09 CNU-LGE GABA / 062 STR D2 Gaba; NT GABA; sAMY
0275 STR D2 Gaba_2,250,09 CNU-LGE GABA,062 STR D2 Gaba,GABA,STR,STRv,STR 74%; PAL 26%,STRv 71%; PAL 26%; STRd 2%,09 CNU-LGE GABA / 062 STR D2 Gaba; NT GABA; STRv
0274 STR D2 Gaba_1,250,09 CNU-LGE GABA,062 STR D2 Gaba,GABA,STR,sAMY,STR 88%; PAL 11%; CTXsp 2%,sAMY 68%; STRd 17%; PAL 11%,09 CNU-LGE GABA / 062 STR D2 Gaba; NT GABA; sAMY
0273 STR D1 Gaba_9,250,09 CNU-LGE GABA,061 STR D1 Gaba,GABA,STR,STRv,STR 94%; PAL 4%; OLF 2%,STRv 92%; PAL 4%; OLF 2%,09 CNU-LGE GABA / 061 STR D1 Gaba; NT GABA; STRv
0272 STR D1 Gaba_8,250,09 CNU-LGE GABA,061 STR D1 Gaba,GABA,STR,STRv,STR 92%; PAL 8%,STRv 77%; STRd 14%; PAL 8%,09 CNU-LGE GABA / 061 STR D1 Gaba; NT GABA; STRv
0270 STR D1 Gaba_6,250,09 CNU-LGE GABA,061 STR D1 Gaba,GABA,STR,STRv,STR 64%; PAL 34%; OLF 2%,STRv 64%; PAL 34%; OLF 2%,09 CNU-LGE GABA / 061 STR D1 Gaba; NT GABA; STRv
0269 STR D1 Gaba_5,250,09 CNU-LGE GABA,061 STR D1 Gaba,GABA,STR,sAMY,STR 88%; PAL 12%,sAMY 72%; PAL 12%; STRd 12%,09 CNU-LGE GABA / 061 STR D1 Gaba; NT GABA; sAMY
0268 STR D1 Gaba_4,250,09 CNU-LGE GABA,061 STR D1 Gaba,GABA,STR,STRd,STR 96%; PAL 4%; CTXsp 1%,STRd 93%; PAL 4%; STRv 2%,09 CNU-LGE GABA / 061 STR D1 Gaba; NT GABA; STRd
0267 STR D1 Gaba_3,250,09 CNU-LGE GABA,061 STR D1 Gaba,GABA,STR,STRd,STR 97%; PAL 3%,STRd 94%; STRv 3%; PAL 3%,09 CNU-LGE GABA / 061 STR D1 Gaba; NT GABA; STRd
0266 STR D1 Gaba_2,250,09 CNU-LGE GABA,061 STR D1 Gaba,GABA,STR,STRv,STR 82%; PAL 18%,STRv 82%; PAL 18%; sAMY 0%,09 CNU-LGE GABA / 061 STR D1 Gaba; NT GABA; STRv
0265 STR D1 Gaba_1,250,09 CNU-LGE GABA,061 STR D1 Gaba,GABA,STR,STRv,STR 60%; PAL 40%,STRv 59%; PAL 40%; sAMY 1%,09 CNU-LGE GABA / 061 STR D1 Gaba; NT GABA; STRv
0173 Vip Gaba_1,250,06 CTX-CGE GABA,046 Vip Gaba,GABA,Isocortex-1,MOp,Isocortex-1 44%; HPF 23%; CTXsp 14%,MOp 19%; HIP 16%; CTXsp 14%,06 CTX-CGE GABA / 046 Vip Gaba; NT GABA; MOp
