region,threshold_label,song_cluster,sister,clade,au,song_nonsong
NIDO,0.25,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.8135102920081535,TRUE
NIDO,0.1,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.789990468321768,TRUE
NIDO,0.05,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.6923904551154326,TRUE
NIDO,0.01,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9282997831915525,TRUE
NIDO,0.001,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9503312248375007,TRUE
NIDO,none,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9841200201934068,TRUE
NIDO,0.5,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.9181601987256108,TRUE
NIDO,0.25,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.9450175786293108,TRUE
NIDO,0.1,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.9309705204875588,TRUE
NIDO,0.05,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.8459779218202383,TRUE
NIDO,0.01,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.7815788306104989,TRUE
NIDO,0.001,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.7792543614148382,TRUE
NIDO,none,Glut-DACH2-HVCx,Glut-DACH2-3,Glut-DACH2-3|Glut-DACH2-HVCx,0.6288589742399144,TRUE
NIDO,0.5,Glut-DACH2-LMANco,Glut-DACH2-8,Glut-DACH2-8|Glut-DACH2-LMANco,0.6463380779265215,TRUE
NIDO,0.25,Glut-DACH2-LMANco,Glut-DACH2-8,Glut-DACH2-8|Glut-DACH2-LMANco,0.686284594784075,TRUE
NIDO,0.1,Glut-DACH2-LMANco,Glut-DACH2-8,Glut-DACH2-8|Glut-DACH2-LMANco,0.6316884625967142,TRUE
NIDO,0.05,Glut-DACH2-LMANco,"Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.7036132548336173,TRUE
NIDO,0.01,Glut-DACH2-LMANco,"Glut-DACH2-3, Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.782760943038449,TRUE
NIDO,0.001,Glut-DACH2-LMANco,"Glut-DACH2-3, Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.7888571085042043,TRUE
NIDO,none,Glut-DACH2-LMANco,"Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.5544355415906552,TRUE
NIDO,0.5,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9997415631392796,TRUE
NIDO,0.25,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9973393360057656,TRUE
NIDO,0.1,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.997321941549441,TRUE
NIDO,0.05,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9911631894466186,TRUE
NIDO,0.01,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9686055500594213,TRUE
NIDO,0.001,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9719316201823649,TRUE
NIDO,none,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9530860133683065,TRUE
