region,threshold_label,clade,n_tips,au,bp
NIDO,0.5,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.7736357532126562,0.8010611526800367
NIDO,0.5,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.7935035534627111,0.7945447809442696
NIDO,0.5,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,12,1,1
NIDO,0.25,Glut-DACH2-2|Glut-DACH2-5,2,0.5854269533494415,0.9944524765598117
NIDO,0.25,Glut-DACH2-8|Glut-DACH2-LMANco,2,0.686284594784075,0.6573163697768124
NIDO,0.25,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.9973393360057656,0.9964998373892671
NIDO,0.25,Glut-DACH2-3|Glut-DACH2-6,2,0.6867684611440164,0.47857452968047853
NIDO,0.25,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.8135102920081535,0.7268146638081319
NIDO,0.25,Glut-DACH2-4|Glut-DACH2-HVCx,2,0.9450175786293108,0.8341841027814022
NIDO,0.25,Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,4,0.910569101411359,0.7637677889779477
NIDO,0.25,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.8315700380942272,0.605734317783448
NIDO,0.25,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.8368001105401673,0.8482682130309604
NIDO,0.25,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.8421158200523123,0.8464875250947355
NIDO,0.25,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,12,1,1
NIDO,0.1,Glut-DACH2-2|Glut-DACH2-5,2,0.9997806764717538,0.9992359285230048
NIDO,0.1,Glut-DACH2-8|Glut-DACH2-LMANco,2,0.6316884625967142,0.6507979069539601
NIDO,0.1,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,3,0.997321941549441,0.996755487899071
NIDO,0.1,Glut-DACH2-3|Glut-DACH2-6,2,0.6724686779961305,0.4547887915180936
NIDO,0.1,Glut-DACH2-1|Glut-DACH2-HVCra,2,0.789990468321768,0.7216769919367243
NIDO,0.1,Glut-DACH2-4|Glut-DACH2-HVCx,2,0.9309705204875588,0.8827896866005535
NIDO,0.1,Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,4,0.8678023201831186,0.7330353590529874
NIDO,0.1,Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-LMANsh,4,0.8197461157048316,0.5767228676243209
NIDO,0.1,Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,6,0.85624672351525,0.9362916832038038
NIDO,0.1,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,0.8700463764804881,0.9351701637101899
