region,threshold_label,song_cluster,sister,clade,au,song_nonsong,agreement
ALL,0.05,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.622722546115973,TRUE,0.5
ALL,0.01,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.7068991965043245,TRUE,0.5
ALL,0.001,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.6546173788124792,TRUE,0.5
ALL,none,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.6445849450137597,TRUE,0.5
ARCO,0.5,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9072408521005272,TRUE,1
ARCO,0.25,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9497190495371434,TRUE,1
ARCO,0.1,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9416128063859124,TRUE,1
ARCO,0.05,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9350154881778111,TRUE,1
ARCO,0.01,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.8996552680097902,TRUE,1
ARCO,0.001,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9239224384828226,TRUE,1
ARCO,none,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.8469681554521605,TRUE,1
NIDO,0.5,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.7781261126441317,TRUE,1
NIDO,0.25,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.8135102920081535,TRUE,1
NIDO,0.1,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.789990468321768,TRUE,1
NIDO,0.05,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.6923904551154326,TRUE,1
NIDO,0.01,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9282997831915525,TRUE,1
NIDO,0.001,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9503312248375007,TRUE,1
NIDO,none,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9841200201934068,TRUE,1
NIDO,0.5,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.9181601987256108,TRUE,1
NIDO,0.25,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.9450175786293108,TRUE,1
NIDO,0.1,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.9309705204875588,TRUE,1
NIDO,0.05,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.8459779218202383,TRUE,1
NIDO,0.01,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.7815788306104989,TRUE,1
NIDO,0.001,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.7792543614148382,TRUE,1
NIDO,none,Glut-DACH2-HVCx,Glut-DACH2-3,Glut-DACH2-3|Glut-DACH2-HVCx,0.6288589742399144,TRUE,0
NIDO,0.5,Glut-DACH2-LMANco,Glut-DACH2-8,Glut-DACH2-8|Glut-DACH2-LMANco,0.6463380779265215,TRUE,1
NIDO,0.25,Glut-DACH2-LMANco,Glut-DACH2-8,Glut-DACH2-8|Glut-DACH2-LMANco,0.686284594784075,TRUE,1
NIDO,0.1,Glut-DACH2-LMANco,Glut-DACH2-8,Glut-DACH2-8|Glut-DACH2-LMANco,0.6316884625967142,TRUE,1
NIDO,0.05,Glut-DACH2-LMANco,"Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.7036132548336173,TRUE,0.5
NIDO,0.01,Glut-DACH2-LMANco,"Glut-DACH2-3, Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.782760943038449,TRUE,0.3333333333333333
NIDO,0.001,Glut-DACH2-LMANco,"Glut-DACH2-3, Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.7888571085042043,TRUE,0.3333333333333333
NIDO,none,Glut-DACH2-LMANco,"Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.5544355415906552,TRUE,0.5
NIDO,0.5,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9997415631392796,TRUE,1
NIDO,0.25,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9973393360057656,TRUE,1
NIDO,0.1,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.997321941549441,TRUE,1
NIDO,0.05,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9911631894466186,TRUE,1
NIDO,0.01,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9686055500594213,TRUE,1
NIDO,0.001,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9719316201823649,TRUE,1
NIDO,none,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9530860133683065,TRUE,1
