region,threshold_label,clade,n_tips,cell_bootstrap
ALL,0.1,Glut-DACH2-1|Glut-DACH2-HVCra,2,1
ALL,0.1,Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,3,1
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-RA,4,0.436
ALL,0.1,Glut-CACNA1H-4|Glut-DACH2-4,2,0.146
ALL,0.1,Glut-CACNA1H-4|Glut-DACH2-4|Glut-DACH2-HVCx,3,0.098
ALL,0.1,Glut-CACNA1H-4|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-HVCx,4,0.308
ALL,0.1,Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-7|Glut-DACH2-HVCra|Glut-DACH2-LMANsh,6,1
ALL,0.1,Glut-CACNA1H-4|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,7,0.308
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-HVCx|Glut-DACH2-LMANco,11,1
ALL,0.1,Glut-CACNA1H-1|Glut-CACNA1H-2|Glut-CACNA1H-3|Glut-CACNA1H-4|Glut-CACNA1H-RA|Glut-DACH2-1|Glut-DACH2-2|Glut-DACH2-3|Glut-DACH2-4|Glut-DACH2-5|Glut-DACH2-6|Glut-DACH2-7|Glut-DACH2-8|Glut-DACH2-HVCra|Glut-DACH2-HVCx|Glut-DACH2-LMANco|Glut-DACH2-LMANsh,17,1
