region,threshold_label,song_cluster,sister,clade,au,song_nonsong,cell_bootstrap,au_pct,jaccard_vs_ref_threshold
ALL,none,Glut-DACH2-LMANco,"Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.8187896064553624,TRUE,0.996,81.87896064553624,1
ALL,0.5,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.5674963908660727,TRUE,NA,56.749639086607274,1
ALL,0.25,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.5750388676643826,TRUE,NA,57.503886766438264,1
ALL,0.1,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.6681526586823942,TRUE,0.816,66.81526586823942,1
ALL,0.05,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.622722546115973,TRUE,NA,62.2722546115973,1
ALL,0.01,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.7068991965043245,TRUE,NA,70.68991965043246,1
ALL,0.001,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.6546173788124792,TRUE,NA,65.46173788124791,1
ALL,none,Glut-DACH2-LMANsh,Glut-DACH2-5,Glut-DACH2-5|Glut-DACH2-LMANsh,0.6445849450137597,TRUE,0.774,64.45849450137598,1
ARCO,0.5,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9072408521005272,TRUE,NA,90.72408521005272,1
ARCO,0.25,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9497190495371434,TRUE,NA,94.97190495371434,1
ARCO,0.1,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9416128063859124,TRUE,1,94.16128063859124,1
ARCO,0.05,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9350154881778111,TRUE,NA,93.50154881778111,1
ARCO,0.01,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.8996552680097902,TRUE,NA,89.96552680097902,1
ARCO,0.001,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.9239224384828226,TRUE,NA,92.39224384828226,1
ARCO,none,Glut-CACNA1H-RA,Glut-CACNA1H-1,Glut-CACNA1H-1|Glut-CACNA1H-RA,0.8469681554521605,TRUE,0.932,84.69681554521605,1
NIDO,0.5,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.7781261126441317,TRUE,NA,77.81261126441316,1
NIDO,0.25,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.8135102920081535,TRUE,NA,81.35102920081535,1
NIDO,0.1,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.789990468321768,TRUE,0.986,78.9990468321768,1
NIDO,0.05,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.6923904551154326,TRUE,NA,69.23904551154327,1
NIDO,0.01,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9282997831915525,TRUE,NA,92.829978319155245,1
NIDO,0.001,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9503312248375007,TRUE,NA,95.03312248375006,1
NIDO,none,Glut-DACH2-HVCra,Glut-DACH2-1,Glut-DACH2-1|Glut-DACH2-HVCra,0.9841200201934068,TRUE,1,98.41200201934069,1
NIDO,0.5,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.9181601987256108,TRUE,NA,91.81601987256109,1
NIDO,0.25,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.9450175786293108,TRUE,NA,94.50175786293109,1
NIDO,0.1,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.9309705204875588,TRUE,0.998,93.09705204875588,1
NIDO,0.05,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.8459779218202383,TRUE,NA,84.59779218202384,1
NIDO,0.01,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.7815788306104989,TRUE,NA,78.15788306104989,1
NIDO,0.001,Glut-DACH2-HVCx,Glut-DACH2-4,Glut-DACH2-4|Glut-DACH2-HVCx,0.7792543614148382,TRUE,NA,77.92543614148381,1
NIDO,none,Glut-DACH2-HVCx,Glut-DACH2-3,Glut-DACH2-3|Glut-DACH2-HVCx,0.6288589742399144,TRUE,0.228,62.885897423991445,0
NIDO,0.5,Glut-DACH2-LMANco,Glut-DACH2-8,Glut-DACH2-8|Glut-DACH2-LMANco,0.6463380779265215,TRUE,NA,64.63380779265215,1
NIDO,0.25,Glut-DACH2-LMANco,Glut-DACH2-8,Glut-DACH2-8|Glut-DACH2-LMANco,0.686284594784075,TRUE,NA,68.6284594784075,1
NIDO,0.1,Glut-DACH2-LMANco,Glut-DACH2-8,Glut-DACH2-8|Glut-DACH2-LMANco,0.6316884625967142,TRUE,0.804,63.16884625967142,1
NIDO,0.05,Glut-DACH2-LMANco,"Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.7036132548336173,TRUE,NA,70.36132548336172,0.5
NIDO,0.01,Glut-DACH2-LMANco,"Glut-DACH2-3, Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.782760943038449,TRUE,NA,78.2760943038449,0.3333333333333333
NIDO,0.001,Glut-DACH2-LMANco,"Glut-DACH2-3, Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-3|Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.7888571085042043,TRUE,NA,78.88571085042044,0.3333333333333333
NIDO,none,Glut-DACH2-LMANco,"Glut-DACH2-6, Glut-DACH2-8",Glut-DACH2-6|Glut-DACH2-8|Glut-DACH2-LMANco,0.5544355415906552,TRUE,0.36,55.44355415906552,0.5
NIDO,0.5,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9997415631392796,TRUE,NA,99.97415631392796,1
NIDO,0.25,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9973393360057656,TRUE,NA,99.73393360057656,1
NIDO,0.1,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.997321941549441,TRUE,1,99.7321941549441,1
NIDO,0.05,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9911631894466186,TRUE,NA,99.11631894466186,1
NIDO,0.01,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9686055500594213,TRUE,NA,96.86055500594213,1
NIDO,0.001,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9719316201823649,TRUE,NA,97.19316201823649,1
NIDO,none,Glut-DACH2-LMANsh,"Glut-DACH2-2, Glut-DACH2-5",Glut-DACH2-2|Glut-DACH2-5|Glut-DACH2-LMANsh,0.9530860133683065,TRUE,1,95.30860133683065,1
