,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_TAC1,Ex_DACH2_LHX2,Ex_DACH2_ADAMTS5,Ex_DACH2_ZMAT4,Ex_DACH2_NR4A3,Ex_DACH2_MGAT4C,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,COPs+NFOLs,Oligodendrocytes,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
GABA-1-1,0.0339,-0.02647,0.01138,-0.01189,0.00704,0.07215,0.06979,0.07,0.07838,0.09573,0.01455,0.05992,0.04081,0.09245,0.07436,0.01251,0.10405,0.10914,0.02437,0.09536,0.03188,0.12884,0.10269,0.08269,0.03683,0.07016,0.05203,0.05979,0.03403,0.0615,0.31142,0.22766,-0.07515,0.00309,-0.13668,-0.04807,-0.03686,-0.07126,-0.12942,0.03103,0.0068,0.04838,0.02238,0.16232,0.04741,0.02405,0.07888,0.08021,0.07686,0.04627,0.15347,0.06135,0.05351
Glut-Arco-4,0.24277,0.24629,0.13066,0.11576,0.30284,0.13246,0.24014,0.17262,0.20187,0.21646,0.21264,0.12795,0.12372,0.08059,0.13976,0.15411,0.2039,0.10511,0.18092,0.05071,0.00808,0.08327,0.06412,0.11638,0.01721,0.01371,0.01511,0.00122,-0.00342,-0.01415,0.12825,0.09148,0.10986,0.09462,-0.06183,-0.02286,-0.02295,0.0342,0.02206,0.15402,0.12437,0.09343,0.03223,0.1038,0.03159,0.02657,0.04706,-0.02214,0.16151,0.0471,0.09139,0.12998,0.14691
Oligo-2,-0.08725,-0.16239,0.09928,0.15438,-0.13498,-0.21537,-0.11608,-0.069,-0.13116,-0.09423,-0.21474,-0.16737,-0.14551,-0.10589,-0.11724,-0.1656,-0.09406,-0.14483,-0.19279,-0.07996,0.03787,0.08969,0.0851,0.18816,0.02743,0.05953,0.05323,0.00057,0.01864,0.0444,0.03422,-0.0258,0.37437,0.29585,0.25851,0.26677,0.48009,0.64677,0.36712,-0.16061,0.04894,-0.2386,0.03973,0.00625,0.01443,-0.04115,0.02546,0.03824,-0.18529,-0.14721,0.01057,-0.09149,-0.14758
GABA-1-2,-0.00309,-0.06588,0.06745,0.04596,-0.03379,0.03192,0.01327,0.02503,0.01246,0.03884,-0.04854,-0.00397,0.01065,0.04778,-0.00865,-0.06511,0.02684,0.04344,-0.03667,0.07835,0.03138,0.15736,0.11626,0.14339,0.02415,0.0809,0.06483,0.05112,0.00211,0.07731,0.3107,0.19447,-0.07526,0.00605,-0.12854,-0.00548,-0.01516,-0.06941,-0.10765,-0.00243,-0.05511,0.00461,-0.0162,0.15361,0.03859,0.03663,0.07775,0.10457,0.07025,0.04041,0.15461,0.04658,0.04096
GABA-2-3,0.0191,-0.03409,0.05666,0.03992,-0.02306,0.00282,-0.05089,0.01913,-0.09021,-0.03991,-0.08713,-0.07913,-0.03726,-0.02304,-0.0933,-0.05843,-0.09937,-0.05821,-0.06483,0.00372,0.31441,0.05399,0.05726,0.08096,0.27945,0.21353,0.24016,0.45742,0.37623,0.37687,0.06579,0.03903,-0.02649,0.00291,-0.15666,-0.04121,-0.05315,-0.06173,-0.11186,0.0336,0.03242,-0.02818,0.28285,0.04786,0.22973,0.17829,0.17721,0.26641,0.01257,0.02234,0.07886,0.07035,0.05342
Glut-Arco-3,0.25434,0.27766,0.06782,0.04448,0.3657,0.27899,0.26995,0.21388,0.2173,0.22158,0.27911,0.19552,0.19108,0.15768,0.18623,0.21925,0.23176,0.18043,0.26262,0.12101,-0.0498,0.0332,0.03015,-0.00382,-0.01369,-0.03975,-0.026,-0.01416,-0.00868,-0.04797,0.09072,0.09043,-0.03545,-0.0047,-0.16035,-0.07449,-0.1132,-0.09738,-0.11979,0.21326,0.1017,0.21616,-0.01199,0.09107,0.03617,0.05056,0.03624,-0.03417,0.29079,0.17414,0.07416,0.22907,0.2865
Endo,-0.12676,-0.20099,0.07267,0.14065,-0.19251,-0.25287,-0.18318,-0.13713,-0.22534,-0.1926,-0.29185,-0.22572,-0.19976,-0.19491,-0.21337,-0.21032,-0.16842,-0.21286,-0.24198,-0.12756,0.00827,0.06408,0.06044,0.19996,-0.02082,0.04637,0.04816,-0.03525,-0.05418,0.01228,0.00117,-0.07195,0.40608,0.28876,0.41805,0.25066,0.28193,0.31604,0.57881,-0.19291,-0.04581,-0.28846,-0.0378,-0.05384,-0.00335,-0.06813,-0.0143,0.00649,-0.17698,-0.14106,-0.01269,-0.06364,-0.16777
Glut-Nido-3,0.13683,0.09288,0.09721,0.08205,0.06237,-0.0658,0.10517,0.08544,0.09418,0.13612,0.05538,0.01679,0.03377,-0.00247,0.0728,0.0522,0.11477,0.01233,0.04561,-0.03587,0.12335,0.09118,0.08385,0.14682,0.12259,0.10562,0.10259,0.12747,0.10662,0.11114,0.13949,0.06379,0.15094,0.13765,0.00316,-0.01926,0.00852,0.08483,0.08162,0.03013,0.0964,-0.03527,0.11856,0.06404,0.05205,-0.01007,0.07602,0.04815,-0.07653,-0.10854,0.07448,-0.04355,-0.07929
GABA-7,0.06677,-0.03059,0.11283,0.07714,-0.0571,-0.05867,-0.0492,0.02435,-0.09503,-0.02057,-0.08926,-0.10471,-0.01378,-0.05489,-0.0789,-0.03633,-0.11555,-0.08877,-0.06784,-0.04501,0.41292,0.08463,0.07371,0.13819,0.27967,0.26584,0.292,0.31464,0.31417,0.32505,0.09072,-0.00628,-0.00556,0.017,-0.09989,0.02658,0.00167,-0.01149,-0.07304,0.04299,0.04555,-0.058,0.26354,0.02714,0.1906,0.16169,0.20837,0.28612,-0.03834,-0.0037,0.08852,0.03251,-0.0025
GABA-2-2,0.00127,-0.0442,0.10442,0.09024,-0.0506,-0.04544,-0.08897,-0.03848,-0.12067,-0.06748,-0.113,-0.11297,-0.06673,-0.06721,-0.13265,-0.09573,-0.14404,-0.10654,-0.10104,-0.03183,0.33637,0.07055,0.07861,0.12534,0.28756,0.2344,0.26331,0.45618,0.38884,0.45992,0.07475,-0.01423,-0.03584,-0.0082,-0.14286,-0.01152,-0.04753,-0.061,-0.0943,0.02952,-0.02632,-0.06503,0.24434,0.02205,0.20425,0.14731,0.1781,0.31236,-0.03075,-0.01994,0.09106,0.00691,0.00251
GABA-Pre,-0.0157,-0.06707,0.14219,0.13498,-0.10531,-0.07514,-0.10767,-0.0178,-0.12353,-0.07357,-0.15516,-0.14746,-0.08008,-0.09324,-0.13809,-0.12167,-0.15106,-0.12889,-0.11783,-0.05358,0.35855,0.11409,0.09455,0.20759,0.2552,0.25823,0.27164,0.38908,0.32328,0.3993,0.1378,0.00973,-0.01462,0.00987,-0.17318,0.00675,-0.03355,-0.06217,-0.10124,0.01149,-0.02011,-0.10155,0.23548,0.02641,0.20228,0.14825,0.21048,0.31743,-0.05952,-0.02559,0.10872,0.03138,-0.02193
Glut-NC-2,0.11516,0.12365,-0.0128,-0.04132,0.16385,0.31154,0.293,0.22272,0.41559,0.29668,0.37044,0.39677,0.26799,0.44457,0.44115,0.27571,0.42623,0.49146,0.27621,0.35192,-0.13271,0.01403,0.00729,-0.06103,-0.05067,-0.08895,-0.08598,-0.09125,-0.05067,-0.10549,0.07261,0.1999,-0.06768,-0.0294,-0.16867,-0.14346,-0.13538,-0.10481,-0.16036,0.18872,0.106,0.32759,-0.06829,0.15882,-0.04941,-0.04683,-0.04181,-0.09144,0.17408,0.1995,0.05077,0.06762,0.15806
Glut-Pre-3,0.12859,0.14981,0.11658,0.06851,0.18729,0.31892,0.29765,0.21482,0.35595,0.23347,0.35304,0.4876,0.2609,0.31945,0.33304,0.26233,0.3355,0.36725,0.2841,0.25463,-0.14276,0.02484,0.0299,-0.00977,-0.06494,-0.11664,-0.08279,-0.07081,-0.07547,-0.09752,0.03304,0.20835,-0.0794,-0.06233,-0.18414,-0.14092,-0.13505,-0.14354,-0.17814,0.22749,0.08105,0.32996,-0.0978,0.16759,-0.06053,-0.03899,-0.05323,-0.09235,0.22214,0.21546,0.05998,0.08386,0.18121
Glut-HVC-1a,0.13543,0.15869,-0.01225,-0.05325,0.18627,0.30727,0.29439,0.23463,0.3749,0.31109,0.35149,0.35559,0.27998,0.38682,0.3876,0.26995,0.36837,0.44501,0.28148,0.31905,-0.13007,-0.00384,-0.00507,-0.08351,-0.05579,-0.07964,-0.07407,-0.09466,-0.05549,-0.11082,0.05838,0.19511,-0.11289,-0.06142,-0.19927,-0.14776,-0.15564,-0.15472,-0.19748,0.19045,0.09779,0.32137,-0.06405,0.13897,-0.05001,-0.02903,-0.03829,-0.07227,0.20846,0.2223,0.03666,0.11166,0.20399
Glut-NC-4,0.24647,0.29659,0.04283,0.00204,0.26812,0.31503,0.34744,0.27473,0.37358,0.34517,0.44223,0.30858,0.33772,0.30674,0.37022,0.37999,0.36658,0.37214,0.38199,0.21717,-0.09486,-0.0087,0.0045,-0.06473,-0.02467,-0.10911,-0.07916,-0.04442,-0.04167,-0.09425,0.04701,0.1114,-0.03359,-0.01004,-0.20723,-0.15049,-0.1585,-0.1361,-0.13696,0.26645,0.17945,0.3744,-0.02913,0.06692,-0.03989,-0.01535,0.00584,-0.10082,0.19398,0.17756,0.0581,0.11536,0.20402
Glut-NC-1,0.10422,0.14721,0.02057,-0.00929,0.16827,0.32831,0.28937,0.22963,0.44852,0.29367,0.40695,0.44171,0.30317,0.46909,0.44682,0.28753,0.45013,0.52194,0.3059,0.38048,-0.15915,0.03149,0.02927,-0.05664,-0.05991,-0.10831,-0.10549,-0.09176,-0.07425,-0.11924,0.06351,0.20903,-0.05712,-0.04178,-0.17262,-0.15079,-0.14814,-0.13015,-0.16848,0.24682,0.0826,0.39491,-0.0863,0.16008,-0.0861,-0.05798,-0.05193,-0.10309,0.20235,0.24112,0.04967,0.07165,0.18862
Glut-NC-3,0.17279,0.22582,0.05547,0.04305,0.16032,0.27617,0.26708,0.21296,0.33737,0.26143,0.4153,0.29686,0.36895,0.29683,0.36543,0.41567,0.3248,0.34262,0.4193,0.22788,-0.09818,-0.01332,0.0055,-0.05127,-0.03431,-0.08903,-0.07196,-0.06699,-0.05923,-0.10427,0.04188,0.10401,-0.04364,-0.03356,-0.18584,-0.12626,-0.14478,-0.14235,-0.13992,0.29722,0.18292,0.43367,-0.05153,0.05827,-0.04858,0.02676,0.0011,-0.09029,0.1794,0.17193,0.07514,0.06456,0.1451
