,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_LHX2,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,Oligodendrocytes,COPs+NFOLs,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
GABA-2-3,0.02768,-0.0054,-0.02543,-0.05287,0.02937,-0.04008,-0.08224,-0.01861,-0.08157,-0.12633,-0.06325,-0.08642,-0.03289,-0.02738,-0.10459,-0.08135,-0.08376,-0.07051,-0.05054,-0.0584,0.31608,0.06194,0.07513,0.05085,0.25423,0.21607,0.22625,0.43796,0.36193,0.35529,0.08474,0.06609,-0.15133,0.01021,-0.21054,-0.07396,-0.12365,-0.04505,-0.1381,0.0202,0.03088,-0.03495,0.23264,0.0449,0.22181,0.15915,0.17683,0.23455,-0.01537,-0.0211,0.05935,0.04643,0.01595
Glut-CACNA1H-3,0.21139,0.26805,0.03309,-0.00322,0.36347,0.26934,0.24972,0.19056,0.22533,0.22222,0.29559,0.19161,0.24263,0.20409,0.19625,0.19802,0.25393,0.18031,0.26772,0.13566,-0.03381,-0.0099,-0.02487,-0.08185,0.00295,-0.05505,-0.02718,-0.0257,-0.0064,-0.0436,0.04077,0.07111,-0.10629,0.02313,-0.20754,-0.12032,-0.12304,-0.1239,-0.20346,0.20116,0.10761,0.23556,-0.01974,0.07657,0.0202,0.07334,0.03819,0.00725,0.2834,0.18689,0.07966,0.24214,0.28087
Endo,-0.11536,-0.16609,0.00746,0.02351,-0.17811,-0.16342,-0.19741,-0.14018,-0.1818,-0.20918,-0.28375,-0.2265,-0.21734,-0.20889,-0.22566,-0.23326,-0.22781,-0.18954,-0.23979,-0.14525,-0.07926,-0.03954,-0.04385,0.02873,-0.08784,-0.04493,-0.05941,-0.08839,-0.10465,-0.03485,-0.10743,-0.12891,0.22072,0.05127,0.27541,0.15829,0.16533,0.14292,0.48628,-0.22812,-0.06169,-0.24551,-0.07617,-0.11985,-0.10019,-0.06946,-0.11212,-0.08958,-0.14062,-0.10343,-0.0887,-0.04701,-0.14755
GABA-7,0.08512,0.018,0.03471,0.01586,0.02571,-0.05234,-0.02233,-0.00189,0.00942,-0.06763,0.01313,-0.06831,0.04746,0.02902,-0.01824,-0.03065,-0.01161,-0.04731,0.02602,-0.02103,0.3683,0.06799,0.08805,0.08561,0.28373,0.26054,0.27651,0.32913,0.33413,0.31954,0.15068,0.09151,-0.15768,0.01983,-0.14226,-0.04851,-0.07678,-0.01546,-0.14499,0.07896,0.08003,0.02328,0.2398,0.04818,0.18679,0.16206,0.22648,0.27494,-0.03857,-0.01804,0.06679,0.02962,-0.00692
GABA-2-2,0.03546,0.00425,0.01527,-0.00858,0.02153,-0.05555,-0.07591,-0.02292,-0.06128,-0.11812,-0.05352,-0.07971,-0.03638,-0.01414,-0.09828,-0.07109,-0.08352,-0.0723,-0.03555,-0.06526,0.30434,0.07115,0.09143,0.10012,0.27864,0.22817,0.24679,0.43641,0.38866,0.42132,0.11248,0.07018,-0.16326,0.00868,-0.20332,-0.06938,-0.12813,-0.06282,-0.13852,0.02662,0.00682,-0.02397,0.21337,0.04394,0.2105,0.15372,0.1581,0.25953,-0.04532,-0.04061,0.04574,-0.0106,0.0063
GABA-Im,0.01208,0.00408,0.04206,0.00549,0.0153,-0.0493,-0.0863,-0.05516,-0.07512,-0.10868,-0.04816,-0.1034,-0.04676,-0.02575,-0.10132,-0.0959,-0.09532,-0.10115,-0.03209,-0.08374,0.29379,0.084,0.06145,0.14861,0.20137,0.19469,0.19906,0.3067,0.27584,0.3218,0.12575,0.06523,-0.18626,-0.01097,-0.24634,-0.05961,-0.1299,-0.03547,-0.15184,0.03646,-0.01491,-0.03178,0.165,-0.00062,0.18687,0.18303,0.19366,0.24737,-0.0168,-0.05489,0.09515,-0.02739,-0.00544
Glut-Im,0.12573,0.16274,0.09108,0.05571,0.19897,0.30092,0.28829,0.20483,0.22977,0.34217,0.37264,0.47334,0.26816,0.28746,0.32995,0.3675,0.36085,0.34199,0.3042,0.28386,-0.07761,0.02507,0.03586,-0.03573,-0.06195,-0.10817,-0.05812,-0.05623,-0.0654,-0.07026,0.04306,0.1702,-0.18087,-0.02124,-0.21586,-0.17139,-0.16521,-0.14046,-0.23592,0.26485,0.0603,0.33934,-0.07972,0.15282,0.00581,-0.00459,-0.02508,-0.03156,0.21938,0.18123,0.08535,0.0985,0.18728
Glut-DACH2-2,0.12959,0.10737,-0.01526,-0.04287,0.17387,0.25191,0.27152,0.19969,0.27178,0.35935,0.37069,0.37317,0.28153,0.25762,0.40055,0.42522,0.43671,0.39248,0.27686,0.30678,-0.04855,-0.00451,0.0026,-0.06377,-0.05137,-0.0727,-0.04514,-0.06516,-0.02431,-0.06733,0.09764,0.16519,-0.08963,0.0501,-0.18365,-0.13886,-0.09657,-0.10987,-0.20186,0.20639,0.10985,0.3031,-0.027,0.16105,-0.00968,-0.03823,-0.00444,-0.05154,0.17565,0.1481,0.0848,0.07142,0.13863
Glut-DACH2-HVCra-Int,0.15002,0.15764,0.00363,-0.05901,0.21388,0.27392,0.28034,0.22351,0.2989,0.33512,0.37138,0.3186,0.28916,0.26954,0.34963,0.363,0.38295,0.33144,0.28413,0.27286,-0.04862,-0.00544,0.00033,-0.06829,-0.03732,-0.04731,-0.03126,-0.06714,-0.02578,-0.07924,0.05644,0.16651,-0.10817,0.04717,-0.20324,-0.13118,-0.13413,-0.10614,-0.22662,0.2285,0.11994,0.3019,-0.03895,0.15121,-0.00491,-0.00714,0.01675,-0.01031,0.20204,0.16425,0.09474,0.10654,0.18919
Glut-DACH2-4,0.21774,0.28138,0.01678,-0.05395,0.27612,0.30706,0.33407,0.23867,0.33068,0.35632,0.44379,0.31198,0.36675,0.32708,0.3433,0.34197,0.37396,0.31292,0.36233,0.24305,-0.03642,-0.0345,-0.01819,-0.08439,-0.03165,-0.08929,-0.07018,-0.03415,-0.03139,-0.04587,0.04143,0.11768,-0.12803,0.04571,-0.27246,-0.20081,-0.17166,-0.16564,-0.25943,0.28175,0.14807,0.37624,-0.02345,0.09582,-0.04357,0.03134,0.00825,-0.00947,0.22694,0.16681,0.09857,0.12554,0.22103
