,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_LHX2,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,Oligodendrocytes,COPs+NFOLs,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
Glut-DACH2-4,0.28286,0.29604,0.00269,-0.04419,0.31422,0.28321,0.34879,0.24608,0.33828,0.40579,0.46748,0.35576,0.43499,0.36675,0.42757,0.39191,0.45005,0.33132,0.39415,0.22354,-0.02195,0.05667,0.11411,-0.15167,0.01329,0.01074,-0.02038,0.04798,0.09095,-0.02986,0.04187,0.08809,-0.03056,0.07825,-0.17325,-0.06439,-0.1134,-0.00817,-0.14736,0.26924,0.1978,0.39607,0.05371,0.02506,0.08238,-0.07942,0.09222,0.03391,0.21967,0.1093,0.0602,0.09769,0.15164
Glut-DACH2-3,0.28296,0.2305,0.04899,0.0238,0.19955,0.22299,0.29407,0.21979,0.30403,0.43094,0.41011,0.34821,0.48517,0.40952,0.41586,0.32875,0.38708,0.27456,0.4143,0.23656,0.00389,-0.03992,0.03794,-0.13815,-0.056,-0.01091,0.01248,0.09011,0.07015,-0.02561,0.08553,0.04614,-0.03354,0.04174,-0.21662,-0.12767,-0.1325,-0.08374,-0.13169,0.24452,0.20565,0.45198,-0.02929,0.07759,0.12093,-0.02569,0.04196,0.04708,0.18866,0.09206,0.01393,0.06451,0.11658
Glut-NB,0.093,0.00657,0.2247,0.26316,0.11287,0.11796,0.14885,0.17646,0.12804,0.15825,0.02602,0.17682,0.06185,0.04598,0.17914,0.15019,0.1383,0.11707,0.05161,0.0468,-0.03479,0.02943,0.03797,0.18505,-0.02124,0.02603,-0.00947,-0.0999,-0.07048,-0.02139,0.0386,0.07766,-0.08207,0.0231,-0.06563,-0.00357,0.00695,-0.00998,-0.05647,-0.01724,0.03058,0.1688,-0.12325,0.13485,0.04395,0.00175,0.06817,0.0101,0.07137,0.06931,0.06813,0.07537,0.1438
Epen,-0.05677,0.01016,0.03006,0.0825,-0.03788,-0.02461,-0.01664,0.05114,-0.06384,0.02657,-0.10042,0.01023,-0.07709,-0.06601,-0.01628,0.04297,-0.02914,0.0114,-0.01213,0.0398,-0.02766,0.09415,0.1062,0.13587,0.03349,0.05599,0.05389,-0.08348,-0.05078,-0.07606,0.10172,0.05597,0.02788,-0.01667,0.37298,0.16832,0.09899,0.1423,0.12224,-0.08654,-0.06063,-0.01169,-0.05038,0.09631,-0.04149,0.04003,0.02801,0.01628,-0.02577,0.03361,0.07563,0.0157,-0.04184
Glut-DACH2-HVCra,0.24072,0.18772,0.01007,-0.03324,0.19634,0.1882,0.24239,0.1843,0.31968,0.26848,0.30376,0.20836,0.31103,0.23044,0.32068,0.27515,0.26586,0.24302,0.23311,0.11588,-0.11749,-0.08002,-0.03584,-0.02143,-0.07274,-0.05874,-0.06229,-0.02046,0.00211,-0.11949,-0.04405,-0.01158,-0.00589,0.16482,-0.12486,-0.08227,-0.10685,-0.01577,-0.09973,0.22178,0.19333,0.14754,0.0399,0.00237,0.09174,-0.08524,-0.00104,0.01686,0.05621,0.10326,0.05193,0.11341,0.17529
Glut-NSC,-0.1175,0.01719,0.1022,0.21953,-0.08815,-0.07788,-0.13392,-0.01661,-0.11086,-0.06334,-0.14198,-0.01439,-0.13194,-0.15352,-0.04819,-0.03321,-0.1261,-0.03069,-0.08745,0.02485,-0.08337,0.07513,0.08972,0.1955,-0.02546,0.05994,0.05174,-0.1362,-0.14728,-0.04161,0.06329,0.01998,0.12709,0.01609,0.3637,0.15708,0.19925,0.12669,0.13048,-0.05816,-0.03599,0.01758,-0.13711,0.08844,-0.09828,0.0054,0.04554,0.04037,-0.03371,-0.0221,0.03767,0.04318,-0.02543
Glut-DACH2-HVCx,0.27744,0.25892,0.0254,-0.05827,0.28731,0.26089,0.27646,0.16255,0.31779,0.26587,0.31022,0.18043,0.28209,0.18022,0.28012,0.21804,0.23989,0.21867,0.2495,0.11228,-0.00448,-0.03866,0.00203,-0.08199,-0.02159,0.01018,-0.01345,0.06889,0.05798,-0.07895,0.00173,-0.03078,-0.08537,0.06599,-0.16482,-0.11461,-0.19037,-0.06658,-0.19095,0.19322,0.18433,0.22735,0.12478,0.00594,0.115,-0.06553,0.04876,0.03346,0.18414,0.12945,0.05148,0.21639,0.26663
Glut-DACH2-5,0.15996,0.1448,0.05789,-0.01515,0.11646,0.21821,0.25672,0.18756,0.26803,0.3293,0.32152,0.35584,0.35822,0.39154,0.38544,0.34254,0.32591,0.30828,0.29219,0.16428,-0.08414,-0.11256,0.00744,-0.00157,-0.04979,-0.11913,-0.06073,0.0298,0.02289,-0.07028,-0.0447,0.026,-0.00022,0.0808,-0.17909,-0.06809,-0.08401,-0.00792,-0.10651,0.23235,0.20144,0.28258,0.05729,0.05568,0.11914,-0.08704,0.00299,0.02932,0.08857,0.0874,0.00383,0.05386,0.12559
Astro-3,-0.02845,-0.04295,0.01835,0.06369,-0.1216,-0.10615,-0.13857,-0.01462,-0.17059,-0.1191,-0.14992,-0.08802,-0.16922,-0.13914,-0.11216,-0.07228,-0.0953,-0.05875,-0.12957,-0.01845,-0.05658,0.04405,0.05319,0.10819,0.06338,0.04016,0.05866,-0.15809,-0.09699,-0.107,-0.03865,-0.00224,0.1226,0.02435,0.50271,0.23397,0.19911,0.24108,0.17796,-0.09088,-0.0348,-0.14259,-0.10635,0.00546,-0.06283,-0.01579,0.0014,-0.13151,-0.07602,-0.02058,0.04622,-0.01903,-0.05342
Glut-DACH2-7,0.23854,0.18744,0.11032,0.01105,0.18823,0.28975,0.37212,0.26451,0.36501,0.39328,0.39482,0.40613,0.41108,0.42461,0.42332,0.40387,0.36746,0.335,0.33855,0.17804,-0.06061,-0.02192,0.0258,-0.06101,-0.03346,-0.05063,-0.0463,0.02851,0.0412,-0.03668,0.02564,0.06576,-0.0526,0.06477,-0.16233,-0.04941,-0.12528,0.00833,-0.24786,0.22334,0.19331,0.32472,0.05316,0.08291,0.11924,-0.05125,0.03967,0.06025,0.11954,0.12896,0.08997,0.141,0.17189
Glut-SATB2-1,0.30964,0.26623,0.1138,0.07195,0.21102,0.14027,0.41943,0.31739,0.43534,0.29093,0.30482,0.23516,0.34684,0.32907,0.29029,0.26408,0.29721,0.21143,0.23478,0.05978,0.02494,-0.00945,0.10214,-0.02627,-0.02999,0.05245,0.04359,0.10963,0.06467,0.03479,0.02239,0.03443,-0.03315,0.08256,-0.09116,-0.07019,-0.10515,-0.01269,-0.15535,0.22263,0.18584,0.19868,0.07665,0.01294,0.09842,-0.01065,0.0577,0.11517,0.07869,0.13994,0.13922,0.11332,0.15414
Glut-DACH2-6,0.33983,0.31084,0.14824,0.02553,0.26647,0.26363,0.42778,0.26009,0.36158,0.37159,0.3883,0.28964,0.39429,0.33575,0.36991,0.29266,0.27531,0.27866,0.34159,0.202,0.07628,0.01811,0.1075,-0.08114,0.01148,0.04992,0.03323,0.16039,0.134,0.01439,0.08641,0.01157,-0.08837,0.08468,-0.20626,-0.12918,-0.15685,-0.06293,-0.21503,0.19939,0.18746,0.34476,0.08741,0.06661,0.18114,0.01349,0.10606,0.07179,0.1987,0.15103,0.06162,0.2047,0.20245
Glut-DACH2-8,0.3142,0.29232,0.13041,0.01038,0.27433,0.27534,0.42875,0.23424,0.36312,0.37463,0.42848,0.31536,0.3908,0.37135,0.38629,0.31861,0.314,0.30319,0.33017,0.17964,0.06612,0.01236,0.08691,-0.04998,-0.01684,0.02283,0.00437,0.19563,0.16165,0.01152,0.03068,0.01083,-0.04262,0.06397,-0.18277,-0.1196,-0.16495,-0.01229,-0.20223,0.20994,0.19185,0.30807,0.1352,0.03209,0.19064,0.00341,0.1348,0.08649,0.13833,0.1613,0.05597,0.16748,0.19422
Glut-DACH2-LMANsh,0.21956,0.18104,0.04285,0.01089,0.17042,0.22983,0.27047,0.23201,0.30267,0.30433,0.36495,0.32047,0.41595,0.38677,0.39256,0.31753,0.33155,0.26617,0.34823,0.15772,-0.06428,-0.0884,0.00872,-0.02828,-0.03335,-0.0858,-0.05248,0.05323,0.03971,-0.06997,0.00788,0.01735,-0.04207,0.04811,-0.14804,-0.09544,-0.06635,0.03683,-0.14505,0.23521,0.22222,0.25095,0.03324,0.03644,0.17936,-0.05778,0.0151,0.05363,0.08368,0.10997,0.0089,0.06772,0.15923
Glut-DACH2-LMANco,0.32125,0.2279,0.05312,0.03591,0.21122,0.21806,0.28959,0.23332,0.28587,0.2372,0.32254,0.21782,0.32525,0.27936,0.30247,0.29024,0.21557,0.22239,0.29141,0.2069,0.02382,-0.00532,0.03492,-0.09473,-0.00769,-0.00394,-0.0353,0.13293,0.08907,-0.01588,-0.07303,-0.09276,-0.07348,0.11397,-0.10438,-0.08889,-0.13259,0.03293,-0.17722,0.0917,0.14008,0.15984,0.20491,-0.01502,0.22263,0.03136,0.05175,0.03842,0.10888,0.16157,-0.03948,0.08941,0.10023
