,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_SATB2,Ex_Pre_KCNH7,Ex_TSHZ2_NR4A2,Ex_CACNA1H_MCTP2,Ex_SATB2_FOXP2,Ex_SATB2_ZNF385B,Ex_SATB2_SOX6,Ex_SATB2_OVOA,Ex_DACH2_ITGA9,Ex_DACH2_GRIK4,Ex_DACH2_ZMAT4,Ex_DACH2_TAC1,Ex_DACH2_ADAMTS5,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_LHX2,Ex_DACH2_CEMIP,Ex_DACH2_LUZP2,Inh_MGE_like_ST18,Inh_OB_CPA6,Inh_OB_FGFRL1,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_CGE_like_CACNA1B,Inh_CGE_like_MAN1A1,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_ABI3BP,Inh_LGE_like_FOXP2,Inh_LGE_like_FOXP1_DGKH,Microglia,T-cells,Astrocytes,OPCs,Oligodendrocytes,COPs+NFOLs,Vascular,Ex_BCL6,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Inh_MGE_like_ST18_PVALB,Inh_LGE_like_FOXP1_SGCG,Inh_MGE_like_LHX8,Ex_TCF7L2,Inh_LGE_like_CHODL,Inh_CGE_like_CACNA2D3,Ex_CACNA1H_LHX9,Ex_CACNA1H_PROX1,Inh_LGE_like_STK31,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT
Glut-CACNA1H-2,0.25164,0.29803,0.02787,-0.07827,0.32611,0.3812,0.27557,0.25168,0.28439,0.30086,0.33246,0.2629,0.18601,0.26368,0.21518,0.2875,0.30532,0.23036,0.19614,0.23154,0.02521,0.1023,0.12682,-0.19675,-0.03078,-0.02856,-0.01295,0.07218,-0.015,-0.03666,0.00419,0.06911,-0.14876,-0.00536,-0.30241,-0.19509,-0.25022,-0.04107,-0.15493,0.24099,-0.03318,0.3297,-0.01811,0.063,0.11142,0.05144,0.09989,-0.01046,0.43437,0.2455,-0.00244,0.32899,0.3043
Astro-2,-0.0195,-0.01538,0.04833,0.10284,-0.07977,-0.12737,-0.08338,0.00619,-0.13883,-0.12039,-0.06437,-0.01744,-0.11031,-0.12207,-0.08542,-0.02318,-0.07941,-0.05904,-0.08595,0.00043,-0.07956,0.05803,-0.00492,0.07125,0.08067,0.03768,0.04847,-0.16588,-0.10072,-0.0571,-0.04855,-0.04529,0.07312,0.0587,0.57818,0.24688,0.20432,0.1938,0.21551,-0.11971,0.00952,-0.15676,-0.10382,-0.04463,-0.10983,-0.06898,0.01282,-0.09636,-0.05864,-0.0409,-0.00432,-0.00399,-0.03931
GABA-6,-0.04991,-0.08876,-0.08142,-0.0258,-0.04157,-0.17256,-0.13866,-0.03805,-0.05797,-0.15835,-0.15227,-0.17702,-0.15364,-0.1312,-0.10917,-0.11019,-0.08913,-0.1017,-0.12368,0.02248,0.29151,0.20243,0.14631,0.17911,0.316,0.17387,0.18288,0.31873,0.28739,0.27919,0.15475,0.05739,-0.04835,-0.00514,0.13615,0.10136,0.06533,0.11008,-0.06029,-0.04007,-0.10769,-0.21687,0.23021,0.01827,0.14912,0.06659,0.14796,0.22778,-0.06201,-0.00276,0.17185,-0.05073,-0.14461
Oligo-3,-0.10684,-0.1109,0.04466,0.08414,-0.12396,-0.11061,-0.14193,-0.05635,-0.17606,-0.17155,-0.16019,-0.08289,-0.14288,-0.14293,-0.10478,-0.05859,-0.07712,-0.0641,-0.14186,-0.03736,-0.02561,0.08083,-0.04224,0.13023,0.01177,0.08694,0.04558,-0.16965,-0.09901,-0.07969,-0.01332,-0.00569,0.17489,0.05527,0.48976,0.30828,0.34969,0.3191,0.19654,-0.11617,-0.04237,-0.14536,-0.05427,-0.03973,-0.10444,0.02429,0.03623,-0.03856,-0.14592,-0.00907,-0.0026,-0.02531,-0.08762
GABA-3,-0.00442,-0.03615,-0.05914,-0.06339,-0.02112,-0.10614,-0.05781,-0.0478,-0.02673,-0.07322,-0.1018,-0.11094,-0.05999,-0.02252,-0.05199,-0.06825,-0.08625,-0.01877,-0.0253,0.04474,0.33701,0.09757,0.06742,-0.00791,0.31619,0.09849,0.19451,0.42334,0.502,0.29953,0.07009,-0.02265,-0.03554,-0.01068,-0.0692,0.04666,-0.06716,0.08992,-0.16843,-0.02674,0.01631,-0.11054,0.44354,0.04462,0.26275,0.07846,0.15842,0.20617,0.00116,0.04182,0.13533,-0.02849,-0.02331
Glut-DACH2-1,0.17463,0.17321,0.05926,-0.01393,0.21605,0.30212,0.33584,0.24213,0.3258,0.47224,0.44658,0.46021,0.42333,0.36371,0.48474,0.46961,0.54046,0.41506,0.34466,0.2492,-0.12597,-0.02022,0.01257,-0.13642,-0.08292,-0.09735,-0.12204,-0.05517,-0.02296,-0.10279,0.00857,0.11614,-0.01647,0.08038,-0.20221,-0.10353,-0.1236,-0.03711,-0.15975,0.30951,0.18974,0.41268,-0.00013,0.07052,0.08918,-0.08643,-0.01238,0.02183,0.17829,0.10309,0.02533,0.06831,0.19239
GABA-5-2,-0.10801,-0.14362,0.05096,0.00226,-0.02369,-0.15984,-0.12956,-0.12495,-0.126,-0.18496,-0.15236,-0.28357,-0.12055,-0.169,-0.17718,-0.20469,-0.18437,-0.20473,-0.1427,-0.17982,0.18973,0.22024,0.20661,0.13038,0.17134,0.28301,0.29061,0.23016,0.12634,0.20152,0.15306,0.05421,-0.03931,-0.03298,-0.06169,0.04474,0.08985,0.03809,-0.01097,-0.10953,-0.09167,-0.16208,0.10407,0.00884,0.0787,0.13027,0.12018,0.27317,-0.03281,0.00168,0.15041,0.00588,-0.1074
Glut-GABA,-0.00976,0.00563,0.00633,-0.01046,0.10218,0.05342,0.09755,0.05366,0.12869,0.13773,0.07691,0.09453,0.16951,0.13089,0.13516,0.10345,0.17671,0.03976,0.08695,-0.03628,0.09112,0.0719,0.10113,0.13841,-0.00709,0.05639,0.07246,-0.02613,0.02533,-0.03243,0.21361,0.22473,-0.08773,-0.01511,-0.13307,-0.12383,-0.09064,-0.01857,-0.20389,0.12684,0.04906,0.11111,0.09469,0.13412,0.06856,0.05255,0.05864,0.14338,0.0557,-0.03927,0.18182,-0.05303,-0.00889
Micro,-0.10857,-0.07293,0.11212,0.07908,-0.09243,-0.11061,-0.14164,-0.01848,-0.12525,-0.13242,-0.13382,-0.11684,-0.15395,-0.08701,-0.16374,-0.09403,-0.12642,-0.06839,-0.10308,-0.04664,-0.04204,0.04535,-0.02797,0.04982,-0.05892,-0.03593,0.05361,-0.1936,-0.15424,-0.03881,-0.13462,-0.06298,0.35861,0.1006,0.342,0.15049,0.18981,0.14089,0.29017,-0.09101,0.02271,-0.09438,-0.10925,-0.10775,-0.15936,-0.14948,0.0162,-0.01025,-0.10814,-0.03492,-0.03051,0.02561,0.00685
Oligo-2,-0.10044,-0.12996,0.00017,0.08266,-0.07252,-0.20102,-0.1196,-0.07838,-0.15432,-0.14948,-0.14881,-0.10774,-0.12128,-0.12615,-0.10066,-0.13306,-0.10801,-0.09269,-0.09364,-0.10769,-0.03102,0.02807,-0.01984,0.08771,-0.06488,0.03988,-0.03798,-0.18129,-0.15062,-0.06961,-0.01909,0.00277,0.27974,0.07035,0.18144,0.25251,0.40347,0.28913,0.22987,-0.21152,0.04415,-0.14781,-0.07051,-0.07819,-0.04914,-0.09403,-0.04431,-0.06918,-0.12092,-0.04868,-0.10898,-0.08189,-0.1221
