,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Glut-DACH2-5,0.031,0.0402,0.1236,0.088,0.1067,0.114,0.1536,0.1261,0.5093,0.1503,0.1809,0.1749,0.2645,0.1642,0.2883,0.2011,0.1156,0.1637,0.1534,0.1549,0.0987,0.1001,0.0652,0.0736,0.1455,0.1894,0.1477,0.1272,0.0667,0.1154,0.0545,0.0538,0.0559,0.1232,0.1107,0.0895,0.0573,0.0636,0.0708,0.0475,0.0646,0.0534,0.047,0.0649,0.0765,0.0738,0.0517,0.0374,0.0493,0.0321
Glut-DACH2-6,0.0126,0.0269,0.1402,0.104,0.1223,0.124,0.1557,0.1165,0.1925,0.6193,0.145,0.2109,0.1341,0.119,0.1527,0.1516,0.1213,0.1771,0.1825,0.3236,0.1386,0.1496,0.0631,0.0724,0.1496,0.1488,0.1452,0.1383,0.0842,0.1403,0.0552,0.0598,0.0573,0.0945,0.0803,0.0738,0.0429,0.0748,0.0773,0.051,0.0668,0.0618,0.0557,0.0711,0.059,0.06,0.0413,0.0262,0.0233,0.0222
Glut-DACH2-7,0.0188,0.0272,0.1347,0.0964,0.1232,0.1254,0.1609,0.1318,0.3117,0.1686,0.1916,0.205,0.1772,0.1533,0.3471,0.1996,0.1042,0.1792,0.1691,0.1702,0.112,0.1211,0.059,0.0749,0.1546,0.3273,0.1561,0.1373,0.0638,0.1258,0.0451,0.0481,0.0471,0.1181,0.1048,0.0821,0.0441,0.0557,0.0591,0.0373,0.0503,0.0445,0.0352,0.0539,0.0657,0.0667,0.035,0.0288,0.025,0.0154
Glut-DACH2-8,0.0199,0.0332,0.1405,0.0997,0.1127,0.1203,0.1666,0.1101,0.1826,0.2515,0.1591,0.2239,0.1431,0.1186,0.1588,0.1604,0.1478,0.1753,0.2633,0.6657,0.1403,0.1437,0.0687,0.0782,0.1645,0.163,0.1534,0.1416,0.0907,0.1445,0.0545,0.0552,0.0588,0.0997,0.0866,0.0791,0.0495,0.072,0.078,0.0492,0.0708,0.0617,0.0553,0.0806,0.0635,0.0668,0.0527,0.0321,0.0376,0.0289
Glut-DACH2-HVCra,0.0379,0.0501,0.1183,0.111,0.1242,0.1205,0.1357,0.1235,0.1586,0.1427,0.1463,0.156,0.1491,0.1373,0.2031,0.1527,0.1223,0.1409,0.1965,0.1462,0.1237,0.1229,0.0803,0.0879,0.1466,0.161,0.3979,0.2017,0.0827,0.1288,0.0749,0.0726,0.0736,0.1259,0.1135,0.0953,0.0727,0.0829,0.0803,0.0579,0.0801,0.0672,0.0576,0.0812,0.0799,0.0789,0.0681,0.0501,0.0526,0.0447
Glut-DACH2-HVCra-Pre,0.0226,0.0353,0.128,0.1035,0.1278,0.1295,0.157,0.131,0.1927,0.1539,0.1789,0.1819,0.1819,0.1721,0.4224,0.19,0.1044,0.1631,0.1527,0.1499,0.1161,0.1243,0.0637,0.0757,0.1584,0.3078,0.173,0.1454,0.0654,0.1315,0.0557,0.0549,0.0552,0.1303,0.1168,0.0953,0.0562,0.0609,0.0631,0.045,0.06,0.0493,0.0418,0.0603,0.0771,0.0766,0.0512,0.0362,0.0366,0.0272
Glut-DACH2-HVCx,0.0297,0.0425,0.1337,0.1198,0.1335,0.1263,0.1453,0.1197,0.1508,0.1605,0.1366,0.1929,0.1337,0.117,0.1529,0.1444,0.1277,0.1491,0.1603,0.1602,0.2743,0.3747,0.0837,0.0933,0.1708,0.1558,0.2821,0.1506,0.0876,0.1493,0.0624,0.0653,0.0704,0.1117,0.1,0.0956,0.0727,0.0821,0.0814,0.059,0.0792,0.0745,0.0611,0.0868,0.0783,0.0785,0.0777,0.0415,0.0489,0.0465
Glut-DACH2-LMANco,0.0305,0.0488,0.1253,0.1107,0.1113,0.1188,0.1373,0.108,0.1467,0.185,0.1285,0.1595,0.1221,0.1064,0.1353,0.1297,0.3562,0.1441,0.1539,0.2987,0.1405,0.1327,0.0759,0.08,0.147,0.1333,0.1434,0.1386,0.1599,0.1391,0.0747,0.074,0.0784,0.105,0.0897,0.0846,0.0614,0.0915,0.1019,0.0667,0.0966,0.0872,0.0838,0.1131,0.0693,0.0732,0.0667,0.0447,0.055,0.0449
Glut-DACH2-LMANsh,0.0291,0.0424,0.1261,0.0934,0.1049,0.1141,0.1486,0.1187,0.4552,0.159,0.1669,0.1961,0.1801,0.1472,0.1909,0.1863,0.1311,0.1574,0.156,0.2752,0.1061,0.1047,0.0675,0.0749,0.1505,0.1905,0.1485,0.1303,0.079,0.1185,0.0586,0.0573,0.0612,0.1179,0.1037,0.0888,0.0597,0.0666,0.0738,0.0497,0.0675,0.0569,0.0521,0.0702,0.0755,0.0736,0.058,0.0386,0.0502,0.0352
Glut-GABA,0.0126,0.0312,0.1271,0.0901,0.1036,0.1129,0.1369,0.1132,0.2168,0.1464,0.1844,0.1689,0.17,0.1445,0.2675,0.1836,0.1059,0.1595,0.1505,0.1505,0.114,0.1111,0.076,0.0855,0.1578,0.1801,0.164,0.1622,0.071,0.1112,0.056,0.0556,0.058,0.3214,0.2786,0.1765,0.0836,0.0639,0.0872,0.0538,0.0601,0.0614,0.0505,0.0648,0.1024,0.0909,0.0531,0.0313,0.0325,0.0269
Glut-Im,0.0264,0.0405,0.1414,0.0972,0.124,0.1353,0.161,0.13,0.1737,0.154,0.7124,0.1751,0.1682,0.1535,0.1825,0.2062,0.1006,0.1675,0.1479,0.148,0.1151,0.1198,0.1168,0.1374,0.159,0.1869,0.1408,0.1352,0.0646,0.1293,0.0481,0.0522,0.0549,0.1333,0.1217,0.0874,0.0781,0.061,0.0613,0.0493,0.0556,0.0558,0.0395,0.0519,0.0862,0.0871,0.0603,0.0397,0.0399,0.033
Glut-NB,0.0584,0.0876,0.1032,0.0978,0.1073,0.1158,0.1048,0.105,0.0835,0.0922,0.2002,0.092,0.0931,0.1047,0.0931,0.0844,0.0779,0.1039,0.1008,0.084,0.0941,0.0859,0.6978,0.3538,0.0959,0.0905,0.0889,0.0991,0.0775,0.0878,0.0885,0.0926,0.0908,0.0865,0.0929,0.0812,0.1685,0.0733,0.0838,0.091,0.0657,0.079,0.0713,0.0654,0.0924,0.0951,0.0846,0.0888,0.0752,0.0652
Glut-NSC,0.3469,0.1385,0.0444,0.0714,0.0534,0.0504,0.0323,0.0657,0.026,0.023,0.0311,0.0072,0.0423,0.0641,0.0311,0.0237,0.0557,0.0285,0.0284,0.0189,0.047,0.0324,0.1618,0.1236,0.0323,0.0284,0.0312,0.0474,0.0778,0.032,0.0982,0.0951,0.0989,0.0566,0.0741,0.0803,0.1581,0.0784,0.082,0.0901,0.0634,0.0735,0.078,0.0694,0.109,0.0991,0.1659,0.1445,0.14,0.3845
Glut-SATB2-1,0.0127,0.0283,0.1317,0.1102,0.1361,0.1292,0.1585,0.1333,0.162,0.154,0.1599,0.1662,0.1512,0.1346,0.1714,0.1544,0.1075,0.1575,0.154,0.1522,0.1371,0.1409,0.0668,0.0917,0.5624,0.209,0.4669,0.4249,0.0693,0.1335,0.0559,0.0572,0.0569,0.1174,0.1033,0.0925,0.0531,0.063,0.062,0.0482,0.0602,0.0575,0.0464,0.0637,0.0756,0.0737,0.0382,0.0276,0.0208,0.0151
Micro,0.2287,0.1607,0.0282,0.0591,0.0339,0.0305,0.0111,0.0349,0.0305,0.0179,0.017,0.0068,0.0362,0.0531,0.0296,0.0429,0.0805,0.0064,0.0272,0.0296,0.0486,0.0257,0.1172,0.0948,0.04,0.0296,0.0404,0.0488,0.0633,0.0291,0.0818,0.0768,0.085,0.0611,0.0707,0.0836,0.1268,0.0736,0.075,0.0768,0.0647,0.0685,0.0756,0.0705,0.1001,0.095,0.836,0.1451,0.179,0.2033
OPC,0.1586,0.3434,0.0351,0.0747,0.0526,0.0473,0.0293,0.0574,0.0225,0.0127,0.0193,0.0009,0.04,0.0534,0.0256,0.0216,0.0549,0.0207,0.0259,0.0181,0.0389,0.0296,0.1111,0.1047,0.0229,0.0185,0.0303,0.0433,0.077,0.0261,0.0929,0.0995,0.0976,0.0495,0.064,0.0781,0.1148,0.0734,0.0859,0.0872,0.0645,0.0706,0.0789,0.0654,0.0875,0.0883,0.1172,0.8206,0.1395,0.1196
Oligo-1,0.1341,0.2269,0.0377,0.0594,0.0506,0.0382,0.0337,0.0524,0.0545,0.0311,0.0391,0.0265,0.0627,0.0679,0.0521,0.0566,0.089,0.0254,0.0443,0.0366,0.052,0.0339,0.1089,0.0981,0.0476,0.0477,0.0538,0.0624,0.0682,0.0451,0.0877,0.0834,0.0866,0.0763,0.0801,0.0808,0.1122,0.0794,0.0793,0.0846,0.0798,0.0725,0.0789,0.0817,0.0964,0.0935,0.1653,0.1448,0.8472,0.1604
Oligo-2,0.1462,0.2254,0.0336,0.0525,0.0391,0.0278,0.02,0.0376,0.0461,0.0248,0.0311,0.0196,0.0494,0.0561,0.0387,0.0525,0.0893,0.0119,0.0379,0.032,0.054,0.0338,0.1168,0.1012,0.046,0.0429,0.0523,0.0579,0.0653,0.0408,0.0915,0.0862,0.0901,0.0704,0.0784,0.0861,0.1252,0.0826,0.0795,0.0883,0.0809,0.0764,0.085,0.0853,0.2214,0.1016,0.1776,0.1472,0.6894,0.1803
Oligo-3,0.3875,0.1912,0.032,0.057,0.0371,0.0253,0.0138,0.0428,0.0306,0.0123,0.0209,0.0003,0.0386,0.0504,0.0288,0.036,0.0785,0.0066,0.0294,0.0243,0.0435,0.0192,0.1068,0.0926,0.027,0.0227,0.0318,0.0433,0.0773,0.0243,0.0882,0.0791,0.0873,0.0602,0.069,0.0732,0.1139,0.0761,0.0779,0.0732,0.0691,0.0617,0.0741,0.0744,0.0979,0.0979,0.2159,0.1584,0.3814,0.194
