,Astrocytes,COPs+NFOLs,Ex_BCL6,Ex_CACNA1H_CPA6,Ex_CACNA1H_KIT,Ex_CACNA1H_LHX9,Ex_CACNA1H_MCTP2,Ex_CACNA1H_PROX1,Ex_DACH2_ADAMTS5,Ex_DACH2_CEMIP,Ex_DACH2_GRIK4,Ex_DACH2_ITGA9,Ex_DACH2_LHX2,Ex_DACH2_LUZP2,Ex_DACH2_MGAT4C,Ex_DACH2_NR4A3,Ex_DACH2_RORB,Ex_DACH2_SLIT2,Ex_DACH2_TAC1,Ex_DACH2_ZMAT4,Ex_KIAA1217,Ex_KIAA1217_BCL6,Ex_Pre_KCNH7,Ex_Pre_SATB2,Ex_SATB2_FOXP2,Ex_SATB2_OVOA,Ex_SATB2_SOX6,Ex_SATB2_ZNF385B,Ex_TCF7L2,Ex_TSHZ2_NR4A2,Inh_CGE_like_CACNA1B,Inh_CGE_like_CACNA2D3,Inh_CGE_like_MAN1A1,Inh_LGE_like_FOXP1_DGKH,Inh_LGE_like_FOXP1_SGCG,Inh_LGE_like_FOXP2,Inh_LGE_like_Pre,Inh_MGE_like_ANO1,Inh_MGE_like_LHX8,Inh_MGE_like_SST_ABI3BP,Inh_MGE_like_SST_PVALB,Inh_MGE_like_SST_SLC24A2,Inh_MGE_like_ST18,Inh_MGE_like_ST18_PVALB,Inh_OB_CPA6,Inh_OB_FGFRL1,Microglia,OPCs,Oligodendrocytes,Vascular
Astro-1,0.8785,0.2657,0.3382,0.1383,0.1126,0.1106,0.0904,0.1213,0.107,0.0926,0.0964,0.1956,0.1146,0.3013,0.2338,0.119,0.3321,0.0915,0.1053,0.1088,0.1238,0.0938,0.3955,0.1925,0.1006,0.0977,0.2464,0.1168,0.1351,0.0951,0.2277,0.1855,0.2175,0.3252,0.1417,0.1677,0.2515,0.1626,0.1791,0.3137,0.1454,0.132,0.1578,0.1493,0.2001,0.2084,0.521,0.4604,0.2817,0.7911
Astro-2,1.0,0.2726,0.2151,0.1487,0.1237,0.1216,0.0984,0.1283,0.109,0.0996,0.1008,0.0962,0.1176,0.303,0.1047,0.1195,0.1603,0.0973,0.1106,0.1122,0.1333,0.1033,0.2459,0.2346,0.1157,0.102,0.2862,0.1259,0.2387,0.1075,0.3928,0.1924,0.2245,0.3295,0.1453,0.1695,0.2584,0.1648,0.186,0.1801,0.1523,0.139,0.1746,0.1562,0.207,0.2153,0.3281,0.307,0.2886,0.8751
Astro-3,0.8785,0.2789,0.1097,0.155,0.13,0.1279,0.1059,0.1323,0.111,0.1048,0.1124,0.1025,0.1259,0.3538,0.1139,0.1239,0.1667,0.1036,0.1186,0.1154,0.1397,0.1084,0.2522,0.2217,0.1203,0.1071,0.1221,0.1346,0.2731,0.1169,0.2057,0.1923,0.2133,0.1453,0.1587,0.1711,0.2648,0.1864,0.1988,0.373,0.1484,0.1424,0.1758,0.1625,0.241,0.2308,0.3344,0.3133,0.295,0.5744
Endo,0.8856,0.2821,0.1041,0.1355,0.115,0.113,0.0919,0.1194,0.0981,0.093,0.0942,0.2338,0.1025,0.2978,0.0968,0.1172,0.1497,0.0897,0.101,0.0995,0.1268,0.1057,0.2393,0.2179,0.111,0.0955,0.2256,0.1217,0.2415,0.1074,0.1928,0.1681,0.3294,0.1295,0.1421,0.1764,0.2519,0.1582,0.163,0.1859,0.1387,0.1538,0.1764,0.1458,0.2281,0.2088,0.7616,0.5988,0.499,1.0
Epen,0.8981,0.2643,0.1133,0.1521,0.1278,0.12,0.1057,0.2555,0.0938,0.0901,0.0951,0.0879,0.2632,0.3697,0.1075,0.0913,0.1154,0.0925,0.2593,0.089,0.1093,0.104,0.2376,0.2162,0.0964,0.3033,0.1008,0.1113,0.1718,0.0993,0.1911,0.1841,0.1987,0.1225,0.1777,0.1663,0.2502,0.137,0.1612,0.1565,0.1251,0.1337,0.1404,0.1307,0.4548,0.3821,0.4066,0.4921,0.6298,0.8959
GABA-1-1,0.0813,0.0871,0.111,0.1271,0.1184,0.1498,0.1454,0.1027,0.2954,0.1066,0.1546,0.1046,0.1921,0.2004,0.344,0.496,0.0926,0.1211,0.1158,0.0941,0.1338,0.0884,0.2316,0.0957,0.1845,0.2096,0.4791,0.1775,0.2582,0.099,0.1651,0.1597,0.124,0.7911,0.7171,1.0,0.5813,0.1088,0.1303,0.1413,0.2377,0.2884,0.1133,0.0973,0.3949,0.2435,0.1701,0.0859,0.1543,0.1602
GABA-1-2,0.0829,0.0942,0.1024,0.1562,0.1319,0.1937,0.1287,0.1256,0.1043,0.0928,0.1082,0.0914,0.1429,0.202,0.2926,0.2488,0.0887,0.2125,0.1104,0.0875,0.1126,0.09,0.4045,0.2112,0.1228,0.12,0.1791,0.139,0.2973,0.0957,0.2325,0.2451,0.1861,0.861,0.729,0.8771,0.8237,0.115,0.147,0.2213,0.1006,0.1727,0.1354,0.0973,0.6178,0.2593,0.3654,0.0989,0.0851,0.2016
GABA-2-1,0.0728,0.1025,0.2031,0.1127,0.0942,0.0799,0.0786,0.0888,0.0774,0.0841,0.0739,0.2181,0.1794,0.1626,0.075,0.0872,0.2182,0.0762,0.0905,0.0923,0.1369,0.2533,0.2869,0.1567,0.167,0.268,0.223,0.1218,0.3325,0.1049,0.2112,0.4532,0.3232,0.2205,0.217,0.2593,0.4057,0.2492,0.2011,0.898,0.7156,1.0,0.6338,0.4301,0.169,0.1512,0.2971,0.1003,0.1155,0.1073
GABA-2-2,0.0841,0.1095,0.1574,0.1441,0.1299,0.1138,0.1036,0.1186,0.0863,0.0912,0.0887,0.0926,0.0985,0.1116,0.0875,0.0852,0.1332,0.1001,0.1018,0.094,0.1482,0.2538,0.3209,0.1873,0.0969,0.0899,0.1074,0.124,0.2935,0.1162,0.4409,0.5366,0.3663,0.1402,0.1527,0.2633,0.546,0.2605,0.2124,1.0,0.5958,0.8751,0.4759,0.2338,0.1625,0.168,0.1269,0.2932,0.1055,0.2704
GABA-2-3,0.0883,0.1011,0.1374,0.1667,0.1444,0.1282,0.1204,0.1311,0.0905,0.0982,0.0941,0.0954,0.1097,0.1254,0.0968,0.0917,0.1483,0.1116,0.1078,0.0996,0.1408,0.2737,0.1569,0.1845,0.1061,0.0929,0.1137,0.1341,0.3836,0.1229,0.3282,0.3768,0.3095,0.2802,0.1616,0.1915,0.1991,0.2647,0.2912,0.7968,0.7617,0.9625,0.4991,0.3603,0.1781,0.1722,0.3128,0.278,0.1027,0.0894
